Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; 1, detached","Margin of Error; 1, detached","Estimate; 1, attached","Margin of Error; 1, attached"
6029003303,"Census Tract 33.03, Kern County, California",596,33,312,49,7,7
6029003304,"Census Tract 33.04, Kern County, California",1032,60,748,79,0,132
6029003400,"Census Tract 34, Kern County, California",1502,62,1239,110,0,132
6029003500,"Census Tract 35, Kern County, California",2533,205,1836,231,108,101
6029003600,"Census Tract 36, Kern County, California",1687,74,1582,101,20,22
6029003700,"Census Tract 37, Kern County, California",1159,63,790,87,38,24
6029003803,"Census Tract 38.03, Kern County, California",1518,58,1406,103,73,64
6029003804,"Census Tract 38.04, Kern County, California",3585,94,3426,102,8,12
6029003805,"Census Tract 38.05, Kern County, California",2864,97,2836,105,28,30
6029003806,"Census Tract 38.06, Kern County, California",1410,31,1400,36,0,132
6029003807,"Census Tract 38.07, Kern County, California",1314,33,1213,90,50,62
6029003808,"Census Tract 38.08, Kern County, California",1853,50,1515,88,0,132
6029003809,"Census Tract 38.09, Kern County, California",3396,123,2966,168,17,18
6029003810,"Census Tract 38.10, Kern County, California",931,24,849,61,4,7
6029003811,"Census Tract 38.11, Kern County, California",973,24,720,85,34,29
6029003812,"Census Tract 38.12, Kern County, California",1747,65,1195,101,10,16
6029003813,"Census Tract 38.13, Kern County, California",2506,90,2343,108,7,12
6029003900,"Census Tract 39, Kern County, California",238,75,141,50,24,39
6029004000,"Census Tract 40, Kern County, California",1638,88,1489,109,44,45
6029004101,"Census Tract 41.01, Kern County, California",1504,85,1183,116,32,41
6029004102,"Census Tract 41.02, Kern County, California",1433,81,741,90,109,60
6029004200,"Census Tract 42, Kern County, California",381,33,334,35,4,7
6029004301,"Census Tract 43.01, Kern County, California",1768,117,1213,141,30,34
6029004302,"Census Tract 43.02, Kern County, California",0,132,0,132,0,132
6029004401,"Census Tract 44.01, Kern County, California",2121,148,1882,157,93,83
6029004402,"Census Tract 44.02, Kern County, California",1578,104,994,154,64,45
6029004500,"Census Tract 45, Kern County, California",930,52,559,61,2,3
6029004601,"Census Tract 46.01, Kern County, California",28,24,0,132,0,132
6029004602,"Census Tract 46.02, Kern County, California",2581,99,2172,143,80,58
6029004700,"Census Tract 47, Kern County, California",2801,170,2390,182,52,50
6029004800,"Census Tract 48, Kern County, California",2442,133,1509,172,108,77
6029004901,"Census Tract 49.01, Kern County, California",1520,83,692,126,32,41
6029004902,"Census Tract 49.02, Kern County, California",2093,98,1918,116,126,89
6029005000,"Census Tract 50, Kern County, California",3025,142,2058,262,183,140
6029005103,"Census Tract 51.03, Kern County, California",1179,61,775,76,19,21
6029005104,"Census Tract 51.04, Kern County, California",740,70,648,77,18,15
6029005201,"Census Tract 52.01, Kern County, California",4208,214,2318,277,24,27
6029005202,"Census Tract 52.02, Kern County, California",6190,188,2903,283,22,27
6029005300,"Census Tract 53, Kern County, California",783,45,181,79,145,60
6029005401,"Census Tract 54.01, Kern County, California",2406,165,1360,139,113,63
6029005402,"Census Tract 54.02, Kern County, California",1909,91,1711,115,20,24
6029005403,"Census Tract 54.03, Kern County, California",3107,159,2343,214,30,34
6029005404,"Census Tract 54.04, Kern County, California",2644,175,1602,174,64,43
6029005501,"Census Tract 55.01, Kern County, California",2775,123,1342,222,15,24
6029005503,"Census Tract 55.03, Kern County, California",1374,102,807,136,0,132
6029005504,"Census Tract 55.04, Kern County, California",40,63,40,63,0,132
6029005505,"Census Tract 55.05, Kern County, California",5424,381,4208,404,78,59
6029005506,"Census Tract 55.06, Kern County, California",2126,143,1063,134,37,30
6029005600,"Census Tract 56, Kern County, California",1118,54,914,83,12,20
6029005700,"Census Tract 57, Kern County, California",1304,191,817,164,269,141
6029005800,"Census Tract 58, Kern County, California",4477,128,3116,236,68,64
6029005900,"Census Tract 59, Kern County, California",1519,84,997,108,37,35
6029006002,"Census Tract 60.02, Kern County, California",0,132,0,132,0,132
6029006003,"Census Tract 60.03, Kern County, California",2119,109,1506,168,24,30
6029006004,"Census Tract 60.04, Kern County, California",744,57,355,77,0,132
6029006005,"Census Tract 60.05, Kern County, California",6548,221,5796,299,103,79
6029006100,"Census Tract 61, Kern County, California",2232,459,1535,323,9,14
6029006201,"Census Tract 62.01, Kern County, California",884,60,627,110,4,8
6029006202,"Census Tract 62.02, Kern County, California",946,74,713,83,13,16
6029006301,"Census Tract 63.01, Kern County, California",870,79,700,88,24,22
6029006302,"Census Tract 63.02, Kern County, California",2314,175,1486,160,84,76
6029006401,"Census Tract 64.01, Kern County, California",2023,101,1479,141,92,70
6029006402,"Census Tract 64.02, Kern County, California",2216,85,1503,143,114,116
6031000100,"Census Tract 1, Kings County, California",1246,103,1103,97,29,36
6031000200,"Census Tract 2, Kings County, California",725,68,605,72,10,16
6031000300,"Census Tract 3, Kings County, California",1373,221,182,111,866,207
6031000402,"Census Tract 4.02, Kings County, California",1614,119,1369,142,65,57
6031000403,"Census Tract 4.03, Kings County, California",1870,116,1183,151,24,26
6031000404,"Census Tract 4.04, Kings County, California",3066,163,2470,222,194,130
6031000405,"Census Tract 4.05, Kings County, California",2087,159,1031,159,30,50
6031000500,"Census Tract 5, Kings County, California",1530,132,1368,142,15,23
6031000601,"Census Tract 6.01, Kings County, California",2244,134,1834,129,110,57
6031000602,"Census Tract 6.02, Kings County, California",2591,176,1635,236,100,97
6031000701,"Census Tract 7.01, Kings County, California",1973,96,1825,114,34,32
6031000702,"Census Tract 7.02, Kings County, California",1485,92,1166,111,53,45
6031000800,"Census Tract 8, Kings County, California",1550,105,1199,123,33,41
6031000900,"Census Tract 9, Kings County, California",2818,195,1642,202,241,171
6031001001,"Census Tract 10.01, Kings County, California",1448,63,1067,101,29,27
6031001002,"Census Tract 10.02, Kings County, California",1487,156,796,163,38,30
6031001003,"Census Tract 10.03, Kings County, California",1423,115,1337,127,49,44
6031001100,"Census Tract 11, Kings County, California",1721,107,1057,119,18,20
6031001200,"Census Tract 12, Kings County, California",821,72,656,84,16,16
6031001300,"Census Tract 13, Kings County, California",1066,87,508,116,66,55
6031001400,"Census Tract 14, Kings County, California",1447,120,1147,132,48,58
6031001500,"Census Tract 15, Kings County, California",1329,130,1037,122,27,28
6031001601,"Census Tract 16.01, Kings County, California",995,88,881,107,24,26
6031001602,"Census Tract 16.02, Kings County, California",0,132,0,132,0,132
6031001701,"Census Tract 17.01, Kings County, California",3638,351,2333,361,131,127
6031001702,"Census Tract 17.02, Kings County, California",0,132,0,132,0,132
6033000100,"Census Tract 1, Lake County, California",1546,127,1111,148,58,58
6033000300,"Census Tract 3, Lake County, California",1897,94,1281,149,52,42
6033000400,"Census Tract 4, Lake County, California",2985,295,1782,293,124,71
6033000500,"Census Tract 5, Lake County, California",3350,192,2074,313,138,142
6033000600,"Census Tract 6, Lake County, California",3075,197,2331,280,46,73
6033000700,"Census Tract 7, Lake County, California",4742,268,2311,342,141,126
6033000800,"Census Tract 8, Lake County, California",4027,307,2311,320,33,44
6033000900,"Census Tract 9, Lake County, California",3593,161,2924,252,47,58
6033001000,"Census Tract 10, Lake County, California",2590,123,1722,210,44,48
6033001100,"Census Tract 11, Lake County, California",2261,122,2024,139,0,132
6033001200,"Census Tract 12, Lake County, California",1480,144,929,188,0,132
6033001300,"Census Tract 13, Lake County, California",3524,238,3197,276,0,132
6035040100,"Census Tract 401, Lassen County, California",923,80,744,80,27,28
6035040200,"Census Tract 402, Lassen County, California",2350,137,1812,150,9,14
6035040301,"Census Tract 403.01, Lassen County, California",4216,261,2820,285,143,100
6035040302,"Census Tract 403.02, Lassen County, California",1922,153,1509,146,14,14
6035040400,"Census Tract 404, Lassen County, California",562,79,335,88,0,132
6035040500,"Census Tract 405, Lassen County, California",1311,144,904,158,0,132
6035040600,"Census Tract 406, Lassen County, California",1525,190,910,153,24,31
6037101110,"Census Tract 1011.10, Los Angeles County, California",1719,26,1171,110,31,27
6037101120,"Census Tract 1011.20, Los Angeles County, California",1373,17,1338,34,0,132
6037101210,"Census Tract 1012.10, Los Angeles County, California",2300,27,362,159,76,61
6037101220,"Census Tract 1012.20, Los Angeles County, California",1302,48,688,120,31,29
6037101300,"Census Tract 1013, Los Angeles County, California",1523,38,1413,62,85,36
6037101400,"Census Tract 1014, Los Angeles County, California",1462,34,1179,107,62,55
6037102101,"Census Tract 1021.01, Los Angeles County, California",1116,68,744,74,153,73
6037102102,"Census Tract 1021.02, Los Angeles County, California",2440,74,1288,175,721,166
6037103101,"Census Tract 1031.01, Los Angeles County, California",972,18,972,18,0,132
6037103102,"Census Tract 1031.02, Los Angeles County, California",1699,25,1436,95,51,39
6037103200,"Census Tract 1032, Los Angeles County, California",2103,36,1486,135,0,132
6037103300,"Census Tract 1033, Los Angeles County, California",1538,21,1467,55,27,34
6037103400,"Census Tract 1034, Los Angeles County, California",2580,55,1653,171,246,103
6037104103,"Census Tract 1041.03, Los Angeles County, California",813,76,795,90,18,28
6037104104,"Census Tract 1041.04, Los Angeles County, California",987,15,794,72,87,62
6037104105,"Census Tract 1041.05, Los Angeles County, California",1510,24,423,87,148,56
6037104106,"Census Tract 1041.06, Los Angeles County, California",1390,31,572,91,77,48
6037104107,"Census Tract 1041.07, Los Angeles County, California",220,77,149,64,12,18
6037104201,"Census Tract 1042.01, Los Angeles County, California",946,21,829,76,108,66
6037104202,"Census Tract 1042.02, Los Angeles County, California",1779,60,838,151,165,104
6037104310,"Census Tract 1043.10, Los Angeles County, California",550,47,513,59,26,33
6037104320,"Census Tract 1043.20, Los Angeles County, California",1230,59,1050,79,31,34
6037104401,"Census Tract 1044.01, Los Angeles County, California",848,68,690,89,55,41
6037104402,"Census Tract 1044.02, Los Angeles County, California",1014,57,786,118,126,75
6037104500,"Census Tract 1045, Los Angeles County, California",975,40,833,75,56,48
6037104610,"Census Tract 1046.10, Los Angeles County, California",664,63,630,77,24,30
6037104620,"Census Tract 1046.20, Los Angeles County, California",735,27,694,40,41,33
6037104701,"Census Tract 1047.01, Los Angeles County, California",918,23,289,99,9,16
6037104702,"Census Tract 1047.02, Los Angeles County, California",1667,84,453,95,206,84
6037104810,"Census Tract 1048.10, Los Angeles County, California",987,83,950,82,19,24
6037104820,"Census Tract 1048.20, Los Angeles County, California",1240,57,772,106,34,39
6037106010,"Census Tract 1060.10, Los Angeles County, California",1406,25,695,99,239,94
6037106020,"Census Tract 1060.20, Los Angeles County, California",1619,53,1454,90,25,30
6037106111,"Census Tract 1061.11, Los Angeles County, California",1628,26,1261,84,0,132
6037106112,"Census Tract 1061.12, Los Angeles County, California",1522,56,1345,98,92,61
6037106113,"Census Tract 1061.13, Los Angeles County, California",891,17,696,74,162,65
6037106114,"Census Tract 1061.14, Los Angeles County, California",1544,48,567,114,240,108
6037106402,"Census Tract 1064.02, Los Angeles County, California",2301,114,1421,201,338,138
6037106403,"Census Tract 1064.03, Los Angeles County, California",866,13,817,51,16,28
6037106404,"Census Tract 1064.04, Los Angeles County, California",1534,27,31,32,408,85
6037106510,"Census Tract 1065.10, Los Angeles County, California",1143,72,776,87,0,132
6037106520,"Census Tract 1065.20, Los Angeles County, California",1468,55,879,125,45,27
6037106602,"Census Tract 1066.02, Los Angeles County, California",2030,29,1756,84,169,79
6037106603,"Census Tract 1066.03, Los Angeles County, California",993,30,985,32,0,132
6037106604,"Census Tract 1066.04, Los Angeles County, California",1414,30,980,118,55,54
6037106605,"Census Tract 1066.05, Los Angeles County, California",1488,39,1069,85,14,22
6037106606,"Census Tract 1066.06, Los Angeles County, California",0,132,0,132,0,132
6037106641,"Census Tract 1066.41, Los Angeles County, California",779,21,773,24,0,132
6037106642,"Census Tract 1066.42, Los Angeles County, California",997,57,966,64,31,39
6037106643,"Census Tract 1066.43, Los Angeles County, California",1252,57,1240,61,12,20
6037107010,"Census Tract 1070.10, Los Angeles County, California",707,11,684,28,11,17
6037107020,"Census Tract 1070.20, Los Angeles County, California",1261,24,928,104,219,87
6037108101,"Census Tract 1081.01, Los Angeles County, California",794,15,794,15,0,132
6037108102,"Census Tract 1081.02, Los Angeles County, California",1292,39,884,89,354,74
6037108103,"Census Tract 1081.03, Los Angeles County, California",1071,14,1060,22,0,132
6037108104,"Census Tract 1081.04, Los Angeles County, California",591,12,576,26,10,16
6037108200,"Census Tract 1082, Los Angeles County, California",3033,109,2471,160,426,132
6037109100,"Census Tract 1091, Los Angeles County, California",647,17,596,38,21,19
6037109200,"Census Tract 1092, Los Angeles County, California",953,14,937,29,16,25
6037109300,"Census Tract 1093, Los Angeles County, California",1183,18,940,64,44,35
6037109400,"Census Tract 1094, Los Angeles County, California",1473,22,1131,102,76,44
6037109500,"Census Tract 1095, Los Angeles County, California",789,27,572,86,78,58
6037109601,"Census Tract 1096.01, Los Angeles County, California",949,21,910,47,35,39
6037109602,"Census Tract 1096.02, Los Angeles County, California",1371,47,1059,104,73,58
6037109700,"Census Tract 1097, Los Angeles County, California",1430,24,1200,65,58,40
6037109800,"Census Tract 1098, Los Angeles County, California",1845,32,1429,95,48,61
6037111100,"Census Tract 1111, Los Angeles County, California",1717,56,1516,96,138,76
6037111201,"Census Tract 1112.01, Los Angeles County, California",850,14,828,29,22,26
6037111202,"Census Tract 1112.02, Los Angeles County, California",1801,48,1553,93,76,62
6037111203,"Census Tract 1112.03, Los Angeles County, California",2356,30,1815,209,480,206
6037111204,"Census Tract 1112.04, Los Angeles County, California",1950,23,1934,33,11,16
6037111301,"Census Tract 1113.01, Los Angeles County, California",2792,71,1228,187,134,87
6037111302,"Census Tract 1113.02, Los Angeles County, California",2349,79,964,107,349,94
6037111400,"Census Tract 1114, Los Angeles County, California",2720,89,1358,170,10,18
6037113100,"Census Tract 1131, Los Angeles County, California",2071,59,2071,59,0,132
6037113202,"Census Tract 1132.02, Los Angeles County, California",2026,48,1125,82,29,45
6037113211,"Census Tract 1132.11, Los Angeles County, California",1595,42,412,101,1023,124
6037113212,"Census Tract 1132.12, Los Angeles County, California",1127,34,727,95,110,44
6037113213,"Census Tract 1132.13, Los Angeles County, California",1688,33,759,111,251,75
6037113231,"Census Tract 1132.31, Los Angeles County, California",807,14,719,45,8,13
6037113232,"Census Tract 1132.32, Los Angeles County, California",1415,17,1316,59,7,11
6037113233,"Census Tract 1132.33, Los Angeles County, California",2479,48,485,137,140,95
6037113234,"Census Tract 1132.34, Los Angeles County, California",1552,60,330,90,158,85
6037113301,"Census Tract 1133.01, Los Angeles County, California",672,49,600,53,62,59
6037113303,"Census Tract 1133.03, Los Angeles County, California",1430,20,1102,68,0,132
6037113321,"Census Tract 1133.21, Los Angeles County, California",2459,51,452,124,311,117
6037113322,"Census Tract 1133.22, Los Angeles County, California",1365,24,1235,60,71,40
6037113401,"Census Tract 1134.01, Los Angeles County, California",1660,48,1406,81,118,44
6037113421,"Census Tract 1134.21, Los Angeles County, California",2075,76,447,109,53,56
6037113422,"Census Tract 1134.22, Los Angeles County, California",2172,74,985,116,127,79
6037115101,"Census Tract 1151.01, Los Angeles County, California",1743,21,1634,84,10,16
6037115102,"Census Tract 1151.02, Los Angeles County, California",1374,80,296,90,32,30
6037115201,"Census Tract 1152.01, Los Angeles County, California",2683,56,710,159,101,64
6037115202,"Census Tract 1152.02, Los Angeles County, California",1934,34,954,105,41,26
6037115301,"Census Tract 1153.01, Los Angeles County, California",1649,42,806,97,171,85
6037115302,"Census Tract 1153.02, Los Angeles County, California",1078,31,340,69,27,42
6037115401,"Census Tract 1154.01, Los Angeles County, California",2048,74,610,94,80,45
6037115402,"Census Tract 1154.02, Los Angeles County, California",1866,60,843,110,57,36
6037117100,"Census Tract 1171, Los Angeles County, California",2181,49,1205,176,423,147
6037117200,"Census Tract 1172, Los Angeles County, California",1997,28,1094,120,73,40
6037117301,"Census Tract 1173.01, Los Angeles County, California",1237,21,1237,21,0,132
6037117302,"Census Tract 1173.02, Los Angeles County, California",1757,26,1460,72,22,24
6037117303,"Census Tract 1173.03, Los Angeles County, California",1027,32,992,61,0,132
6037117404,"Census Tract 1174.04, Los Angeles County, California",1333,27,1176,64,42,42
6037117405,"Census Tract 1174.05, Los Angeles County, California",775,44,1,4,77,62
6037117406,"Census Tract 1174.06, Los Angeles County, California",1782,45,133,74,121,94
6037117510,"Census Tract 1175.10, Los Angeles County, California",1147,20,150,71,65,43
6037117520,"Census Tract 1175.20, Los Angeles County, California",886,61,42,26,20,25
6037117530,"Census Tract 1175.30, Los Angeles County, California",1601,27,246,90,230,95
6037119000,"Census Tract 1190, Los Angeles County, California",1405,48,1361,69,8,13
6037119100,"Census Tract 1191, Los Angeles County, California",1129,18,896,75,193,65
6037119200,"Census Tract 1192, Los Angeles County, California",992,31,522,101,83,54
6037119310,"Census Tract 1193.10, Los Angeles County, California",962,16,259,74,255,105
6037119320,"Census Tract 1193.20, Los Angeles County, California",1017,46,180,68,91,50
6037119330,"Census Tract 1193.30, Los Angeles County, California",1557,25,307,102,212,91
6037119340,"Census Tract 1193.40, Los Angeles County, California",1969,38,277,107,100,54
6037119400,"Census Tract 1194, Los Angeles County, California",1615,20,1556,45,59,42
6037119700,"Census Tract 1197, Los Angeles County, California",1294,25,1243,47,34,36
6037119800,"Census Tract 1198, Los Angeles County, California",1457,19,1251,97,18,25
6037119900,"Census Tract 1199, Los Angeles County, California",1666,19,1441,77,51,37
6037120010,"Census Tract 1200.10, Los Angeles County, California",929,38,571,78,8,13
6037120020,"Census Tract 1200.20, Los Angeles County, California",1161,16,276,61,3,11
6037120030,"Census Tract 1200.30, Los Angeles County, California",731,17,110,72,0,132
6037120101,"Census Tract 1201.01, Los Angeles County, California",2226,31,375,95,130,86
6037120102,"Census Tract 1201.02, Los Angeles County, California",2996,40,279,118,189,86
6037120300,"Census Tract 1203, Los Angeles County, California",1456,28,1261,84,46,38
6037120400,"Census Tract 1204, Los Angeles County, California",1947,57,629,102,31,32
6037121010,"Census Tract 1210.10, Los Angeles County, California",1271,18,1074,99,27,34
6037121020,"Census Tract 1210.20, Los Angeles County, California",1028,23,656,97,28,43
6037121100,"Census Tract 1211, Los Angeles County, California",1343,61,1081,110,89,56
6037121210,"Census Tract 1212.10, Los Angeles County, California",1359,25,602,105,22,18
6037121220,"Census Tract 1212.20, Los Angeles County, California",975,26,885,58,13,20
6037121600,"Census Tract 1216, Los Angeles County, California",845,24,794,44,51,45
6037121800,"Census Tract 1218, Los Angeles County, California",1867,50,1055,112,14,22
6037121900,"Census Tract 1219, Los Angeles County, California",1098,49,789,89,19,29
6037122000,"Census Tract 1220, Los Angeles County, California",1518,40,1316,100,32,40
6037122110,"Census Tract 1221.10, Los Angeles County, California",1365,50,555,107,73,56
6037122120,"Census Tract 1221.20, Los Angeles County, California",1113,15,687,91,38,37
6037122200,"Census Tract 1222, Los Angeles County, California",1528,72,703,106,97,74
6037122410,"Census Tract 1224.10, Los Angeles County, California",1178,25,123,63,35,34
6037122420,"Census Tract 1224.20, Los Angeles County, California",1358,28,629,88,12,19
6037123010,"Census Tract 1230.10, Los Angeles County, California",1031,62,518,98,31,31
6037123020,"Census Tract 1230.20, Los Angeles County, California",775,20,486,82,71,52
6037123103,"Census Tract 1231.03, Los Angeles County, California",1567,29,420,88,155,63
6037123104,"Census Tract 1231.04, Los Angeles County, California",1667,23,416,111,85,46
6037123203,"Census Tract 1232.03, Los Angeles County, California",1087,43,170,67,10,18
6037123204,"Census Tract 1232.04, Los Angeles County, California",989,54,143,53,21,33
6037123205,"Census Tract 1232.05, Los Angeles County, California",756,27,109,63,114,56
6037123206,"Census Tract 1232.06, Los Angeles County, California",876,42,221,70,23,19
6037123301,"Census Tract 1233.01, Los Angeles County, California",1555,42,733,114,117,53
6037123303,"Census Tract 1233.03, Los Angeles County, California",909,50,388,71,0,132
6037123304,"Census Tract 1233.04, Los Angeles County, California",1692,54,408,166,17,18
6037123410,"Census Tract 1234.10, Los Angeles County, California",1268,61,355,104,54,46
6037123420,"Census Tract 1234.20, Los Angeles County, California",1379,53,526,107,71,53
6037123510,"Census Tract 1235.10, Los Angeles County, California",1504,54,456,83,20,28
6037123520,"Census Tract 1235.20, Los Angeles County, California",988,41,384,78,13,16
6037123601,"Census Tract 1236.01, Los Angeles County, California",1932,26,610,127,53,39
6037123602,"Census Tract 1236.02, Los Angeles County, California",1336,42,637,100,40,49
6037123700,"Census Tract 1237, Los Angeles County, California",1517,47,822,97,57,38
6037123800,"Census Tract 1238, Los Angeles County, California",2449,27,988,169,4,16
6037123900,"Census Tract 1239, Los Angeles County, California",2617,64,1154,180,100,67
6037124000,"Census Tract 1240, Los Angeles County, California",2117,30,1125,152,48,55
6037124101,"Census Tract 1241.01, Los Angeles County, California",2635,37,654,161,86,64
6037124102,"Census Tract 1241.02, Los Angeles County, California",1444,93,503,113,60,54
6037124201,"Census Tract 1242.01, Los Angeles County, California",1174,13,761,104,5,12
6037124202,"Census Tract 1242.02, Los Angeles County, California",1914,66,479,134,133,80
6037124300,"Census Tract 1243, Los Angeles County, California",1439,58,678,124,14,22
6037124400,"Census Tract 1244, Los Angeles County, California",1720,22,818,90,51,39
6037124500,"Census Tract 1245, Los Angeles County, California",1237,17,696,84,17,20
6037124600,"Census Tract 1246, Los Angeles County, California",2091,47,980,105,27,29
6037124700,"Census Tract 1247, Los Angeles County, California",2191,36,873,129,64,49
6037124901,"Census Tract 1249.01, Los Angeles County, California",3191,90,227,109,34,40
6037125100,"Census Tract 1251, Los Angeles County, California",2957,89,550,126,59,46
6037125200,"Census Tract 1252, Los Angeles County, California",1823,35,564,112,47,39
6037125310,"Census Tract 1253.10, Los Angeles County, California",1545,66,453,108,59,60
6037125320,"Census Tract 1253.20, Los Angeles County, California",2116,69,84,52,22,26
6037125400,"Census Tract 1254, Los Angeles County, California",4144,107,277,98,75,67
6037125500,"Census Tract 1255, Los Angeles County, California",3360,156,546,170,296,125
6037125600,"Census Tract 1256, Los Angeles County, California",1264,27,588,92,6,13
6037127101,"Census Tract 1271.01, Los Angeles County, California",2376,104,419,129,112,84
6037127102,"Census Tract 1271.02, Los Angeles County, California",1505,47,373,78,132,64
6037127210,"Census Tract 1272.10, Los Angeles County, California",1881,72,530,103,186,90
6037127220,"Census Tract 1272.20, Los Angeles County, California",1710,25,398,95,45,20
6037127300,"Census Tract 1273, Los Angeles County, California",1783,50,584,96,18,20
6037127400,"Census Tract 1274, Los Angeles County, California",1288,58,399,97,30,23
6037127510,"Census Tract 1275.10, Los Angeles County, California",1706,81,676,133,118,72
6037127520,"Census Tract 1275.20, Los Angeles County, California",1004,50,5,15,114,95
6037127601,"Census Tract 1276.01, Los Angeles County, California",2142,23,560,130,74,65
6037127602,"Census Tract 1276.02, Los Angeles County, California",2121,62,754,140,15,25
6037127710,"Census Tract 1277.10, Los Angeles County, California",2712,37,862,158,52,58
6037127801,"Census Tract 1278.01, Los Angeles County, California",2825,86,774,110,116,70
6037127802,"Census Tract 1278.02, Los Angeles County, California",2285,67,605,130,83,59
6037127910,"Census Tract 1279.10, Los Angeles County, California",1556,36,344,91,70,76
6037127920,"Census Tract 1279.20, Los Angeles County, California",1244,63,581,109,14,22
6037128100,"Census Tract 1281, Los Angeles County, California",2759,58,777,137,175,98
6037128210,"Census Tract 1282.10, Los Angeles County, California",1520,56,65,58,71,44
6037128220,"Census Tract 1282.20, Los Angeles County, California",1181,33,516,99,30,44
6037128302,"Census Tract 1283.02, Los Angeles County, California",1449,57,253,89,19,29
6037128303,"Census Tract 1283.03, Los Angeles County, California",1144,34,39,30,17,24
6037128400,"Census Tract 1284, Los Angeles County, California",1774,27,864,95,37,35
6037128500,"Census Tract 1285, Los Angeles County, California",2507,107,778,168,174,91
6037128600,"Census Tract 1286, Los Angeles County, California",2583,55,795,116,79,43
6037128702,"Census Tract 1287.02, Los Angeles County, California",2846,36,912,120,73,45
6037128800,"Census Tract 1288, Los Angeles County, California",3922,120,813,133,178,91
6037128910,"Census Tract 1289.10, Los Angeles County, California",1877,53,972,111,7,11
6037131010,"Census Tract 1310.10, Los Angeles County, California",2031,36,585,98,47,39
6037131020,"Census Tract 1310.20, Los Angeles County, California",1671,30,1106,115,27,29
6037131100,"Census Tract 1311, Los Angeles County, California",1070,36,1064,39,6,11
6037131200,"Census Tract 1312, Los Angeles County, California",1123,18,1086,39,0,132
6037131300,"Census Tract 1313, Los Angeles County, California",1259,17,1233,27,21,21
6037131400,"Census Tract 1314, Los Angeles County, California",1860,55,935,108,171,79
6037131600,"Census Tract 1316, Los Angeles County, California",1396,59,1167,95,159,82
6037131700,"Census Tract 1317, Los Angeles County, California",2819,86,997,154,402,121
6037131800,"Census Tract 1318, Los Angeles County, California",1531,45,1012,112,10,17
6037131900,"Census Tract 1319, Los Angeles County, California",1397,21,1356,52,0,132
6037132000,"Census Tract 1320, Los Angeles County, California",2256,74,1756,130,156,68
6037132100,"Census Tract 1321, Los Angeles County, California",2137,75,1006,143,106,44
6037132300,"Census Tract 1323, Los Angeles County, California",2347,73,734,107,55,54
6037132500,"Census Tract 1325, Los Angeles County, California",2512,29,915,132,316,94
6037132700,"Census Tract 1327, Los Angeles County, California",1565,27,1003,94,11,18
6037132900,"Census Tract 1329, Los Angeles County, California",1382,31,992,107,11,18
6037133000,"Census Tract 1330, Los Angeles County, California",1266,28,1015,81,50,35
6037133100,"Census Tract 1331, Los Angeles County, California",1827,55,1024,99,64,64
6037134000,"Census Tract 1340, Los Angeles County, California",2003,34,1007,106,61,43
6037134101,"Census Tract 1341.01, Los Angeles County, California",1457,26,1160,95,0,132
6037134103,"Census Tract 1341.03, Los Angeles County, California",1337,45,922,82,53,46
6037134104,"Census Tract 1341.04, Los Angeles County, California",1318,26,628,91,17,14
6037134201,"Census Tract 1342.01, Los Angeles County, California",1159,57,895,83,10,17
6037134302,"Census Tract 1343.02, Los Angeles County, California",1269,19,1253,28,16,21
6037134303,"Census Tract 1343.03, Los Angeles County, California",1835,24,1299,115,143,68
6037134304,"Census Tract 1343.04, Los Angeles County, California",859,20,674,75,75,53
6037134305,"Census Tract 1343.05, Los Angeles County, California",1120,19,13,19,12,19
6037134306,"Census Tract 1343.06, Los Angeles County, California",1228,63,293,80,47,40
6037134401,"Census Tract 1344.01, Los Angeles County, California",2160,75,1992,100,14,23
6037134421,"Census Tract 1344.21, Los Angeles County, California",1380,22,1352,48,28,43
6037134422,"Census Tract 1344.22, Los Angeles County, California",1606,32,1567,44,0,132
6037134510,"Census Tract 1345.10, Los Angeles County, California",1969,54,459,130,29,40
6037134520,"Census Tract 1345.20, Los Angeles County, California",1877,49,251,84,86,43
6037134710,"Census Tract 1347.10, Los Angeles County, California",1579,36,455,73,0,132
6037134720,"Census Tract 1347.20, Los Angeles County, California",1657,27,599,95,358,113
6037134800,"Census Tract 1348, Los Angeles County, California",1838,35,1735,61,39,25
6037134901,"Census Tract 1349.01, Los Angeles County, California",1165,29,853,109,0,132
6037134902,"Census Tract 1349.02, Los Angeles County, California",3728,70,1164,165,0,132
6037135102,"Census Tract 1351.02, Los Angeles County, California",1139,71,851,95,98,46
6037135111,"Census Tract 1351.11, Los Angeles County, California",1180,19,869,81,19,17
6037135112,"Census Tract 1351.12, Los Angeles County, California",4135,82,21,23,705,183
6037135201,"Census Tract 1352.01, Los Angeles County, California",821,22,771,53,0,132
6037135202,"Census Tract 1352.02, Los Angeles County, California",1511,23,1453,55,25,20
6037135203,"Census Tract 1352.03, Los Angeles County, California",2475,37,2335,73,113,62
6037137000,"Census Tract 1370, Los Angeles County, California",1722,29,1651,48,24,26
6037137102,"Census Tract 1371.02, Los Angeles County, California",3573,63,1083,175,540,140
6037137201,"Census Tract 1372.01, Los Angeles County, California",2271,162,1025,150,147,72
6037137301,"Census Tract 1373.01, Los Angeles County, California",766,12,748,24,10,16
6037137302,"Census Tract 1373.02, Los Angeles County, California",1620,23,1566,50,43,43
