Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6037128910,"Census Tract 1289.10, Los Angeles County, California",1877,53
6037131010,"Census Tract 1310.10, Los Angeles County, California",2031,36
6037131020,"Census Tract 1310.20, Los Angeles County, California",1671,30
6037131100,"Census Tract 1311, Los Angeles County, California",1070,36
6037131200,"Census Tract 1312, Los Angeles County, California",1123,18
6037131300,"Census Tract 1313, Los Angeles County, California",1259,17
6037131400,"Census Tract 1314, Los Angeles County, California",1860,55
6037131600,"Census Tract 1316, Los Angeles County, California",1396,59
6037131700,"Census Tract 1317, Los Angeles County, California",2819,86
6037131800,"Census Tract 1318, Los Angeles County, California",1531,45
6037131900,"Census Tract 1319, Los Angeles County, California",1397,21
6037132000,"Census Tract 1320, Los Angeles County, California",2256,74
6037132100,"Census Tract 1321, Los Angeles County, California",2137,75
6037132300,"Census Tract 1323, Los Angeles County, California",2347,73
6037132500,"Census Tract 1325, Los Angeles County, California",2512,29
6037132700,"Census Tract 1327, Los Angeles County, California",1565,27
6037132900,"Census Tract 1329, Los Angeles County, California",1382,31
6037133000,"Census Tract 1330, Los Angeles County, California",1266,28
6037133100,"Census Tract 1331, Los Angeles County, California",1827,55
6037134000,"Census Tract 1340, Los Angeles County, California",2003,34
6037134101,"Census Tract 1341.01, Los Angeles County, California",1457,26
6037134103,"Census Tract 1341.03, Los Angeles County, California",1337,45
6037134104,"Census Tract 1341.04, Los Angeles County, California",1318,26
6037134201,"Census Tract 1342.01, Los Angeles County, California",1159,57
6037134302,"Census Tract 1343.02, Los Angeles County, California",1269,19
6037134303,"Census Tract 1343.03, Los Angeles County, California",1835,24
6037134304,"Census Tract 1343.04, Los Angeles County, California",859,20
6037134305,"Census Tract 1343.05, Los Angeles County, California",1120,19
6037134306,"Census Tract 1343.06, Los Angeles County, California",1228,63
6037134401,"Census Tract 1344.01, Los Angeles County, California",2160,75
6037134421,"Census Tract 1344.21, Los Angeles County, California",1380,22
6037134422,"Census Tract 1344.22, Los Angeles County, California",1606,32
6037134510,"Census Tract 1345.10, Los Angeles County, California",1969,54
6037134520,"Census Tract 1345.20, Los Angeles County, California",1877,49
6037134710,"Census Tract 1347.10, Los Angeles County, California",1579,36
6037134720,"Census Tract 1347.20, Los Angeles County, California",1657,27
6037134800,"Census Tract 1348, Los Angeles County, California",1838,35
6037134901,"Census Tract 1349.01, Los Angeles County, California",1165,29
6037134902,"Census Tract 1349.02, Los Angeles County, California",3728,70
6037135102,"Census Tract 1351.02, Los Angeles County, California",1139,71
6037135111,"Census Tract 1351.11, Los Angeles County, California",1180,19
6037135112,"Census Tract 1351.12, Los Angeles County, California",4135,82
6037135201,"Census Tract 1352.01, Los Angeles County, California",821,22
6037135202,"Census Tract 1352.02, Los Angeles County, California",1511,23
6037135203,"Census Tract 1352.03, Los Angeles County, California",2475,37
6037137000,"Census Tract 1370, Los Angeles County, California",1722,29
6037137102,"Census Tract 1371.02, Los Angeles County, California",3573,63
6037137201,"Census Tract 1372.01, Los Angeles County, California",2271,162
6037137301,"Census Tract 1373.01, Los Angeles County, California",766,12
6037137302,"Census Tract 1373.02, Los Angeles County, California",1620,23
6037137401,"Census Tract 1374.01, Los Angeles County, California",1915,48
6037137402,"Census Tract 1374.02, Los Angeles County, California",1992,75
6037137501,"Census Tract 1375.01, Los Angeles County, California",1744,52
6037137502,"Census Tract 1375.02, Los Angeles County, California",1716,38
6037137504,"Census Tract 1375.04, Los Angeles County, California",667,42
6037138000,"Census Tract 1380, Los Angeles County, California",1877,24
6037139000,"Census Tract 1390, Los Angeles County, California",2268,27
6037139200,"Census Tract 1392, Los Angeles County, California",2313,126
6037139301,"Census Tract 1393.01, Los Angeles County, California",1578,67
6037139302,"Census Tract 1393.02, Los Angeles County, California",2018,29
6037139303,"Census Tract 1393.03, Los Angeles County, California",2069,34
6037139400,"Census Tract 1394, Los Angeles County, California",2172,42
6037139501,"Census Tract 1395.01, Los Angeles County, California",4520,76
6037139502,"Census Tract 1395.02, Los Angeles County, California",1268,42
6037139600,"Census Tract 1396, Los Angeles County, California",2258,63
6037139701,"Census Tract 1397.01, Los Angeles County, California",1887,51
6037139702,"Census Tract 1397.02, Los Angeles County, California",2241,70
6037139703,"Census Tract 1397.03, Los Angeles County, California",1083,13
6037139801,"Census Tract 1398.01, Los Angeles County, California",1262,63
6037139802,"Census Tract 1398.02, Los Angeles County, California",1391,25
6037141100,"Census Tract 1411, Los Angeles County, California",3134,87
6037141200,"Census Tract 1412, Los Angeles County, California",3488,93
6037141301,"Census Tract 1413.01, Los Angeles County, California",3248,101
6037141302,"Census Tract 1413.02, Los Angeles County, California",3139,106
6037141400,"Census Tract 1414, Los Angeles County, California",1942,23
6037141500,"Census Tract 1415, Los Angeles County, California",1169,17
6037141600,"Census Tract 1416, Los Angeles County, California",1712,45
6037141700,"Census Tract 1417, Los Angeles County, California",1322,27
6037143100,"Census Tract 1431, Los Angeles County, California",2173,103
6037143200,"Census Tract 1432, Los Angeles County, California",1977,139
6037143300,"Census Tract 1433, Los Angeles County, California",3072,79
6037143400,"Census Tract 1434, Los Angeles County, California",2930,121
6037143500,"Census Tract 1435, Los Angeles County, California",2272,101
6037143601,"Census Tract 1436.01, Los Angeles County, California",3510,105
6037143602,"Census Tract 1436.02, Los Angeles County, California",2065,103
6037143700,"Census Tract 1437, Los Angeles County, California",2300,30
6037143800,"Census Tract 1438, Los Angeles County, California",2506,89
6037143901,"Census Tract 1439.01, Los Angeles County, California",1709,49
6037143902,"Census Tract 1439.02, Los Angeles County, California",1412,53
6037181000,"Census Tract 1810, Los Angeles County, California",2273,62
6037181300,"Census Tract 1813, Los Angeles County, California",1404,27
6037181400,"Census Tract 1814, Los Angeles County, California",1627,37
6037181500,"Census Tract 1815, Los Angeles County, California",1418,40
6037181600,"Census Tract 1816, Los Angeles County, California",1592,45
6037183101,"Census Tract 1831.01, Los Angeles County, California",1385,22
6037183102,"Census Tract 1831.02, Los Angeles County, California",2267,47
6037183210,"Census Tract 1832.10, Los Angeles County, California",1979,50
6037183220,"Census Tract 1832.20, Los Angeles County, California",1238,20
6037183300,"Census Tract 1833, Los Angeles County, California",1433,51
6037183400,"Census Tract 1834, Los Angeles County, California",1294,53
6037183510,"Census Tract 1835.10, Los Angeles County, California",807,13
6037183520,"Census Tract 1835.20, Los Angeles County, California",1185,16
6037183610,"Census Tract 1836.10, Los Angeles County, California",1031,42
6037183620,"Census Tract 1836.20, Los Angeles County, California",1068,22
6037183700,"Census Tract 1837, Los Angeles County, California",2432,75
6037183810,"Census Tract 1838.10, Los Angeles County, California",1318,61
6037183820,"Census Tract 1838.20, Los Angeles County, California",1135,39
6037185100,"Census Tract 1851, Los Angeles County, California",2375,63
6037185201,"Census Tract 1852.01, Los Angeles County, California",1679,60
6037185202,"Census Tract 1852.02, Los Angeles County, California",1478,29
6037185310,"Census Tract 1853.10, Los Angeles County, California",899,15
6037185320,"Census Tract 1853.20, Los Angeles County, California",930,18
6037186100,"Census Tract 1861, Los Angeles County, California",1847,40
6037186200,"Census Tract 1862, Los Angeles County, California",3028,81
6037186300,"Census Tract 1863, Los Angeles County, California",2082,53
6037186401,"Census Tract 1864.01, Los Angeles County, California",1646,56
6037186402,"Census Tract 1864.02, Los Angeles County, California",1564,26
6037187100,"Census Tract 1871, Los Angeles County, California",2519,36
6037187200,"Census Tract 1872, Los Angeles County, California",884,35
6037187300,"Census Tract 1873, Los Angeles County, California",1626,55
6037188100,"Census Tract 1881, Los Angeles County, California",1850,55
6037188200,"Census Tract 1882, Los Angeles County, California",3343,40
6037188300,"Census Tract 1883, Los Angeles County, California",1477,24
6037189100,"Census Tract 1891, Los Angeles County, California",3594,46
6037189200,"Census Tract 1892, Los Angeles County, California",3513,37
6037189300,"Census Tract 1893, Los Angeles County, California",1399,26
6037189400,"Census Tract 1894, Los Angeles County, California",1847,23
6037189500,"Census Tract 1895, Los Angeles County, California",2943,77
6037189600,"Census Tract 1896, Los Angeles County, California",2274,64
6037189701,"Census Tract 1897.01, Los Angeles County, California",2600,42
6037189702,"Census Tract 1897.02, Los Angeles County, California",1321,56
6037189800,"Census Tract 1898, Los Angeles County, California",1578,58
6037189901,"Census Tract 1899.01, Los Angeles County, California",4647,70
6037189902,"Census Tract 1899.02, Los Angeles County, California",3111,98
6037190100,"Census Tract 1901, Los Angeles County, California",3452,41
6037190200,"Census Tract 1902, Los Angeles County, California",3703,114
6037190301,"Census Tract 1903.01, Los Angeles County, California",2755,97
6037190400,"Census Tract 1904, Los Angeles County, California",3270,39
6037190510,"Census Tract 1905.10, Los Angeles County, California",1675,58
6037190520,"Census Tract 1905.20, Los Angeles County, California",1669,65
6037190700,"Census Tract 1907, Los Angeles County, California",1835,79
6037190800,"Census Tract 1908, Los Angeles County, California",2899,102
6037190901,"Census Tract 1909.01, Los Angeles County, California",1599,68
6037190902,"Census Tract 1909.02, Los Angeles County, California",1675,62
6037191000,"Census Tract 1910, Los Angeles County, California",1457,34
6037191110,"Census Tract 1911.10, Los Angeles County, California",1153,60
6037191120,"Census Tract 1911.20, Los Angeles County, California",1603,91
6037191201,"Census Tract 1912.01, Los Angeles County, California",1817,43
6037191203,"Census Tract 1912.03, Los Angeles County, California",1331,25
6037191204,"Census Tract 1912.04, Los Angeles County, California",908,22
6037191300,"Census Tract 1913, Los Angeles County, California",2033,57
6037191410,"Census Tract 1914.10, Los Angeles County, California",1774,51
6037191420,"Census Tract 1914.20, Los Angeles County, California",1206,58
6037191500,"Census Tract 1915, Los Angeles County, California",1786,56
6037191610,"Census Tract 1916.10, Los Angeles County, California",1509,53
6037191620,"Census Tract 1916.20, Los Angeles County, California",886,47
6037191710,"Census Tract 1917.10, Los Angeles County, California",1369,47
6037191720,"Census Tract 1917.20, Los Angeles County, California",1432,55
6037191810,"Census Tract 1918.10, Los Angeles County, California",1418,28
6037191820,"Census Tract 1918.20, Los Angeles County, California",1290,82
6037191900,"Census Tract 1919, Los Angeles County, California",3496,90
6037192000,"Census Tract 1920, Los Angeles County, California",2749,68
6037192300,"Census Tract 1923, Los Angeles County, California",1645,65
6037192410,"Census Tract 1924.10, Los Angeles County, California",1732,74
6037192420,"Census Tract 1924.20, Los Angeles County, California",1534,45
6037192510,"Census Tract 1925.10, Los Angeles County, California",1220,29
6037192520,"Census Tract 1925.20, Los Angeles County, California",1671,64
6037192610,"Census Tract 1926.10, Los Angeles County, California",1520,45
6037192620,"Census Tract 1926.20, Los Angeles County, California",1369,37
6037192700,"Census Tract 1927, Los Angeles County, California",1155,56
6037194100,"Census Tract 1941, Los Angeles County, California",3635,78
6037194200,"Census Tract 1942, Los Angeles County, California",3273,72
6037194300,"Census Tract 1943, Los Angeles County, California",1128,51
6037194400,"Census Tract 1944, Los Angeles County, California",3654,76
6037194500,"Census Tract 1945, Los Angeles County, California",1010,47
6037195100,"Census Tract 1951, Los Angeles County, California",2183,76
6037195200,"Census Tract 1952, Los Angeles County, California",3306,31
6037195300,"Census Tract 1953, Los Angeles County, California",1660,27
6037195400,"Census Tract 1954, Los Angeles County, California",2435,38
6037195500,"Census Tract 1955, Los Angeles County, California",2445,56
6037195600,"Census Tract 1956, Los Angeles County, California",1196,85
6037195710,"Census Tract 1957.10, Los Angeles County, California",1397,47
6037195720,"Census Tract 1957.20, Los Angeles County, California",1079,39
6037195801,"Census Tract 1958.01, Los Angeles County, California",2470,84
6037195802,"Census Tract 1958.02, Los Angeles County, California",947,42
6037195900,"Census Tract 1959, Los Angeles County, California",3386,45
6037197110,"Census Tract 1971.10, Los Angeles County, California",196,63
6037197200,"Census Tract 1972, Los Angeles County, California",1687,45
6037197300,"Census Tract 1973, Los Angeles County, California",1813,66
6037197410,"Census Tract 1974.10, Los Angeles County, California",1313,62
6037197420,"Census Tract 1974.20, Los Angeles County, California",1369,48
6037197500,"Census Tract 1975, Los Angeles County, California",1772,64
6037197600,"Census Tract 1976, Los Angeles County, California",904,92
6037197700,"Census Tract 1977, Los Angeles County, California",1897,44
6037199000,"Census Tract 1990, Los Angeles County, California",1341,69
6037199110,"Census Tract 1991.10, Los Angeles County, California",817,38
6037199120,"Census Tract 1991.20, Los Angeles County, California",1053,29
6037199201,"Census Tract 1992.01, Los Angeles County, California",1216,77
6037199202,"Census Tract 1992.02, Los Angeles County, California",939,18
6037199300,"Census Tract 1993, Los Angeles County, California",1241,89
6037199400,"Census Tract 1994, Los Angeles County, California",1422,30
6037199700,"Census Tract 1997, Los Angeles County, California",977,33
6037199800,"Census Tract 1998, Los Angeles County, California",1626,25
6037199900,"Census Tract 1999, Los Angeles County, California",825,38
6037201110,"Census Tract 2011.10, Los Angeles County, California",478,32
6037201120,"Census Tract 2011.20, Los Angeles County, California",1450,70
6037201200,"Census Tract 2012, Los Angeles County, California",777,21
6037201301,"Census Tract 2013.01, Los Angeles County, California",1046,19
6037201302,"Census Tract 2013.02, Los Angeles County, California",2052,37
6037201401,"Census Tract 2014.01, Los Angeles County, California",1448,36
6037201402,"Census Tract 2014.02, Los Angeles County, California",1458,22
6037201501,"Census Tract 2015.01, Los Angeles County, California",1629,51
6037201503,"Census Tract 2015.03, Los Angeles County, California",991,21
6037201504,"Census Tract 2015.04, Los Angeles County, California",671,13
6037201600,"Census Tract 2016, Los Angeles County, California",1543,32
6037201700,"Census Tract 2017, Los Angeles County, California",1457,24
6037203100,"Census Tract 2031, Los Angeles County, California",1184,59
6037203200,"Census Tract 2032, Los Angeles County, California",1311,48
6037203300,"Census Tract 2033, Los Angeles County, California",195,71
6037203500,"Census Tract 2035, Los Angeles County, California",1230,65
6037203600,"Census Tract 2036, Los Angeles County, California",1667,56
6037203710,"Census Tract 2037.10, Los Angeles County, California",891,32
6037203720,"Census Tract 2037.20, Los Angeles County, California",1146,46
6037203800,"Census Tract 2038, Los Angeles County, California",1298,18
6037203900,"Census Tract 2039, Los Angeles County, California",756,33
6037204110,"Census Tract 2041.10, Los Angeles County, California",874,49
6037204120,"Census Tract 2041.20, Los Angeles County, California",747,24
6037204200,"Census Tract 2042, Los Angeles County, California",991,55
6037204300,"Census Tract 2043, Los Angeles County, California",1362,54
6037204410,"Census Tract 2044.10, Los Angeles County, California",637,35
6037204420,"Census Tract 2044.20, Los Angeles County, California",1010,81
6037204600,"Census Tract 2046, Los Angeles County, California",1119,57
6037204700,"Census Tract 2047, Los Angeles County, California",1252,54
6037204810,"Census Tract 2048.10, Los Angeles County, California",1133,53
6037204820,"Census Tract 2048.20, Los Angeles County, California",517,57
6037204910,"Census Tract 2049.10, Los Angeles County, California",771,41
6037204920,"Census Tract 2049.20, Los Angeles County, California",679,13
6037205110,"Census Tract 2051.10, Los Angeles County, California",936,19
6037205120,"Census Tract 2051.20, Los Angeles County, California",995,37
6037206010,"Census Tract 2060.10, Los Angeles County, California",906,38
6037206020,"Census Tract 2060.20, Los Angeles County, California",105,61
6037206030,"Census Tract 2060.30, Los Angeles County, California",509,72
6037206040,"Census Tract 2060.40, Los Angeles County, California",1292,90
6037206050,"Census Tract 2060.50, Los Angeles County, California",1309,58
6037206200,"Census Tract 2062, Los Angeles County, California",1429,76
6037206300,"Census Tract 2063, Los Angeles County, California",1872,95
6037207100,"Census Tract 2071, Los Angeles County, California",2655,82
6037207300,"Census Tract 2073, Los Angeles County, California",4289,214
6037207400,"Census Tract 2074, Los Angeles County, California",0,132
6037207500,"Census Tract 2075, Los Angeles County, California",3355,92
6037207710,"Census Tract 2077.10, Los Angeles County, California",1301,71
6037207900,"Census Tract 2079, Los Angeles County, California",1538,78
6037208000,"Census Tract 2080, Los Angeles County, California",1428,25
6037208300,"Census Tract 2083, Los Angeles County, California",2432,104
6037208400,"Census Tract 2084, Los Angeles County, California",1980,40
6037208500,"Census Tract 2085, Los Angeles County, California",2178,51
6037208610,"Census Tract 2086.10, Los Angeles County, California",1519,51
6037208620,"Census Tract 2086.20, Los Angeles County, California",1759,45
6037208710,"Census Tract 2087.10, Los Angeles County, California",1983,56
6037208720,"Census Tract 2087.20, Los Angeles County, California",1589,42
6037208800,"Census Tract 2088, Los Angeles County, California",2571,85
6037208902,"Census Tract 2089.02, Los Angeles County, California",608,45
6037208903,"Census Tract 2089.03, Los Angeles County, California",1190,82
6037208904,"Census Tract 2089.04, Los Angeles County, California",1339,48
6037209101,"Census Tract 2091.01, Los Angeles County, California",2021,77
6037209102,"Census Tract 2091.02, Los Angeles County, California",1825,65
6037209200,"Census Tract 2092, Los Angeles County, California",990,49
6037209300,"Census Tract 2093, Los Angeles County, California",1973,68
6037209401,"Census Tract 2094.01, Los Angeles County, California",1361,53
6037209402,"Census Tract 2094.02, Los Angeles County, California",1171,81
6037209403,"Census Tract 2094.03, Los Angeles County, California",1293,48
6037209510,"Census Tract 2095.10, Los Angeles County, California",1038,70
6037209520,"Census Tract 2095.20, Los Angeles County, California",960,63
6037209810,"Census Tract 2098.10, Los Angeles County, California",792,46
6037209820,"Census Tract 2098.20, Los Angeles County, California",977,16
6037210010,"Census Tract 2100.10, Los Angeles County, California",1195,46
6037211000,"Census Tract 2110, Los Angeles County, California",1684,27
6037211110,"Census Tract 2111.10, Los Angeles County, California",2353,64
6037211120,"Census Tract 2111.20, Los Angeles County, California",2203,50
6037211200,"Census Tract 2112, Los Angeles County, California",2075,81
6037211310,"Census Tract 2113.10, Los Angeles County, California",1363,60
6037211320,"Census Tract 2113.20, Los Angeles County, California",1384,19
6037211410,"Census Tract 2114.10, Los Angeles County, California",1245,25
6037211420,"Census Tract 2114.20, Los Angeles County, California",1388,37
6037211500,"Census Tract 2115, Los Angeles County, California",1757,81
6037211701,"Census Tract 2117.01, Los Angeles County, California",1404,54
6037211702,"Census Tract 2117.02, Los Angeles County, California",3709,81
6037211801,"Census Tract 2118.01, Los Angeles County, California",3121,42
6037211802,"Census Tract 2118.02, Los Angeles County, California",2127,92
6037211910,"Census Tract 2119.10, Los Angeles County, California",1868,43
6037211920,"Census Tract 2119.20, Los Angeles County, California",2550,59
6037212100,"Census Tract 2121, Los Angeles County, California",2591,92
6037212202,"Census Tract 2122.02, Los Angeles County, California",1267,75
6037212203,"Census Tract 2122.03, Los Angeles County, California",1132,41
6037212204,"Census Tract 2122.04, Los Angeles County, California",1325,56
6037212303,"Census Tract 2123.03, Los Angeles County, California",1325,23
6037212304,"Census Tract 2123.04, Los Angeles County, California",859,75
6037212305,"Census Tract 2123.05, Los Angeles County, California",1067,49
6037212306,"Census Tract 2123.06, Los Angeles County, California",1211,34
6037212410,"Census Tract 2124.10, Los Angeles County, California",1744,41
6037212420,"Census Tract 2124.20, Los Angeles County, California",1256,43
6037212500,"Census Tract 2125, Los Angeles County, California",2124,90
6037212610,"Census Tract 2126.10, Los Angeles County, California",1683,42
6037212620,"Census Tract 2126.20, Los Angeles County, California",1862,54
6037212700,"Census Tract 2127, Los Angeles County, California",2355,67
6037212800,"Census Tract 2128, Los Angeles County, California",1426,71
6037212900,"Census Tract 2129, Los Angeles County, California",1573,56
6037213100,"Census Tract 2131, Los Angeles County, California",845,62
6037213201,"Census Tract 2132.01, Los Angeles County, California",1336,68
6037213202,"Census Tract 2132.02, Los Angeles County, California",1279,60
6037213310,"Census Tract 2133.10, Los Angeles County, California",1150,46
6037213320,"Census Tract 2133.20, Los Angeles County, California",1053,48
6037213401,"Census Tract 2134.01, Los Angeles County, California",1685,54
6037213402,"Census Tract 2134.02, Los Angeles County, California",1651,74
6037214000,"Census Tract 2140, Los Angeles County, California",1399,54
6037214100,"Census Tract 2141, Los Angeles County, California",1761,69
6037214400,"Census Tract 2144, Los Angeles County, California",1828,53
6037214500,"Census Tract 2145, Los Angeles County, California",6004,102
6037214600,"Census Tract 2146, Los Angeles County, California",1426,54
6037214700,"Census Tract 2147, Los Angeles County, California",1353,25
6037214800,"Census Tract 2148, Los Angeles County, California",1501,68
6037214900,"Census Tract 2149, Los Angeles County, California",3974,115
6037215100,"Census Tract 2151, Los Angeles County, California",3968,93
6037216100,"Census Tract 2161, Los Angeles County, California",1111,57
6037216200,"Census Tract 2162, Los Angeles County, California",2345,32
6037216300,"Census Tract 2163, Los Angeles County, California",2456,71
6037216400,"Census Tract 2164, Los Angeles County, California",3423,101
6037216700,"Census Tract 2167, Los Angeles County, California",1711,52
6037216800,"Census Tract 2168, Los Angeles County, California",1627,34
6037216900,"Census Tract 2169, Los Angeles County, California",2630,73
6037217000,"Census Tract 2170, Los Angeles County, California",3021,114
6037217100,"Census Tract 2171, Los Angeles County, California",2737,81
6037217200,"Census Tract 2172, Los Angeles County, California",1725,53
6037218110,"Census Tract 2181.10, Los Angeles County, California",1229,54
6037218120,"Census Tract 2181.20, Los Angeles County, California",1426,35
6037218210,"Census Tract 2182.10, Los Angeles County, California",1286,36
6037218220,"Census Tract 2182.20, Los Angeles County, California",1553,47
6037218300,"Census Tract 2183, Los Angeles County, California",2154,59
6037218400,"Census Tract 2184, Los Angeles County, California",1933,58
6037218500,"Census Tract 2185, Los Angeles County, California",1187,49
6037218600,"Census Tract 2186, Los Angeles County, California",1382,130
6037218700,"Census Tract 2187, Los Angeles County, California",1615,27
6037218800,"Census Tract 2188, Los Angeles County, California",951,55
6037218900,"Census Tract 2189, Los Angeles County, California",2181,71
6037219010,"Census Tract 2190.10, Los Angeles County, California",822,46
6037219020,"Census Tract 2190.20, Los Angeles County, California",1406,54
6037219300,"Census Tract 2193, Los Angeles County, California",1434,92
6037219500,"Census Tract 2195, Los Angeles County, California",781,16
6037219700,"Census Tract 2197, Los Angeles County, California",988,44
6037219800,"Census Tract 2198, Los Angeles County, California",1588,44
6037219900,"Census Tract 2199, Los Angeles County, California",1771,67
6037220000,"Census Tract 2200, Los Angeles County, California",2114,70
6037220100,"Census Tract 2201, Los Angeles County, California",1074,26
6037221110,"Census Tract 2211.10, Los Angeles County, California",1140,65
6037221120,"Census Tract 2211.20, Los Angeles County, California",886,26
6037221210,"Census Tract 2212.10, Los Angeles County, California",922,34
6037221220,"Census Tract 2212.20, Los Angeles County, California",1054,50
6037221301,"Census Tract 2213.01, Los Angeles County, California",1841,58
6037221302,"Census Tract 2213.02, Los Angeles County, California",1412,42
6037221400,"Census Tract 2214, Los Angeles County, California",1788,48
6037221500,"Census Tract 2215, Los Angeles County, California",1802,69
6037221600,"Census Tract 2216, Los Angeles County, California",1403,47
6037221710,"Census Tract 2217.10, Los Angeles County, California",1416,72
6037221810,"Census Tract 2218.10, Los Angeles County, California",941,47
6037221820,"Census Tract 2218.20, Los Angeles County, California",1041,47
6037221900,"Census Tract 2219, Los Angeles County, California",1174,89
6037222000,"Census Tract 2220, Los Angeles County, California",2359,85
6037222100,"Census Tract 2221, Los Angeles County, California",1130,67
6037222200,"Census Tract 2222, Los Angeles County, California",1156,69
6037222500,"Census Tract 2225, Los Angeles County, California",1379,55
6037222600,"Census Tract 2226, Los Angeles County, California",1732,65
6037222700,"Census Tract 2227, Los Angeles County, California",48,42
6037224010,"Census Tract 2240.10, Los Angeles County, California",1156,51
6037224020,"Census Tract 2240.20, Los Angeles County, California",626,86
6037224200,"Census Tract 2242, Los Angeles County, California",979,29
6037224310,"Census Tract 2243.10, Los Angeles County, California",660,22
6037224320,"Census Tract 2243.20, Los Angeles County, California",1092,58
6037224410,"Census Tract 2244.10, Los Angeles County, California",1005,71
6037224420,"Census Tract 2244.20, Los Angeles County, California",680,94
6037224600,"Census Tract 2246, Los Angeles County, California",975,50
6037224700,"Census Tract 2247, Los Angeles County, California",748,95
6037226000,"Census Tract 2260, Los Angeles County, California",1538,81
6037226410,"Census Tract 2264.10, Los Angeles County, California",894,31
6037226420,"Census Tract 2264.20, Los Angeles County, California",1225,57
6037226700,"Census Tract 2267, Los Angeles County, California",1413,42
6037227010,"Census Tract 2270.10, Los Angeles County, California",948,53
6037227020,"Census Tract 2270.20, Los Angeles County, California",722,81
6037228100,"Census Tract 2281, Los Angeles County, California",1175,41
6037228210,"Census Tract 2282.10, Los Angeles County, California",867,49
6037228220,"Census Tract 2282.20, Los Angeles County, California",951,48
6037228310,"Census Tract 2283.10, Los Angeles County, California",1040,46
6037228320,"Census Tract 2283.20, Los Angeles County, California",819,40
6037228410,"Census Tract 2284.10, Los Angeles County, California",1111,66
6037228420,"Census Tract 2284.20, Los Angeles County, California",758,53
6037228500,"Census Tract 2285, Los Angeles County, California",1096,54
6037228600,"Census Tract 2286, Los Angeles County, California",1162,60
6037228710,"Census Tract 2287.10, Los Angeles County, California",1030,61
6037228720,"Census Tract 2287.20, Los Angeles County, California",1047,37
6037228800,"Census Tract 2288, Los Angeles County, California",1226,50
6037228900,"Census Tract 2289, Los Angeles County, California",819,22
6037229100,"Census Tract 2291, Los Angeles County, California",977,46
6037229200,"Census Tract 2292, Los Angeles County, California",1200,55
6037229300,"Census Tract 2293, Los Angeles County, California",1348,42
6037229410,"Census Tract 2294.10, Los Angeles County, California",922,17
6037229420,"Census Tract 2294.20, Los Angeles County, California",1014,63
6037231100,"Census Tract 2311, Los Angeles County, California",507,56
6037231210,"Census Tract 2312.10, Los Angeles County, California",1133,41
6037231220,"Census Tract 2312.20, Los Angeles County, California",1161,41
6037231300,"Census Tract 2313, Los Angeles County, California",1438,65
6037231400,"Census Tract 2314, Los Angeles County, California",1445,63
6037231500,"Census Tract 2315, Los Angeles County, California",1494,49
6037231600,"Census Tract 2316, Los Angeles County, California",2124,43
6037231710,"Census Tract 2317.10, Los Angeles County, California",1323,28
6037231720,"Census Tract 2317.20, Los Angeles County, California",1294,42
6037231800,"Census Tract 2318, Los Angeles County, California",1660,39
6037231900,"Census Tract 2319, Los Angeles County, California",1578,68
6037232110,"Census Tract 2321.10, Los Angeles County, California",911,65
6037232120,"Census Tract 2321.20, Los Angeles County, California",1014,55
6037232200,"Census Tract 2322, Los Angeles County, California",910,67
6037232300,"Census Tract 2323, Los Angeles County, California",1114,63
6037232400,"Census Tract 2324, Los Angeles County, California",1957,145
6037232500,"Census Tract 2325, Los Angeles County, California",1507,69
6037232600,"Census Tract 2326, Los Angeles County, California",1903,35
6037232700,"Census Tract 2327, Los Angeles County, California",1391,43
6037232800,"Census Tract 2328, Los Angeles County, California",1264,51
6037234000,"Census Tract 2340, Los Angeles County, California",2068,72
6037234200,"Census Tract 2342, Los Angeles County, California",1154,25
6037234300,"Census Tract 2343, Los Angeles County, California",2538,80
6037234500,"Census Tract 2345, Los Angeles County, California",2057,62
6037234600,"Census Tract 2346, Los Angeles County, California",1772,62
6037234700,"Census Tract 2347, Los Angeles County, California",1490,46
6037234800,"Census Tract 2348, Los Angeles County, California",1136,39
6037234900,"Census Tract 2349, Los Angeles County, California",2741,64
6037235100,"Census Tract 2351, Los Angeles County, California",1817,67
6037235201,"Census Tract 2352.01, Los Angeles County, California",978,69
6037235202,"Census Tract 2352.02, Los Angeles County, California",1977,40
6037236000,"Census Tract 2360, Los Angeles County, California",2175,65
6037236100,"Census Tract 2361, Los Angeles County, California",2811,61
6037236201,"Census Tract 2362.01, Los Angeles County, California",2972,72
6037236202,"Census Tract 2362.02, Los Angeles County, California",2622,63
6037236400,"Census Tract 2364, Los Angeles County, California",2211,42
6037237100,"Census Tract 2371, Los Angeles County, California",1990,68
6037237200,"Census Tract 2372, Los Angeles County, California",2020,54
6037237300,"Census Tract 2373, Los Angeles County, California",2081,51
6037237400,"Census Tract 2374, Los Angeles County, California",2437,77
6037237500,"Census Tract 2375, Los Angeles County, California",1193,42
6037237600,"Census Tract 2376, Los Angeles County, California",1823,30
6037237710,"Census Tract 2377.10, Los Angeles County, California",1295,42
6037237720,"Census Tract 2377.20, Los Angeles County, California",1071,32
6037237800,"Census Tract 2378, Los Angeles County, California",1458,55
6037237900,"Census Tract 2379, Los Angeles County, California",1385,43
6037238000,"Census Tract 2380, Los Angeles County, California",2220,45
