Id2,Geography,Total; Estimate; Population 25 years and over,Total; Margin of Error; Population 25 years and over,Percent of population 25 years and over  with Bachelor's degree,MOE Percent of population 25 years and over  with Bachelor's degree
6037242700,"Census Tract 2427, Los Angeles County, California",2321,293,2.4,2
6037243000,"Census Tract 2430, Los Angeles County, California",2586,324,2.6,2
6037243100,"Census Tract 2431, Los Angeles County, California",2407,281,1.1,1.6
6037261101,"Census Tract 2611.01, Los Angeles County, California",2759,213,36.5,5.7
6037261102,"Census Tract 2611.02, Los Angeles County, California",3034,194,33.1,5.5
6037261200,"Census Tract 2612, Los Angeles County, California",3220,209,43.1,7.1
6037262100,"Census Tract 2621, Los Angeles County, California",2689,207,33.6,5.8
6037262200,"Census Tract 2622, Los Angeles County, California",3205,202,31.8,6.3
6037262301,"Census Tract 2623.01, Los Angeles County, California",2197,355,32.8,7.3
6037262302,"Census Tract 2623.02, Los Angeles County, California",2298,135,35.5,7.7
6037262303,"Census Tract 2623.03, Los Angeles County, California",2325,203,34.9,6.5
6037262400,"Census Tract 2624, Los Angeles County, California",2632,209,35.3,5.8
6037262500,"Census Tract 2625, Los Angeles County, California",2554,185,33.4,6.6
6037262601,"Census Tract 2626.01, Los Angeles County, California",2375,233,36.5,6.4
6037262602,"Census Tract 2626.02, Los Angeles County, California",4852,324,36.9,6.1
6037262701,"Census Tract 2627.01, Los Angeles County, California",2614,223,29.5,5.3
6037262702,"Census Tract 2627.02, Los Angeles County, California",2400,192,39.6,6.6
6037262800,"Census Tract 2628, Los Angeles County, California",2881,198,36.5,8
6037264000,"Census Tract 2640, Los Angeles County, California",2088,155,37.2,6.8
6037264101,"Census Tract 2641.01, Los Angeles County, California",4537,309,36.3,7
6037264301,"Census Tract 2643.01, Los Angeles County, California",3878,464,56.9,7
6037264302,"Census Tract 2643.02, Los Angeles County, California",4578,396,41.9,7
6037265100,"Census Tract 2651, Los Angeles County, California",1838,179,24.3,7
6037265200,"Census Tract 2652, Los Angeles County, California",3306,350,26.6,6.5
6037265301,"Census Tract 2653.01, Los Angeles County, California",569,108,21.4,8.6
6037265303,"Census Tract 2653.03, Los Angeles County, California",900,181,30.4,9.6
6037265304,"Census Tract 2653.04, Los Angeles County, California",606,203,47.2,18.6
6037265305,"Census Tract 2653.05, Los Angeles County, California",1076,148,24.7,9.7
6037265410,"Census Tract 2654.10, Los Angeles County, California",1006,109,28.1,10.5
6037265420,"Census Tract 2654.20, Los Angeles County, California",1120,114,20.8,8.5
6037265510,"Census Tract 2655.10, Los Angeles County, California",2352,284,40.5,8.8
6037265520,"Census Tract 2655.20, Los Angeles County, California",3340,322,43.2,7.8
6037265600,"Census Tract 2656, Los Angeles County, California",4892,275,35.8,5.1
6037265700,"Census Tract 2657, Los Angeles County, California",4088,369,32.1,6.5
6037267100,"Census Tract 2671, Los Angeles County, California",4431,278,38,5.1
6037267200,"Census Tract 2672, Los Angeles County, California",4098,349,33.6,6.2
6037267300,"Census Tract 2673, Los Angeles County, California",3791,480,31.1,7.6
6037267401,"Census Tract 2674.01, Los Angeles County, California",4945,531,37.5,6.5
6037267402,"Census Tract 2674.02, Los Angeles County, California",3959,550,47,7.3
6037267501,"Census Tract 2675.01, Los Angeles County, California",4062,439,47.6,7
6037267502,"Census Tract 2675.02, Los Angeles County, California",2563,267,38.9,6.9
6037267600,"Census Tract 2676, Los Angeles County, California",2016,184,37.4,8.2
6037267700,"Census Tract 2677, Los Angeles County, California",1262,147,24.9,6.5
6037267800,"Census Tract 2678, Los Angeles County, California",2169,228,31.2,10
6037267900,"Census Tract 2679, Los Angeles County, California",4988,402,40.5,6.7
6037269000,"Census Tract 2690, Los Angeles County, California",4869,1842,24.2,4.5
6037269100,"Census Tract 2691, Los Angeles County, California",3687,268,41.7,6.4
6037269300,"Census Tract 2693, Los Angeles County, California",2902,180,38.9,5.8
6037269500,"Census Tract 2695, Los Angeles County, California",2613,156,21.9,5.9
6037269600,"Census Tract 2696, Los Angeles County, California",5467,2255,12.5,5.3
6037269700,"Census Tract 2697, Los Angeles County, California",3125,257,35.9,6.5
6037269800,"Census Tract 2698, Los Angeles County, California",2265,233,36.4,8.9
6037269901,"Census Tract 2699.01, Los Angeles County, California",6592,451,35.2,5.4
6037269902,"Census Tract 2699.02, Los Angeles County, California",6079,435,31.4,5
6037270100,"Census Tract 2701, Los Angeles County, California",3730,281,39.6,8.3
6037270200,"Census Tract 2702, Los Angeles County, California",1563,253,13.7,5.1
6037270300,"Census Tract 2703, Los Angeles County, California",2107,224,18.8,7.1
6037271100,"Census Tract 2711, Los Angeles County, California",2482,215,28.3,5.2
6037271200,"Census Tract 2712, Los Angeles County, California",2871,257,31.6,5.3
6037271300,"Census Tract 2713, Los Angeles County, California",2582,500,32.5,7.6
6037271400,"Census Tract 2714, Los Angeles County, California",2383,140,31.3,6.9
6037271500,"Census Tract 2715, Los Angeles County, California",2237,149,32.9,7.3
6037271600,"Census Tract 2716, Los Angeles County, California",1959,189,26.5,6.6
6037271701,"Census Tract 2717.01, Los Angeles County, California",4068,515,35.4,6.2
6037271702,"Census Tract 2717.02, Los Angeles County, California",3684,420,22.6,5.2
6037271801,"Census Tract 2718.01, Los Angeles County, California",3904,336,28.6,5.9
6037271802,"Census Tract 2718.02, Los Angeles County, California",4831,325,35.9,6.3
6037271900,"Census Tract 2719, Los Angeles County, California",4966,385,23.1,5.1
6037272100,"Census Tract 2721, Los Angeles County, California",3180,262,29.5,5.7
6037272200,"Census Tract 2722, Los Angeles County, California",3859,349,27.3,5
6037272301,"Census Tract 2723.01, Los Angeles County, California",2778,680,20.3,6.1
6037272302,"Census Tract 2723.02, Los Angeles County, California",2895,183,23,5.3
6037273100,"Census Tract 2731, Los Angeles County, California",1625,193,38.5,7.8
6037273200,"Census Tract 2732, Los Angeles County, California",2450,267,29.7,6.1
6037273300,"Census Tract 2733, Los Angeles County, California",2607,277,29.4,5.1
6037273400,"Census Tract 2734, Los Angeles County, California",2691,315,49,9.3
6037273500,"Census Tract 2735, Los Angeles County, California",2495,249,44.6,6.7
6037273600,"Census Tract 2736, Los Angeles County, California",1755,136,37.9,6.2
6037273700,"Census Tract 2737, Los Angeles County, California",2128,277,28.2,5.7
6037273800,"Census Tract 2738, Los Angeles County, California",2523,206,37.3,6.7
6037273900,"Census Tract 2739, Los Angeles County, California",3614,333,52.2,7
6037274100,"Census Tract 2741, Los Angeles County, California",3392,329,42.4,6.3
6037274200,"Census Tract 2742, Los Angeles County, California",4146,502,37.9,5.6
6037275100,"Census Tract 2751, Los Angeles County, California",3417,332,18,3.9
6037275200,"Census Tract 2752, Los Angeles County, California",2614,324,23.1,5.2
6037275302,"Census Tract 2753.02, Los Angeles County, California",4217,370,33.5,5.5
6037275311,"Census Tract 2753.11, Los Angeles County, California",3743,356,31,7.2
6037275400,"Census Tract 2754, Los Angeles County, California",1849,126,27.4,5.7
6037275510,"Census Tract 2755.10, Los Angeles County, California",2019,241,17.9,7
6037275520,"Census Tract 2755.20, Los Angeles County, California",941,113,1.5,2.1
6037275601,"Census Tract 2756.01, Los Angeles County, California",6874,386,39.5,5.1
6037276000,"Census Tract 2760, Los Angeles County, California",4126,251,30,6
6037276100,"Census Tract 2761, Los Angeles County, California",3778,331,36.3,6.6
6037276400,"Census Tract 2764, Los Angeles County, California",2871,172,34.7,4.9
6037276500,"Census Tract 2765, Los Angeles County, California",1194,159,32,8.6
6037276601,"Census Tract 2766.01, Los Angeles County, California",2763,190,32.6,6.3
6037276602,"Census Tract 2766.02, Los Angeles County, California",7304,558,40.4,4.9
6037277000,"Census Tract 2770, Los Angeles County, California",3809,295,35.4,5.3
6037277100,"Census Tract 2771, Los Angeles County, California",2100,120,26.7,5.8
6037277200,"Census Tract 2772, Los Angeles County, California",2266,260,24.1,8.1
6037277400,"Census Tract 2774, Los Angeles County, California",1480,268,14.1,7.2
6037278000,"Census Tract 2780, Los Angeles County, California",1829,191,20.4,6.4
6037278100,"Census Tract 2781, Los Angeles County, California",2559,202,36.2,7.8
6037291110,"Census Tract 2911.10, Los Angeles County, California",2714,512,29,19.8
6037291120,"Census Tract 2911.20, Los Angeles County, California",1182,126,9,6.4
6037291130,"Census Tract 2911.30, Los Angeles County, California",1948,188,3.6,3.8
6037291210,"Census Tract 2912.10, Los Angeles County, California",2797,261,9.2,4.6
6037291220,"Census Tract 2912.20, Los Angeles County, California",1968,170,7.1,3.5
6037291300,"Census Tract 2913, Los Angeles County, California",1714,158,23.9,6.2
6037292000,"Census Tract 2920, Los Angeles County, California",3655,308,14.4,4.7
6037293201,"Census Tract 2932.01, Los Angeles County, California",4218,355,25.2,8.3
6037293202,"Census Tract 2932.02, Los Angeles County, California",3469,336,7.9,2.5
6037293301,"Census Tract 2933.01, Los Angeles County, California",2196,221,34.2,7.6
6037293302,"Census Tract 2933.02, Los Angeles County, California",3052,288,20.1,5.2
6037293304,"Census Tract 2933.04, Los Angeles County, California",2419,221,11.7,4.3
6037293305,"Census Tract 2933.05, Los Angeles County, California",3158,274,20,3.9
6037294110,"Census Tract 2941.10, Los Angeles County, California",2613,238,3.9,2.4
6037294120,"Census Tract 2941.20, Los Angeles County, California",1460,242,3.7,3.5
6037294200,"Census Tract 2942, Los Angeles County, California",2801,331,10,4.1
6037294300,"Census Tract 2943, Los Angeles County, California",4735,359,4.6,2
6037294410,"Census Tract 2944.10, Los Angeles County, California",2819,275,16,4.9
6037294420,"Census Tract 2944.20, Los Angeles County, California",2288,267,16.3,8.2
6037294510,"Census Tract 2945.10, Los Angeles County, California",2295,304,4.1,3.3
6037294520,"Census Tract 2945.20, Los Angeles County, California",1846,238,2.8,2.9
6037294610,"Census Tract 2946.10, Los Angeles County, California",2318,204,3.6,2.9
6037294620,"Census Tract 2946.20, Los Angeles County, California",2660,392,3.2,1.9
6037294700,"Census Tract 2947, Los Angeles County, California",1608,301,3.7,3.1
6037294810,"Census Tract 2948.10, Los Angeles County, California",2257,220,6,3.6
6037294820,"Census Tract 2948.20, Los Angeles County, California",1682,185,0,2.3
6037294830,"Census Tract 2948.30, Los Angeles County, California",1965,219,3.8,2.8
6037294900,"Census Tract 2949, Los Angeles County, California",1274,167,5.6,5.1
6037295101,"Census Tract 2951.01, Los Angeles County, California",3858,334,24.8,4.5
6037296100,"Census Tract 2961, Los Angeles County, California",889,166,10.7,6.5
6037296210,"Census Tract 2962.10, Los Angeles County, California",1493,187,4.8,3.7
6037296220,"Census Tract 2962.20, Los Angeles County, California",1661,196,4.6,2.6
6037296300,"Census Tract 2963, Los Angeles County, California",3367,203,20,3.7
6037296400,"Census Tract 2964, Los Angeles County, California",4501,342,22.6,4.4
6037296500,"Census Tract 2965, Los Angeles County, California",2531,281,5.2,2.7
6037296600,"Census Tract 2966, Los Angeles County, California",3258,421,15.6,4.4
6037296900,"Census Tract 2969, Los Angeles County, California",4980,441,15.1,4.3
6037297000,"Census Tract 2970, Los Angeles County, California",3916,277,23.2,4.8
6037297110,"Census Tract 2971.10, Los Angeles County, California",3573,673,3.5,2
6037297120,"Census Tract 2971.20, Los Angeles County, California",1932,174,5.2,3.1
6037297200,"Census Tract 2972, Los Angeles County, California",5534,389,14,4.3
6037297300,"Census Tract 2973, Los Angeles County, California",2267,242,19.5,4.4
6037297400,"Census Tract 2974, Los Angeles County, California",3055,241,27.2,4.6
6037297500,"Census Tract 2975, Los Angeles County, California",2497,180,27.8,6
6037297600,"Census Tract 2976, Los Angeles County, California",4662,291,20.7,4.7
6037300100,"Census Tract 3001, Los Angeles County, California",3908,211,33.4,4.7
6037300200,"Census Tract 3002, Los Angeles County, California",3787,250,25.7,5.5
6037300300,"Census Tract 3003, Los Angeles County, California",4141,224,30.6,5.8
6037300400,"Census Tract 3004, Los Angeles County, California",3933,342,26.5,6.1
6037300501,"Census Tract 3005.01, Los Angeles County, California",2434,253,23.7,6.1
6037300502,"Census Tract 3005.02, Los Angeles County, California",3886,321,35.5,6.9
6037300600,"Census Tract 3006, Los Angeles County, California",5509,524,27.8,5.3
6037300701,"Census Tract 3007.01, Los Angeles County, California",4250,243,34.3,5
6037300702,"Census Tract 3007.02, Los Angeles County, California",4404,425,34.1,5.8
6037300800,"Census Tract 3008, Los Angeles County, California",4744,304,29.7,6.1
6037300901,"Census Tract 3009.01, Los Angeles County, California",4837,304,31.7,5.1
6037300902,"Census Tract 3009.02, Los Angeles County, California",1459,113,28.3,6.6
6037301000,"Census Tract 3010, Los Angeles County, California",3376,264,35,5.5
6037301100,"Census Tract 3011, Los Angeles County, California",4979,406,29.2,4.9
6037301202,"Census Tract 3012.02, Los Angeles County, California",5399,486,32,5.1
6037301203,"Census Tract 3012.03, Los Angeles County, California",3326,274,31,5.4
6037301204,"Census Tract 3012.04, Los Angeles County, California",3982,451,29.4,8.6
6037301300,"Census Tract 3013, Los Angeles County, California",1401,99,37.2,8.2
6037301400,"Census Tract 3014, Los Angeles County, California",2769,221,24.3,4.7
6037301501,"Census Tract 3015.01, Los Angeles County, California",1380,122,30.5,8.8
6037301502,"Census Tract 3015.02, Los Angeles County, California",5593,429,27.7,6.7
6037301601,"Census Tract 3016.01, Los Angeles County, California",5076,463,11.5,3.9
6037301602,"Census Tract 3016.02, Los Angeles County, California",2773,263,16.8,4.9
6037301701,"Census Tract 3017.01, Los Angeles County, California",2178,222,18.6,6.2
6037301702,"Census Tract 3017.02, Los Angeles County, California",4448,335,17.3,4.4
6037301800,"Census Tract 3018, Los Angeles County, California",5652,436,24.7,5.3
6037301900,"Census Tract 3019, Los Angeles County, California",5687,469,26.1,4.7
6037302001,"Census Tract 3020.01, Los Angeles County, California",5670,451,18.8,4.9
6037302002,"Census Tract 3020.02, Los Angeles County, California",3393,653,26,6.9
6037302102,"Census Tract 3021.02, Los Angeles County, California",5126,476,23.3,4.8
6037302103,"Census Tract 3021.03, Los Angeles County, California",4339,343,23.3,6.5
6037302104,"Census Tract 3021.04, Los Angeles County, California",2816,325,29,4.9
6037302201,"Census Tract 3022.01, Los Angeles County, California",2658,272,18.6,5.4
6037302202,"Census Tract 3022.02, Los Angeles County, California",3511,340,15.9,4.7
6037302301,"Census Tract 3023.01, Los Angeles County, California",2590,228,32,7.3
6037302302,"Census Tract 3023.02, Los Angeles County, California",4074,430,21.3,4.8
6037302400,"Census Tract 3024, Los Angeles County, California",3618,340,15.5,4.5
6037302501,"Census Tract 3025.01, Los Angeles County, California",5657,342,21.2,5
6037302502,"Census Tract 3025.02, Los Angeles County, California",5057,588,23.7,6.3
6037310100,"Census Tract 3101, Los Angeles County, California",4008,310,25,6.4
6037310200,"Census Tract 3102, Los Angeles County, California",6949,512,29.1,4.3
6037310300,"Census Tract 3103, Los Angeles County, California",2270,141,31.2,7.6
6037310400,"Census Tract 3104, Los Angeles County, California",2354,222,26.7,4.9
6037310500,"Census Tract 3105, Los Angeles County, California",2116,264,12.4,5
6037310600,"Census Tract 3106, Los Angeles County, California",6184,509,19.1,4.1
6037310701,"Census Tract 3107.01, Los Angeles County, California",1739,136,27.1,7.9
6037310702,"Census Tract 3107.02, Los Angeles County, California",4813,332,26.6,6.2
6037310703,"Census Tract 3107.03, Los Angeles County, California",3743,413,19.9,5.7
6037310800,"Census Tract 3108, Los Angeles County, California",3705,428,15.2,6.2
6037310900,"Census Tract 3109, Los Angeles County, California",4621,395,20.5,4.1
6037311000,"Census Tract 3110, Los Angeles County, California",2637,233,23.3,5
6037311100,"Census Tract 3111, Los Angeles County, California",2442,147,17.4,5.1
6037311200,"Census Tract 3112, Los Angeles County, California",2123,187,32.2,8
6037311300,"Census Tract 3113, Los Angeles County, California",2505,254,24.1,5.8
6037311400,"Census Tract 3114, Los Angeles County, California",1695,176,23.1,5.9
6037311500,"Census Tract 3115, Los Angeles County, California",3990,297,26.9,6.4
6037311600,"Census Tract 3116, Los Angeles County, California",5270,340,37.2,5.7
6037311700,"Census Tract 3117, Los Angeles County, California",4599,480,30.3,5.5
6037311800,"Census Tract 3118, Los Angeles County, California",4700,376,22.1,5.4
6037320000,"Census Tract 3200, Los Angeles County, California",0,132,-,**
6037320100,"Census Tract 3201, Los Angeles County, California",3397,308,5.2,2.7
6037320200,"Census Tract 3202, Los Angeles County, California",5297,533,3.9,2
6037320300,"Census Tract 3203, Los Angeles County, California",4166,424,6.4,4.2
6037400203,"Census Tract 4002.03, Los Angeles County, California",3677,174,23.8,5.2
6037400204,"Census Tract 4002.04, Los Angeles County, California",4930,304,27.2,5.5
6037400205,"Census Tract 4002.05, Los Angeles County, California",1703,162,19.8,6.1
6037400206,"Census Tract 4002.06, Los Angeles County, California",3843,260,27.9,5.1
6037400302,"Census Tract 4003.02, Los Angeles County, California",2051,144,21.3,6.3
6037400303,"Census Tract 4003.03, Los Angeles County, California",2578,205,13.7,4.1
6037400304,"Census Tract 4003.04, Los Angeles County, California",4493,331,14.2,4.7
6037400401,"Census Tract 4004.01, Los Angeles County, California",3024,160,18.8,3.8
6037400402,"Census Tract 4004.02, Los Angeles County, California",2742,181,23.2,5.7
6037400500,"Census Tract 4005, Los Angeles County, California",1443,111,31.3,7.8
6037400602,"Census Tract 4006.02, Los Angeles County, California",2956,241,14.9,6.3
6037400603,"Census Tract 4006.03, Los Angeles County, California",3548,239,17.6,3.3
6037400604,"Census Tract 4006.04, Los Angeles County, California",1919,350,16.6,6.2
6037400800,"Census Tract 4008, Los Angeles County, California",1303,134,14.4,6.3
6037400900,"Census Tract 4009, Los Angeles County, California",2461,218,15.5,4.8
6037401001,"Census Tract 4010.01, Los Angeles County, California",2010,153,25.9,7.1
6037401002,"Census Tract 4010.02, Los Angeles County, California",2353,138,18.3,5.6
6037401101,"Census Tract 4011.01, Los Angeles County, California",3395,310,20,4.4
6037401102,"Census Tract 4011.02, Los Angeles County, California",1958,268,14.4,5.4
6037401201,"Census Tract 4012.01, Los Angeles County, California",2029,146,29.9,8.8
6037401202,"Census Tract 4012.02, Los Angeles County, California",2910,292,14.4,4.3
6037401203,"Census Tract 4012.03, Los Angeles County, California",3574,342,14.9,3.7
6037401302,"Census Tract 4013.02, Los Angeles County, California",6783,507,22.7,3.1
6037401311,"Census Tract 4013.11, Los Angeles County, California",4633,285,21.1,4.7
6037401312,"Census Tract 4013.12, Los Angeles County, California",3816,454,16.4,4.4
6037401500,"Census Tract 4015, Los Angeles County, California",3459,323,11.2,3.4
6037401601,"Census Tract 4016.01, Los Angeles County, California",4127,262,19.9,6.2
6037401602,"Census Tract 4016.02, Los Angeles County, California",3617,273,14.8,4
6037401603,"Census Tract 4016.03, Los Angeles County, California",2643,308,21.7,10
6037401701,"Census Tract 4017.01, Los Angeles County, California",2968,309,18.7,5.1
6037401703,"Census Tract 4017.03, Los Angeles County, California",2277,318,18.6,7.3
6037401704,"Census Tract 4017.04, Los Angeles County, California",4000,453,15.5,4.2
6037401800,"Census Tract 4018, Los Angeles County, California",4963,310,30.8,5.2
6037401901,"Census Tract 4019.01, Los Angeles County, California",369,145,34.7,11.8
6037401902,"Census Tract 4019.02, Los Angeles County, California",5391,515,22.8,4.8
6037402000,"Census Tract 4020, Los Angeles County, California",4035,429,18,5.2
6037402101,"Census Tract 4021.01, Los Angeles County, California",2668,470,7.3,4.4
6037402102,"Census Tract 4021.02, Los Angeles County, California",2834,401,9.7,4.7
6037402200,"Census Tract 4022, Los Angeles County, California",4675,406,12.7,3.9
6037402301,"Census Tract 4023.01, Los Angeles County, California",3278,356,5.7,2.3
6037402302,"Census Tract 4023.02, Los Angeles County, California",4449,518,4.7,2.4
6037402401,"Census Tract 4024.01, Los Angeles County, California",4146,382,8.7,3.1
6037402402,"Census Tract 4024.02, Los Angeles County, California",3601,376,15,5.9
6037402403,"Census Tract 4024.03, Los Angeles County, California",2313,305,8.1,4.6
6037402404,"Census Tract 4024.04, Los Angeles County, California",82,94,20.7,41.9
6037402501,"Census Tract 4025.01, Los Angeles County, California",2601,378,6.8,3.2
6037402502,"Census Tract 4025.02, Los Angeles County, California",4306,543,1.9,1.3
6037402600,"Census Tract 4026, Los Angeles County, California",5148,381,9.9,3.2
6037402702,"Census Tract 4027.02, Los Angeles County, California",3074,269,4.6,2.5
6037402703,"Census Tract 4027.03, Los Angeles County, California",2867,309,1.7,1.2
6037402704,"Census Tract 4027.04, Los Angeles County, California",4357,353,7.7,3
6037402801,"Census Tract 4028.01, Los Angeles County, California",2496,358,4.3,2.8
6037402802,"Census Tract 4028.02, Los Angeles County, California",3766,437,6.9,3
6037402901,"Census Tract 4029.01, Los Angeles County, California",4285,270,10.4,4.4
6037402902,"Census Tract 4029.02, Los Angeles County, California",3246,303,6.1,2.3
6037403000,"Census Tract 4030, Los Angeles County, California",3639,310,4,2.3
6037403200,"Census Tract 4032, Los Angeles County, California",483,299,5,6
6037403303,"Census Tract 4033.03, Los Angeles County, California",1761,247,22,6.2
6037403304,"Census Tract 4033.04, Los Angeles County, California",3784,237,34.2,5.7
6037403305,"Census Tract 4033.05, Los Angeles County, California",1492,123,42.4,9.5
6037403312,"Census Tract 4033.12, Los Angeles County, California",3324,212,18.5,4.6
6037403316,"Census Tract 4033.16, Los Angeles County, California",4825,272,31.5,6.5
6037403317,"Census Tract 4033.17, Los Angeles County, California",3373,317,35.9,8.4
6037403318,"Census Tract 4033.18, Los Angeles County, California",4175,317,24.8,5.2
6037403319,"Census Tract 4033.19, Los Angeles County, California",3082,294,39,8.6
6037403320,"Census Tract 4033.20, Los Angeles County, California",3649,268,43.9,5.3
6037403321,"Census Tract 4033.21, Los Angeles County, California",4563,361,25.1,3.8
6037403322,"Census Tract 4033.22, Los Angeles County, California",2375,201,24.5,5.2
6037403323,"Census Tract 4033.23, Los Angeles County, California",3790,289,34.9,5.7
6037403324,"Census Tract 4033.24, Los Angeles County, California",5234,404,34.8,6.5
6037403325,"Census Tract 4033.25, Los Angeles County, California",3222,272,26.5,6.3
6037403401,"Census Tract 4034.01, Los Angeles County, California",3414,247,26.1,4.8
6037403402,"Census Tract 4034.02, Los Angeles County, California",2353,140,26.6,6.3
6037403403,"Census Tract 4034.03, Los Angeles County, California",3968,201,34.3,4.6
6037403404,"Census Tract 4034.04, Los Angeles County, California",1821,132,36.8,6.3
6037403405,"Census Tract 4034.05, Los Angeles County, California",1071,132,24.4,12.7
6037403406,"Census Tract 4034.06, Los Angeles County, California",1689,235,32.2,9.6
6037403407,"Census Tract 4034.07, Los Angeles County, California",1305,172,28,7.6
6037403408,"Census Tract 4034.08, Los Angeles County, California",4583,280,36.4,5.7
6037403500,"Census Tract 4035, Los Angeles County, California",1198,289,21.9,8.8
6037403600,"Census Tract 4036, Los Angeles County, California",4274,349,20,5.8
6037403702,"Census Tract 4037.02, Los Angeles County, California",2207,168,21.3,5.4
6037403703,"Census Tract 4037.03, Los Angeles County, California",3125,243,16.2,5.1
6037403721,"Census Tract 4037.21, Los Angeles County, California",3046,219,11.5,3.4
6037403722,"Census Tract 4037.22, Los Angeles County, California",3106,384,12.1,5
6037403801,"Census Tract 4038.01, Los Angeles County, California",3667,268,18.5,4.6
6037403802,"Census Tract 4038.02, Los Angeles County, California",3566,277,15.5,4.9
6037403901,"Census Tract 4039.01, Los Angeles County, California",1959,161,18,7.1
6037403902,"Census Tract 4039.02, Los Angeles County, California",3536,444,14,4.8
6037404000,"Census Tract 4040, Los Angeles County, California",2783,200,16.1,4.4
6037404100,"Census Tract 4041, Los Angeles County, California",3097,243,6.3,3.6
6037404200,"Census Tract 4042, Los Angeles County, California",4320,563,12.5,5
6037404301,"Census Tract 4043.01, Los Angeles County, California",2964,310,6.4,3.7
6037404302,"Census Tract 4043.02, Los Angeles County, California",1352,200,4.2,3.2
6037404401,"Census Tract 4044.01, Los Angeles County, California",2367,230,3.9,2.5
6037404402,"Census Tract 4044.02, Los Angeles County, California",2868,343,6.7,2.8
6037404501,"Census Tract 4045.01, Los Angeles County, California",1435,296,6.5,5.5
6037404502,"Census Tract 4045.02, Los Angeles County, California",4572,346,8.7,2.9
6037404600,"Census Tract 4046, Los Angeles County, California",868,96,6.7,2.8
6037404701,"Census Tract 4047.01, Los Angeles County, California",3522,330,7.2,3.5
6037404702,"Census Tract 4047.02, Los Angeles County, California",3261,247,15.7,4.6
6037404703,"Census Tract 4047.03, Los Angeles County, California",2230,287,8.9,5.4
6037404801,"Census Tract 4048.01, Los Angeles County, California",4133,280,6.2,2
6037404802,"Census Tract 4048.02, Los Angeles County, California",2538,276,10.5,4.1
6037404803,"Census Tract 4048.03, Los Angeles County, California",1797,748,3.8,3.3
6037404901,"Census Tract 4049.01, Los Angeles County, California",3413,404,10.3,3.2
6037404902,"Census Tract 4049.02, Los Angeles County, California",2090,231,13.9,7
6037404903,"Census Tract 4049.03, Los Angeles County, California",1463,233,14.3,8.4
6037405001,"Census Tract 4050.01, Los Angeles County, California",3419,255,6.3,3.3
6037405002,"Census Tract 4050.02, Los Angeles County, California",1811,329,3,2.7
6037405101,"Census Tract 4051.01, Los Angeles County, California",3235,350,6.4,3.2
6037405102,"Census Tract 4051.02, Los Angeles County, California",2993,388,5.8,3.5
6037405201,"Census Tract 4052.01, Los Angeles County, California",3294,341,5.5,2.7
6037405202,"Census Tract 4052.02, Los Angeles County, California",2776,252,8.3,3.5
6037405203,"Census Tract 4052.03, Los Angeles County, California",1998,275,9.4,4.9
6037405300,"Census Tract 4053, Los Angeles County, California",5129,424,10,3.6
6037405400,"Census Tract 4054, Los Angeles County, California",3205,392,9,3.7
6037405500,"Census Tract 4055, Los Angeles County, California",4259,309,12.3,3
6037405600,"Census Tract 4056, Los Angeles County, California",3390,288,13.2,3.6
6037405700,"Census Tract 4057, Los Angeles County, California",5656,422,13.8,4.5
6037405800,"Census Tract 4058, Los Angeles County, California",3866,267,7.6,3.3
6037405900,"Census Tract 4059, Los Angeles County, California",2712,209,12.1,4.5
6037406000,"Census Tract 4060, Los Angeles County, California",2986,324,13.9,5.1
6037406101,"Census Tract 4061.01, Los Angeles County, California",1895,170,11.7,7.8
6037406102,"Census Tract 4061.02, Los Angeles County, California",3565,302,10.8,4.9
6037406200,"Census Tract 4062, Los Angeles County, California",3416,411,12.1,4.1
6037406300,"Census Tract 4063, Los Angeles County, California",3446,268,29.6,7.3
6037406402,"Census Tract 4064.02, Los Angeles County, California",1513,268,16.3,8
6037406411,"Census Tract 4064.11, Los Angeles County, California",1335,251,10.8,6.5
6037406412,"Census Tract 4064.12, Los Angeles County, California",1481,143,22.7,8.3
6037406500,"Census Tract 4065, Los Angeles County, California",4084,288,12,4.1
6037406601,"Census Tract 4066.01, Los Angeles County, California",3538,381,17.1,4
6037406602,"Census Tract 4066.02, Los Angeles County, California",3366,427,12.3,4.7
6037406700,"Census Tract 4067, Los Angeles County, California",5671,476,15.5,5.3
6037406800,"Census Tract 4068, Los Angeles County, California",3031,320,14.4,4
6037406900,"Census Tract 4069, Los Angeles County, California",5985,491,7.9,3
6037407001,"Census Tract 4070.01, Los Angeles County, California",3219,327,3,1.9
6037407002,"Census Tract 4070.02, Los Angeles County, California",2339,263,11.8,4.7
6037407101,"Census Tract 4071.01, Los Angeles County, California",3389,313,5.3,2.3
6037407102,"Census Tract 4071.02, Los Angeles County, California",3705,374,6.2,4.5
6037407200,"Census Tract 4072, Los Angeles County, California",4111,421,7.1,3.1
6037407301,"Census Tract 4073.01, Los Angeles County, California",2443,267,11.3,3.8
6037407302,"Census Tract 4073.02, Los Angeles County, California",2125,236,5.6,3.8
6037407400,"Census Tract 4074, Los Angeles County, California",1329,230,23.7,5.6
6037407500,"Census Tract 4075, Los Angeles County, California",4696,373,2.2,1.6
6037407600,"Census Tract 4076, Los Angeles County, California",4711,382,7.9,3.5
6037407701,"Census Tract 4077.01, Los Angeles County, California",2866,354,8.7,4.1
6037407702,"Census Tract 4077.02, Los Angeles County, California",4028,339,11.3,3.4
