Id2,Geography,Estimate; Total,Margin of Error; Total
6023001000,"Census Tract 10, Humboldt County, California",5328,536
6023001100,"Census Tract 11, Humboldt County, California",7504,695
6023001200,"Census Tract 12, Humboldt County, California",5561,535
6023010101,"Census Tract 101.01, Humboldt County, California",2248,307
6023010102,"Census Tract 101.02, Humboldt County, California",2416,406
6023010200,"Census Tract 102, Humboldt County, California",2573,264
6023010300,"Census Tract 103, Humboldt County, California",3551,301
6023010400,"Census Tract 104, Humboldt County, California",3977,356
6023010501,"Census Tract 105.01, Humboldt County, California",7010,548
6023010502,"Census Tract 105.02, Humboldt County, California",5720,652
6023010600,"Census Tract 106, Humboldt County, California",2098,233
6023010700,"Census Tract 107, Humboldt County, California",6852,661
6023010800,"Census Tract 108, Humboldt County, California",5320,424
6023010900,"Census Tract 109, Humboldt County, California",7923,524
6023011000,"Census Tract 110, Humboldt County, California",4319,369
6023011100,"Census Tract 111, Humboldt County, California",4536,237
6023011200,"Census Tract 112, Humboldt County, California",3256,352
6023011300,"Census Tract 113, Humboldt County, California",5932,771
6025010100,"Census Tract 101, Imperial County, California",9700,600
6025010200,"Census Tract 102, Imperial County, California",1956,224
6025010300,"Census Tract 103, Imperial County, California",1013,209
6025010400,"Census Tract 104, Imperial County, California",6615,554
6025010500,"Census Tract 105, Imperial County, California",6138,573
6025010600,"Census Tract 106, Imperial County, California",5561,623
6025010700,"Census Tract 107, Imperial County, California",4124,409
6025010800,"Census Tract 108, Imperial County, California",1444,305
6025010900,"Census Tract 109, Imperial County, California",6130,321
6025011000,"Census Tract 110, Imperial County, California",9595,622
6025011100,"Census Tract 111, Imperial County, California",3537,396
6025011201,"Census Tract 112.01, Imperial County, California",6024,504
6025011202,"Census Tract 112.02, Imperial County, California",4899,434
6025011300,"Census Tract 113, Imperial County, California",8032,583
6025011400,"Census Tract 114, Imperial County, California",4044,447
6025011500,"Census Tract 115, Imperial County, California",5350,410
6025011600,"Census Tract 116, Imperial County, California",6063,564
6025011700,"Census Tract 117, Imperial County, California",5005,324
6025011801,"Census Tract 118.01, Imperial County, California",3425,334
6025011802,"Census Tract 118.02, Imperial County, California",5189,463
6025011803,"Census Tract 118.03, Imperial County, California",5112,529
6025011900,"Census Tract 119, Imperial County, California",9043,802
6025012000,"Census Tract 120, Imperial County, California",13600,921
6025012100,"Census Tract 121, Imperial County, California",7972,844
6025012200,"Census Tract 122, Imperial County, California",7556,562
6025012301,"Census Tract 123.01, Imperial County, California",5701,462
6025012302,"Census Tract 123.02, Imperial County, California",2463,387
6025012400,"Census Tract 124, Imperial County, California",1215,289
6025012500,"Census Tract 125, Imperial County, California",3528,437
6027000100,"Census Tract 1, Inyo County, California",2879,285
6027000200,"Census Tract 2, Inyo County, California",1797,182
6027000300,"Census Tract 3, Inyo County, California",2432,185
6027000400,"Census Tract 4, Inyo County, California",5208,230
6027000500,"Census Tract 5, Inyo County, California",2368,208
6027000600,"Census Tract 6, Inyo County, California",2403,271
6027000700,"Census Tract 7, Inyo County, California",351,77
6029000101,"Census Tract 1.01, Kern County, California",11717,1007
6029000102,"Census Tract 1.02, Kern County, California",3197,339
6029000200,"Census Tract 2, Kern County, California",7567,717
6029000300,"Census Tract 3, Kern County, California",3697,433
6029000400,"Census Tract 4, Kern County, California",4389,570
6029000503,"Census Tract 5.03, Kern County, California",4449,262
6029000504,"Census Tract 5.04, Kern County, California",4718,495
6029000505,"Census Tract 5.05, Kern County, California",4003,259
6029000506,"Census Tract 5.06, Kern County, California",1765,201
6029000507,"Census Tract 5.07, Kern County, California",3700,304
6029000600,"Census Tract 6, Kern County, California",8793,1425
6029000700,"Census Tract 7, Kern County, California",5317,607
6029000800,"Census Tract 8, Kern County, California",4105,472
6029000902,"Census Tract 9.02, Kern County, California",3366,352
6029000903,"Census Tract 9.03, Kern County, California",3727,319
6029000904,"Census Tract 9.04, Kern County, California",4363,416
6029000905,"Census Tract 9.05, Kern County, California",2786,271
6029000906,"Census Tract 9.06, Kern County, California",4217,422
6029000907,"Census Tract 9.07, Kern County, California",2281,305
6029000908,"Census Tract 9.08, Kern County, California",5001,408
6029000909,"Census Tract 9.09, Kern County, California",2335,265
6029000910,"Census Tract 9.10, Kern County, California",8399,528
6029001000,"Census Tract 10, Kern County, California",8063,873
6029001101,"Census Tract 11.01, Kern County, California",3867,422
6029001102,"Census Tract 11.02, Kern County, California",6686,644
6029001103,"Census Tract 11.03, Kern County, California",4491,657
6029001201,"Census Tract 12.01, Kern County, California",3364,291
6029001202,"Census Tract 12.02, Kern County, California",5508,558
6029001300,"Census Tract 13, Kern County, California",8111,652
6029001400,"Census Tract 14, Kern County, California",7264,895
6029001500,"Census Tract 15, Kern County, California",2814,606
6029001600,"Census Tract 16, Kern County, California",1580,409
6029001700,"Census Tract 17, Kern County, California",3692,390
6029001801,"Census Tract 18.01, Kern County, California",5717,618
6029001802,"Census Tract 18.02, Kern County, California",5418,432
6029001901,"Census Tract 19.01, Kern County, California",3515,426
6029001902,"Census Tract 19.02, Kern County, California",5060,659
6029002000,"Census Tract 20, Kern County, California",6524,947
6029002100,"Census Tract 21, Kern County, California",3572,677
6029002200,"Census Tract 22, Kern County, California",5717,595
6029002301,"Census Tract 23.01, Kern County, California",8485,983
6029002302,"Census Tract 23.02, Kern County, California",3085,476
6029002400,"Census Tract 24, Kern County, California",4000,494
6029002500,"Census Tract 25, Kern County, California",8183,1035
6029002600,"Census Tract 26, Kern County, California",3482,669
6029002700,"Census Tract 27, Kern County, California",5559,533
6029002804,"Census Tract 28.04, Kern County, California",2936,397
6029002806,"Census Tract 28.06, Kern County, California",1970,321
6029002807,"Census Tract 28.07, Kern County, California",3909,353
6029002808,"Census Tract 28.08, Kern County, California",7750,400
6029002811,"Census Tract 28.11, Kern County, California",3838,323
6029002812,"Census Tract 28.12, Kern County, California",4915,509
6029002813,"Census Tract 28.13, Kern County, California",4473,621
6029002814,"Census Tract 28.14, Kern County, California",3916,354
6029002815,"Census Tract 28.15, Kern County, California",4338,458
6029002816,"Census Tract 28.16, Kern County, California",5062,458
6029002817,"Census Tract 28.17, Kern County, California",4991,465
6029002818,"Census Tract 28.18, Kern County, California",3761,371
6029002819,"Census Tract 28.19, Kern County, California",4722,449
6029002820,"Census Tract 28.20, Kern County, California",6032,350
6029002821,"Census Tract 28.21, Kern County, California",4799,320
6029002900,"Census Tract 29, Kern County, California",8150,876
6029003000,"Census Tract 30, Kern County, California",7511,638
6029003103,"Census Tract 31.03, Kern County, California",3411,424
6029003112,"Census Tract 31.12, Kern County, California",5156,407
6029003113,"Census Tract 31.13, Kern County, California",4465,378
6029003114,"Census Tract 31.14, Kern County, California",7849,571
6029003115,"Census Tract 31.15, Kern County, California",5364,448
6029003121,"Census Tract 31.21, Kern County, California",8279,966
6029003122,"Census Tract 31.22, Kern County, California",7976,529
6029003123,"Census Tract 31.23, Kern County, California",9261,631
6029003124,"Census Tract 31.24, Kern County, California",5444,363
6029003201,"Census Tract 32.01, Kern County, California",16024,938
6029003202,"Census Tract 32.02, Kern County, California",12560,1018
6029003203,"Census Tract 32.03, Kern County, California",2542,230
6029003204,"Census Tract 32.04, Kern County, California",7558,550
6029003302,"Census Tract 33.02, Kern County, California",7921,1011
6029003303,"Census Tract 33.03, Kern County, California",1658,304
6029003304,"Census Tract 33.04, Kern County, California",5151,361
6029003400,"Census Tract 34, Kern County, California",3587,515
6029003500,"Census Tract 35, Kern County, California",6104,313
6029003600,"Census Tract 36, Kern County, California",4493,694
6029003700,"Census Tract 37, Kern County, California",4118,342
6029003803,"Census Tract 38.03, Kern County, California",4151,461
6029003804,"Census Tract 38.04, Kern County, California",11544,680
6029003805,"Census Tract 38.05, Kern County, California",8617,472
6029003806,"Census Tract 38.06, Kern County, California",4021,298
6029003807,"Census Tract 38.07, Kern County, California",3757,341
6029003808,"Census Tract 38.08, Kern County, California",5062,445
6029003809,"Census Tract 38.09, Kern County, California",10462,676
6029003810,"Census Tract 38.10, Kern County, California",2741,204
6029003811,"Census Tract 38.11, Kern County, California",2222,389
6029003812,"Census Tract 38.12, Kern County, California",4899,380
6029003813,"Census Tract 38.13, Kern County, California",7173,457
6029003900,"Census Tract 39, Kern County, California",2516,525
6029004000,"Census Tract 40, Kern County, California",6042,421
6029004101,"Census Tract 41.01, Kern County, California",4249,411
6029004102,"Census Tract 41.02, Kern County, California",5404,410
6029004200,"Census Tract 42, Kern County, California",1436,144
6029004301,"Census Tract 43.01, Kern County, California",6836,606
6029004302,"Census Tract 43.02, Kern County, California",5747,275
6029004401,"Census Tract 44.01, Kern County, California",6783,550
6029004402,"Census Tract 44.02, Kern County, California",5365,567
6029004500,"Census Tract 45, Kern County, California",3393,348
6029004601,"Census Tract 46.01, Kern County, California",5398,271
6029004602,"Census Tract 46.02, Kern County, California",13874,695
6029004700,"Census Tract 47, Kern County, California",12300,199
6029004800,"Census Tract 48, Kern County, California",7759,754
6029004901,"Census Tract 49.01, Kern County, California",5913,586
6029004902,"Census Tract 49.02, Kern County, California",8137,619
6029005000,"Census Tract 50, Kern County, California",11945,893
6029005103,"Census Tract 51.03, Kern County, California",2857,331
6029005104,"Census Tract 51.04, Kern County, California",1469,211
6029005201,"Census Tract 52.01, Kern County, California",5299,674
6029005202,"Census Tract 52.02, Kern County, California",10363,770
6029005300,"Census Tract 53, Kern County, California",2440,415
6029005401,"Census Tract 54.01, Kern County, California",6022,371
6029005402,"Census Tract 54.02, Kern County, California",4695,427
6029005403,"Census Tract 54.03, Kern County, California",6630,501
6029005404,"Census Tract 54.04, Kern County, California",6189,495
6029005501,"Census Tract 55.01, Kern County, California",5907,568
6029005503,"Census Tract 55.03, Kern County, California",2445,361
6029005504,"Census Tract 55.04, Kern County, California",78,123
6029005505,"Census Tract 55.05, Kern County, California",13315,122
6029005506,"Census Tract 55.06, Kern County, California",5291,573
6029005600,"Census Tract 56, Kern County, California",2403,287
6029005700,"Census Tract 57, Kern County, California",4899,2255
6029005800,"Census Tract 58, Kern County, California",11953,927
6029005900,"Census Tract 59, Kern County, California",3493,411
6029006002,"Census Tract 60.02, Kern County, California",6396,1093
6029006003,"Census Tract 60.03, Kern County, California",5152,606
6029006004,"Census Tract 60.04, Kern County, California",1331,194
6029006005,"Census Tract 60.05, Kern County, California",13928,1072
6029006100,"Census Tract 61, Kern County, California",5302,1046
6029006201,"Census Tract 62.01, Kern County, California",2726,428
6029006202,"Census Tract 62.02, Kern County, California",3096,372
6029006301,"Census Tract 63.01, Kern County, California",3418,417
6029006302,"Census Tract 63.02, Kern County, California",9856,448
6029006401,"Census Tract 64.01, Kern County, California",8447,700
6029006402,"Census Tract 64.02, Kern County, California",8164,715
6031000100,"Census Tract 1, Kings County, California",3842,333
6031000200,"Census Tract 2, Kings County, California",2236,485
6031000300,"Census Tract 3, Kings County, California",7086,1297
6031000402,"Census Tract 4.02, Kings County, California",4170,418
6031000403,"Census Tract 4.03, Kings County, California",5799,445
6031000404,"Census Tract 4.04, Kings County, California",8984,609
6031000405,"Census Tract 4.05, Kings County, California",5872,552
6031000500,"Census Tract 5, Kings County, California",5227,672
6031000601,"Census Tract 6.01, Kings County, California",6639,613
6031000602,"Census Tract 6.02, Kings County, California",5974,424
6031000701,"Census Tract 7.01, Kings County, California",5330,299
6031000702,"Census Tract 7.02, Kings County, California",4294,332
6031000800,"Census Tract 8, Kings County, California",4549,493
6031000900,"Census Tract 9, Kings County, California",7758,785
6031001001,"Census Tract 10.01, Kings County, California",4714,1380
6031001002,"Census Tract 10.02, Kings County, California",4281,550
6031001003,"Census Tract 10.03, Kings County, California",4761,412
6031001100,"Census Tract 11, Kings County, California",6673,723
6031001200,"Census Tract 12, Kings County, California",2403,237
6031001300,"Census Tract 13, Kings County, California",3121,468
6031001400,"Census Tract 14, Kings County, California",4901,454
6031001500,"Census Tract 15, Kings County, California",4753,415
6031001601,"Census Tract 16.01, Kings County, California",4107,439
6031001602,"Census Tract 16.02, Kings County, California",12441,428
6031001701,"Census Tract 17.01, Kings County, California",16221,174
6031001702,"Census Tract 17.02, Kings County, California",560,172
6033000100,"Census Tract 1, Lake County, California",3222,501
6033000300,"Census Tract 3, Lake County, California",4402,512
6033000400,"Census Tract 4, Lake County, California",5950,467
6033000500,"Census Tract 5, Lake County, California",5074,810
6033000600,"Census Tract 6, Lake County, California",3996,592
6033000700,"Census Tract 7, Lake County, California",7603,744
6033000800,"Census Tract 8, Lake County, California",7428,732
6033000900,"Census Tract 9, Lake County, California",5730,509
6033001000,"Census Tract 10, Lake County, California",6275,641
6033001100,"Census Tract 11, Lake County, California",4232,617
6033001200,"Census Tract 12, Lake County, California",3010,521
6033001300,"Census Tract 13, Lake County, California",7834,887
6035040100,"Census Tract 401, Lassen County, California",1674,289
6035040200,"Census Tract 402, Lassen County, California",2509,328
6035040301,"Census Tract 403.01, Lassen County, California",9302,402
6035040302,"Census Tract 403.02, Lassen County, California",4403,418
6035040400,"Census Tract 404, Lassen County, California",9429,377
6035040500,"Census Tract 405, Lassen County, California",3347,441
6035040600,"Census Tract 406, Lassen County, California",3764,1028
6037101110,"Census Tract 1011.10, Los Angeles County, California",4973,404
6037101120,"Census Tract 1011.20, Los Angeles County, California",3811,315
6037101210,"Census Tract 1012.10, Los Angeles County, California",6965,739
6037101220,"Census Tract 1012.20, Los Angeles County, California",3466,468
6037101300,"Census Tract 1013, Los Angeles County, California",3857,268
6037101400,"Census Tract 1014, Los Angeles County, California",3442,361
6037102101,"Census Tract 1021.01, Los Angeles County, California",3330,582
6037102102,"Census Tract 1021.02, Los Angeles County, California",6982,683
6037103101,"Census Tract 1031.01, Los Angeles County, California",3003,281
6037103102,"Census Tract 1031.02, Los Angeles County, California",4577,300
6037103200,"Census Tract 1032, Los Angeles County, California",5399,427
6037103300,"Census Tract 1033, Los Angeles County, California",4197,326
6037103400,"Census Tract 1034, Los Angeles County, California",6433,644
6037104103,"Census Tract 1041.03, Los Angeles County, California",3888,433
6037104104,"Census Tract 1041.04, Los Angeles County, California",3282,342
6037104105,"Census Tract 1041.05, Los Angeles County, California",5674,693
6037104106,"Census Tract 1041.06, Los Angeles County, California",5552,757
6037104107,"Census Tract 1041.07, Los Angeles County, California",421,164
6037104201,"Census Tract 1042.01, Los Angeles County, California",4831,796
6037104202,"Census Tract 1042.02, Los Angeles County, California",7221,1156
6037104310,"Census Tract 1043.10, Los Angeles County, California",2865,446
6037104320,"Census Tract 1043.20, Los Angeles County, California",6259,897
6037104401,"Census Tract 1044.01, Los Angeles County, California",4887,725
6037104402,"Census Tract 1044.02, Los Angeles County, California",4286,777
6037104500,"Census Tract 1045, Los Angeles County, California",4568,584
6037104610,"Census Tract 1046.10, Los Angeles County, California",2765,399
6037104620,"Census Tract 1046.20, Los Angeles County, California",2997,312
6037104701,"Census Tract 1047.01, Los Angeles County, California",4242,409
6037104702,"Census Tract 1047.02, Los Angeles County, California",7007,557
6037104810,"Census Tract 1048.10, Los Angeles County, California",4490,615
6037104820,"Census Tract 1048.20, Los Angeles County, California",5516,585
6037106010,"Census Tract 1060.10, Los Angeles County, California",4433,384
6037106020,"Census Tract 1060.20, Los Angeles County, California",6116,947
6037106111,"Census Tract 1061.11, Los Angeles County, California",5011,474
6037106112,"Census Tract 1061.12, Los Angeles County, California",6112,542
6037106113,"Census Tract 1061.13, Los Angeles County, California",3337,350
6037106114,"Census Tract 1061.14, Los Angeles County, California",4909,645
6037106402,"Census Tract 1064.02, Los Angeles County, California",7480,893
6037106403,"Census Tract 1064.03, Los Angeles County, California",3388,625
6037106404,"Census Tract 1064.04, Los Angeles County, California",5337,605
6037106510,"Census Tract 1065.10, Los Angeles County, California",3958,293
6037106520,"Census Tract 1065.20, Los Angeles County, California",5624,827
6037106602,"Census Tract 1066.02, Los Angeles County, California",6254,420
6037106603,"Census Tract 1066.03, Los Angeles County, California",2883,286
6037106604,"Census Tract 1066.04, Los Angeles County, California",5243,449
6037106605,"Census Tract 1066.05, Los Angeles County, California",5474,545
6037106606,"Census Tract 1066.06, Los Angeles County, California",584,399
6037106641,"Census Tract 1066.41, Los Angeles County, California",2114,229
6037106642,"Census Tract 1066.42, Los Angeles County, California",2923,287
6037106643,"Census Tract 1066.43, Los Angeles County, California",4282,236
6037107010,"Census Tract 1070.10, Los Angeles County, California",2974,578
6037107020,"Census Tract 1070.20, Los Angeles County, California",5357,610
6037108101,"Census Tract 1081.01, Los Angeles County, California",2605,288
6037108102,"Census Tract 1081.02, Los Angeles County, California",3758,323
6037108103,"Census Tract 1081.03, Los Angeles County, California",3623,204
6037108104,"Census Tract 1081.04, Los Angeles County, California",1803,218
6037108200,"Census Tract 1082, Los Angeles County, California",8213,514
6037109100,"Census Tract 1091, Los Angeles County, California",2338,312
6037109200,"Census Tract 1092, Los Angeles County, California",3138,481
6037109300,"Census Tract 1093, Los Angeles County, California",3604,332
6037109400,"Census Tract 1094, Los Angeles County, California",5270,445
6037109500,"Census Tract 1095, Los Angeles County, California",3253,306
6037109601,"Census Tract 1096.01, Los Angeles County, California",3539,419
6037109602,"Census Tract 1096.02, Los Angeles County, California",4284,390
6037109700,"Census Tract 1097, Los Angeles County, California",4501,381
6037109800,"Census Tract 1098, Los Angeles County, California",5860,439
6037111100,"Census Tract 1111, Los Angeles County, California",5429,471
6037111201,"Census Tract 1112.01, Los Angeles County, California",2474,304
6037111202,"Census Tract 1112.02, Los Angeles County, California",5206,500
6037111203,"Census Tract 1112.03, Los Angeles County, California",6494,431
6037111204,"Census Tract 1112.04, Los Angeles County, California",6155,429
6037111301,"Census Tract 1113.01, Los Angeles County, California",7579,555
6037111302,"Census Tract 1113.02, Los Angeles County, California",5594,340
6037111400,"Census Tract 1114, Los Angeles County, California",8085,848
6037113100,"Census Tract 1131, Los Angeles County, California",6852,608
6037113202,"Census Tract 1132.02, Los Angeles County, California",4965,257
6037113211,"Census Tract 1132.11, Los Angeles County, California",4388,869
6037113212,"Census Tract 1132.12, Los Angeles County, California",3596,353
6037113213,"Census Tract 1132.13, Los Angeles County, California",4538,326
6037113231,"Census Tract 1132.31, Los Angeles County, California",2140,218
6037113232,"Census Tract 1132.32, Los Angeles County, California",4224,518
6037113233,"Census Tract 1132.33, Los Angeles County, California",6473,628
6037113234,"Census Tract 1132.34, Los Angeles County, California",4474,359
6037113301,"Census Tract 1133.01, Los Angeles County, California",2220,212
6037113303,"Census Tract 1133.03, Los Angeles County, California",4350,240
6037113321,"Census Tract 1133.21, Los Angeles County, California",6136,552
6037113322,"Census Tract 1133.22, Los Angeles County, California",3949,318
6037113401,"Census Tract 1134.01, Los Angeles County, California",5473,701
6037113421,"Census Tract 1134.21, Los Angeles County, California",6139,586
6037113422,"Census Tract 1134.22, Los Angeles County, California",6433,671
6037115101,"Census Tract 1151.01, Los Angeles County, California",5385,290
6037115102,"Census Tract 1151.02, Los Angeles County, California",3098,354
6037115201,"Census Tract 1152.01, Los Angeles County, California",6293,637
6037115202,"Census Tract 1152.02, Los Angeles County, California",5065,506
6037115301,"Census Tract 1153.01, Los Angeles County, California",4227,471
6037115302,"Census Tract 1153.02, Los Angeles County, California",4627,447
6037115401,"Census Tract 1154.01, Los Angeles County, California",5398,542
6037115402,"Census Tract 1154.02, Los Angeles County, California",6274,640
6037117100,"Census Tract 1171, Los Angeles County, California",7536,693
6037117200,"Census Tract 1172, Los Angeles County, California",6940,596
6037117301,"Census Tract 1173.01, Los Angeles County, California",4025,338
6037117302,"Census Tract 1173.02, Los Angeles County, California",4706,311
6037117303,"Census Tract 1173.03, Los Angeles County, California",3251,351
6037117404,"Census Tract 1174.04, Los Angeles County, California",4647,491
6037117405,"Census Tract 1174.05, Los Angeles County, California",3331,423
6037117406,"Census Tract 1174.06, Los Angeles County, California",6551,684
6037117510,"Census Tract 1175.10, Los Angeles County, California",4221,512
6037117520,"Census Tract 1175.20, Los Angeles County, California",3706,416
6037117530,"Census Tract 1175.30, Los Angeles County, California",5785,585
6037119000,"Census Tract 1190, Los Angeles County, California",6702,493
6037119100,"Census Tract 1191, Los Angeles County, California",4802,637
6037119200,"Census Tract 1192, Los Angeles County, California",4027,748
6037119310,"Census Tract 1193.10, Los Angeles County, California",3831,498
6037119320,"Census Tract 1193.20, Los Angeles County, California",3796,446
6037119330,"Census Tract 1193.30, Los Angeles County, California",5621,419
6037119340,"Census Tract 1193.40, Los Angeles County, California",7212,700
6037119400,"Census Tract 1194, Los Angeles County, California",7341,490
6037119700,"Census Tract 1197, Los Angeles County, California",4960,529
6037119800,"Census Tract 1198, Los Angeles County, California",5403,485
6037119900,"Census Tract 1199, Los Angeles County, California",6965,564
6037120010,"Census Tract 1200.10, Los Angeles County, California",3197,460
6037120020,"Census Tract 1200.20, Los Angeles County, California",4767,475
6037120030,"Census Tract 1200.30, Los Angeles County, California",3236,366
6037120101,"Census Tract 1201.01, Los Angeles County, California",7938,788
6037120102,"Census Tract 1201.02, Los Angeles County, California",11486,1012
6037120300,"Census Tract 1203, Los Angeles County, California",5466,613
6037120400,"Census Tract 1204, Los Angeles County, California",6036,620
6037121010,"Census Tract 1210.10, Los Angeles County, California",5095,392
6037121020,"Census Tract 1210.20, Los Angeles County, California",4181,635
6037121100,"Census Tract 1211, Los Angeles County, California",4681,345
6037121210,"Census Tract 1212.10, Los Angeles County, California",5746,518
6037121220,"Census Tract 1212.20, Los Angeles County, California",3915,392
6037121600,"Census Tract 1216, Los Angeles County, California",2971,374
6037121800,"Census Tract 1218, Los Angeles County, California",7808,689
6037121900,"Census Tract 1219, Los Angeles County, California",4298,444
6037122000,"Census Tract 1220, Los Angeles County, California",5494,534
6037122110,"Census Tract 1221.10, Los Angeles County, California",4868,481
6037122120,"Census Tract 1221.20, Los Angeles County, California",4823,480
6037122200,"Census Tract 1222, Los Angeles County, California",5086,661
6037122410,"Census Tract 1224.10, Los Angeles County, California",4346,485
6037122420,"Census Tract 1224.20, Los Angeles County, California",4629,422
6037123010,"Census Tract 1230.10, Los Angeles County, California",4603,636
6037123020,"Census Tract 1230.20, Los Angeles County, California",3143,472
6037123103,"Census Tract 1231.03, Los Angeles County, California",3862,322
6037123104,"Census Tract 1231.04, Los Angeles County, California",4825,391
6037123203,"Census Tract 1232.03, Los Angeles County, California",3828,363
6037123204,"Census Tract 1232.04, Los Angeles County, California",3144,273
6037123205,"Census Tract 1232.05, Los Angeles County, California",2549,293
6037123206,"Census Tract 1232.06, Los Angeles County, California",2525,306
6037123301,"Census Tract 1233.01, Los Angeles County, California",5311,441
6037123303,"Census Tract 1233.03, Los Angeles County, California",3156,504
6037123304,"Census Tract 1233.04, Los Angeles County, California",4383,643
6037123410,"Census Tract 1234.10, Los Angeles County, California",3982,569
6037123420,"Census Tract 1234.20, Los Angeles County, California",4223,501
6037123510,"Census Tract 1235.10, Los Angeles County, California",4723,487
6037123520,"Census Tract 1235.20, Los Angeles County, California",2793,363
6037123601,"Census Tract 1236.01, Los Angeles County, California",5766,493
6037123602,"Census Tract 1236.02, Los Angeles County, California",3649,518
6037123700,"Census Tract 1237, Los Angeles County, California",4466,295
6037123800,"Census Tract 1238, Los Angeles County, California",5578,451
6037123900,"Census Tract 1239, Los Angeles County, California",6891,666
6037124000,"Census Tract 1240, Los Angeles County, California",4649,438
6037124101,"Census Tract 1241.01, Los Angeles County, California",7793,716
6037124102,"Census Tract 1241.02, Los Angeles County, California",3851,564
6037124201,"Census Tract 1242.01, Los Angeles County, California",3004,355
6037124202,"Census Tract 1242.02, Los Angeles County, California",5816,604
6037124300,"Census Tract 1243, Los Angeles County, California",3831,469
6037124400,"Census Tract 1244, Los Angeles County, California",3798,334
6037124500,"Census Tract 1245, Los Angeles County, California",2867,242
6037124600,"Census Tract 1246, Los Angeles County, California",4497,376
6037124700,"Census Tract 1247, Los Angeles County, California",4379,609
6037124901,"Census Tract 1249.01, Los Angeles County, California",6446,548
6037125100,"Census Tract 1251, Los Angeles County, California",5503,380
6037125200,"Census Tract 1252, Los Angeles County, California",3240,250
6037125310,"Census Tract 1253.10, Los Angeles County, California",3564,463
6037125320,"Census Tract 1253.20, Los Angeles County, California",4038,270
6037125400,"Census Tract 1254, Los Angeles County, California",7627,476
6037125500,"Census Tract 1255, Los Angeles County, California",6291,543
6037125600,"Census Tract 1256, Los Angeles County, California",2790,309
6037127101,"Census Tract 1271.01, Los Angeles County, California",6558,616
6037127102,"Census Tract 1271.02, Los Angeles County, California",5243,479
6037127210,"Census Tract 1272.10, Los Angeles County, California",5193,452
6037127220,"Census Tract 1272.20, Los Angeles County, California",5326,414
6037127300,"Census Tract 1273, Los Angeles County, California",5367,509
6037127400,"Census Tract 1274, Los Angeles County, California",4680,476
6037127510,"Census Tract 1275.10, Los Angeles County, California",4579,501
6037127520,"Census Tract 1275.20, Los Angeles County, California",2966,560
6037127601,"Census Tract 1276.01, Los Angeles County, California",6780,675
6037127602,"Census Tract 1276.02, Los Angeles County, California",6740,616
6037127710,"Census Tract 1277.10, Los Angeles County, California",6881,746
6037127801,"Census Tract 1278.01, Los Angeles County, California",7728,681
6037127802,"Census Tract 1278.02, Los Angeles County, California",6781,663
6037127910,"Census Tract 1279.10, Los Angeles County, California",5691,628
6037127920,"Census Tract 1279.20, Los Angeles County, California",3610,369
6037128100,"Census Tract 1281, Los Angeles County, California",9265,1149
6037128210,"Census Tract 1282.10, Los Angeles County, California",5087,543
6037128220,"Census Tract 1282.20, Los Angeles County, California",3069,244
6037128302,"Census Tract 1283.02, Los Angeles County, California",5105,603
6037128303,"Census Tract 1283.03, Los Angeles County, California",3712,524
6037128400,"Census Tract 1284, Los Angeles County, California",4287,357
6037128500,"Census Tract 1285, Los Angeles County, California",5465,613
6037128600,"Census Tract 1286, Los Angeles County, California",6185,836
6037128702,"Census Tract 1287.02, Los Angeles County, California",5449,392
6037128800,"Census Tract 1288, Los Angeles County, California",7287,543
6037128910,"Census Tract 1289.10, Los Angeles County, California",4026,307
6037131010,"Census Tract 1310.10, Los Angeles County, California",5926,424
6037131020,"Census Tract 1310.20, Los Angeles County, California",5799,614
6037131100,"Census Tract 1311, Los Angeles County, California",3487,358
6037131200,"Census Tract 1312, Los Angeles County, California",3466,402
6037131300,"Census Tract 1313, Los Angeles County, California",5364,552
6037131400,"Census Tract 1314, Los Angeles County, California",5027,574
6037131600,"Census Tract 1316, Los Angeles County, California",5249,475
6037131700,"Census Tract 1317, Los Angeles County, California",8473,744
6037131800,"Census Tract 1318, Los Angeles County, California",4963,643
6037131900,"Census Tract 1319, Los Angeles County, California",3813,325
6037132000,"Census Tract 1320, Los Angeles County, California",6165,469
6037132100,"Census Tract 1321, Los Angeles County, California",5976,582
6037132300,"Census Tract 1323, Los Angeles County, California",6210,507
6037132500,"Census Tract 1325, Los Angeles County, California",7082,717
6037132700,"Census Tract 1327, Los Angeles County, California",5464,549
6037132900,"Census Tract 1329, Los Angeles County, California",3204,299
6037133000,"Census Tract 1330, Los Angeles County, California",4093,469
6037133100,"Census Tract 1331, Los Angeles County, California",5684,480
6037134000,"Census Tract 1340, Los Angeles County, California",7766,610
6037134101,"Census Tract 1341.01, Los Angeles County, California",4997,486
6037134103,"Census Tract 1341.03, Los Angeles County, California",4586,610
6037134104,"Census Tract 1341.04, Los Angeles County, California",4452,478
6037134201,"Census Tract 1342.01, Los Angeles County, California",4418,425
6037134302,"Census Tract 1343.02, Los Angeles County, California",3780,199
6037134303,"Census Tract 1343.03, Los Angeles County, California",5104,502
6037134304,"Census Tract 1343.04, Los Angeles County, California",3365,417
6037134305,"Census Tract 1343.05, Los Angeles County, California",3898,470
6037134306,"Census Tract 1343.06, Los Angeles County, California",3301,581
6037134401,"Census Tract 1344.01, Los Angeles County, California",6414,277
6037134421,"Census Tract 1344.21, Los Angeles County, California",4222,200
6037134422,"Census Tract 1344.22, Los Angeles County, California",4771,288
