Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
6037183620,"Census Tract 1836.20, Los Angeles County, California",425300,73152
6037183700,"Census Tract 1837, Los Angeles County, California",364500,39601
6037183810,"Census Tract 1838.10, Los Angeles County, California",507400,100795
6037183820,"Census Tract 1838.20, Los Angeles County, California",419800,120071
6037185100,"Census Tract 1851, Los Angeles County, California",564400,50858
6037185201,"Census Tract 1852.01, Los Angeles County, California",480800,26844
6037185202,"Census Tract 1852.02, Los Angeles County, California",528900,85539
6037185310,"Census Tract 1853.10, Los Angeles County, California",434000,70690
6037185320,"Census Tract 1853.20, Los Angeles County, California",436400,59467
6037186100,"Census Tract 1861, Los Angeles County, California",575400,28243
6037186200,"Census Tract 1862, Los Angeles County, California",606800,32232
6037186300,"Census Tract 1863, Los Angeles County, California",566100,38113
6037186401,"Census Tract 1864.01, Los Angeles County, California",315900,63843
6037186402,"Census Tract 1864.02, Los Angeles County, California",465600,31916
6037187100,"Census Tract 1871, Los Angeles County, California",564200,38111
6037187200,"Census Tract 1872, Los Angeles County, California",375200,46185
6037187300,"Census Tract 1873, Los Angeles County, California",672600,46016
6037188100,"Census Tract 1881, Los Angeles County, California",571800,54492
6037188200,"Census Tract 1882, Los Angeles County, California","1,000,000+",***
6037188300,"Census Tract 1883, Los Angeles County, California",638700,24668
6037189100,"Census Tract 1891, Los Angeles County, California",580200,131810
6037189200,"Census Tract 1892, Los Angeles County, California","1,000,000+",***
6037189300,"Census Tract 1893, Los Angeles County, California","1,000,000+",***
6037189400,"Census Tract 1894, Los Angeles County, California",988800,68800
6037189500,"Census Tract 1895, Los Angeles County, California",831700,65496
6037189600,"Census Tract 1896, Los Angeles County, California",911800,83486
6037189701,"Census Tract 1897.01, Los Angeles County, California",912600,121232
6037189702,"Census Tract 1897.02, Los Angeles County, California",742100,264201
6037189800,"Census Tract 1898, Los Angeles County, California","1,000,000+",***
6037189901,"Census Tract 1899.01, Los Angeles County, California",621600,89860
6037189902,"Census Tract 1899.02, Los Angeles County, California",643300,169355
6037190100,"Census Tract 1901, Los Angeles County, California","1,000,000+",***
6037190200,"Census Tract 1902, Los Angeles County, California","1,000,000+",***
6037190301,"Census Tract 1903.01, Los Angeles County, California",466700,128871
6037190400,"Census Tract 1904, Los Angeles County, California",-,**
6037190510,"Census Tract 1905.10, Los Angeles County, California",-,**
6037190520,"Census Tract 1905.20, Los Angeles County, California",475800,113483
6037190700,"Census Tract 1907, Los Angeles County, California",514700,299335
6037190800,"Census Tract 1908, Los Angeles County, California",611800,61512
6037190901,"Census Tract 1909.01, Los Angeles County, California",592900,163952
6037190902,"Census Tract 1909.02, Los Angeles County, California",744300,157900
6037191000,"Census Tract 1910, Los Angeles County, California","1,000,000+",***
6037191110,"Census Tract 1911.10, Los Angeles County, California",552100,216604
6037191120,"Census Tract 1911.20, Los Angeles County, California",575600,180720
6037191201,"Census Tract 1912.01, Los Angeles County, California",440900,205318
6037191203,"Census Tract 1912.03, Los Angeles County, California",594700,290744
6037191204,"Census Tract 1912.04, Los Angeles County, California",723800,253140
6037191300,"Census Tract 1913, Los Angeles County, California",586900,89464
6037191410,"Census Tract 1914.10, Los Angeles County, California",607800,223582
6037191420,"Census Tract 1914.20, Los Angeles County, California",565000,203222
6037191500,"Census Tract 1915, Los Angeles County, California",562500,125273
6037191610,"Census Tract 1916.10, Los Angeles County, California",467400,55380
6037191620,"Census Tract 1916.20, Los Angeles County, California",570800,184806
6037191710,"Census Tract 1917.10, Los Angeles County, California",627700,171147
6037191720,"Census Tract 1917.20, Los Angeles County, California",809200,149923
6037191810,"Census Tract 1918.10, Los Angeles County, California",596800,412157
6037191820,"Census Tract 1918.20, Los Angeles County, California",650000,340817
6037191900,"Census Tract 1919, Los Angeles County, California",810700,81170
6037192000,"Census Tract 1920, Los Angeles County, California",788200,81875
6037192300,"Census Tract 1923, Los Angeles County, California",838700,74124
6037192410,"Census Tract 1924.10, Los Angeles County, California",876500,37543
6037192420,"Census Tract 1924.20, Los Angeles County, California",475000,269423
6037192510,"Census Tract 1925.10, Los Angeles County, California",616600,69886
6037192520,"Census Tract 1925.20, Los Angeles County, California",470800,140344
6037192610,"Census Tract 1926.10, Los Angeles County, California",728300,187950
6037192620,"Census Tract 1926.20, Los Angeles County, California",284500,314703
6037192700,"Census Tract 1927, Los Angeles County, California",419300,94562
6037194100,"Census Tract 1941, Los Angeles County, California","1,000,000+",***
6037194200,"Census Tract 1942, Los Angeles County, California","1,000,000+",***
6037194300,"Census Tract 1943, Los Angeles County, California","1,000,000+",***
6037194400,"Census Tract 1944, Los Angeles County, California","1,000,000+",***
6037194500,"Census Tract 1945, Los Angeles County, California","1,000,000+",***
6037195100,"Census Tract 1951, Los Angeles County, California",908600,90673
6037195200,"Census Tract 1952, Los Angeles County, California",881500,70311
6037195300,"Census Tract 1953, Los Angeles County, California",600700,205129
6037195400,"Census Tract 1954, Los Angeles County, California",777000,49634
6037195500,"Census Tract 1955, Los Angeles County, California",751000,97837
6037195600,"Census Tract 1956, Los Angeles County, California",621900,34579
6037195710,"Census Tract 1957.10, Los Angeles County, California",472300,90467
6037195720,"Census Tract 1957.20, Los Angeles County, California",544600,106339
6037195801,"Census Tract 1958.01, Los Angeles County, California",666700,64811
6037195802,"Census Tract 1958.02, Los Angeles County, California",448500,67728
6037195900,"Census Tract 1959, Los Angeles County, California",614500,51540
6037197110,"Census Tract 1971.10, Los Angeles County, California",440700,117965
6037197200,"Census Tract 1972, Los Angeles County, California",471800,46566
6037197300,"Census Tract 1973, Los Angeles County, California",552700,72891
6037197410,"Census Tract 1974.10, Los Angeles County, California",645000,107109
6037197420,"Census Tract 1974.20, Los Angeles County, California",605400,94730
6037197500,"Census Tract 1975, Los Angeles County, California",772300,133612
6037197600,"Census Tract 1976, Los Angeles County, California",740000,188998
6037197700,"Census Tract 1977, Los Angeles County, California",518700,230626
6037199000,"Census Tract 1990, Los Angeles County, California",365300,27186
6037199110,"Census Tract 1991.10, Los Angeles County, California",388400,50789
6037199120,"Census Tract 1991.20, Los Angeles County, California",363200,95295
6037199201,"Census Tract 1992.01, Los Angeles County, California",380900,111063
6037199202,"Census Tract 1992.02, Los Angeles County, California",406500,70559
6037199300,"Census Tract 1993, Los Angeles County, California",503800,56935
6037199400,"Census Tract 1994, Los Angeles County, California",356200,22607
6037199700,"Census Tract 1997, Los Angeles County, California",419500,47029
6037199800,"Census Tract 1998, Los Angeles County, California",399600,39767
6037199900,"Census Tract 1999, Los Angeles County, California",303100,166616
6037201110,"Census Tract 2011.10, Los Angeles County, California",392200,40268
6037201120,"Census Tract 2011.20, Los Angeles County, California",416000,47689
6037201200,"Census Tract 2012, Los Angeles County, California",332500,170138
6037201301,"Census Tract 2013.01, Los Angeles County, California",429900,43123
6037201302,"Census Tract 2013.02, Los Angeles County, California",427700,10145
6037201401,"Census Tract 2014.01, Los Angeles County, California",361200,23067
6037201402,"Census Tract 2014.02, Los Angeles County, California",397300,43230
6037201501,"Census Tract 2015.01, Los Angeles County, California",431900,26264
6037201503,"Census Tract 2015.03, Los Angeles County, California",398100,63017
6037201504,"Census Tract 2015.04, Los Angeles County, California",384400,59478
6037201600,"Census Tract 2016, Los Angeles County, California",414700,32345
6037201700,"Census Tract 2017, Los Angeles County, California",355500,31442
6037203100,"Census Tract 2031, Los Angeles County, California",395600,51693
6037203200,"Census Tract 2032, Los Angeles County, California",463800,82922
6037203300,"Census Tract 2033, Los Angeles County, California",571400,219448
6037203500,"Census Tract 2035, Los Angeles County, California",457800,37130
6037203600,"Census Tract 2036, Los Angeles County, California",295500,111020
6037203710,"Census Tract 2037.10, Los Angeles County, California",430200,41234
6037203720,"Census Tract 2037.20, Los Angeles County, California",251000,141321
6037203800,"Census Tract 2038, Los Angeles County, California",307800,97607
6037203900,"Census Tract 2039, Los Angeles County, California",390000,99917
6037204110,"Census Tract 2041.10, Los Angeles County, California",368800,46565
6037204120,"Census Tract 2041.20, Los Angeles County, California",369700,123767
6037204200,"Census Tract 2042, Los Angeles County, California",381300,227642
6037204300,"Census Tract 2043, Los Angeles County, California",442800,33231
6037204410,"Census Tract 2044.10, Los Angeles County, California",442100,133923
6037204420,"Census Tract 2044.20, Los Angeles County, California",577200,91520
6037204600,"Census Tract 2046, Los Angeles County, California",392000,84804
6037204700,"Census Tract 2047, Los Angeles County, California",312500,75547
6037204810,"Census Tract 2048.10, Los Angeles County, California",362100,35364
6037204820,"Census Tract 2048.20, Los Angeles County, California",368900,47779
6037204910,"Census Tract 2049.10, Los Angeles County, California",404000,81298
6037204920,"Census Tract 2049.20, Los Angeles County, California",330800,52506
6037205110,"Census Tract 2051.10, Los Angeles County, California",-,**
6037205120,"Census Tract 2051.20, Los Angeles County, California",452800,71206
6037206010,"Census Tract 2060.10, Los Angeles County, California",612500,174599
6037206020,"Census Tract 2060.20, Los Angeles County, California",-,**
6037206030,"Census Tract 2060.30, Los Angeles County, California",230900,13354
6037206040,"Census Tract 2060.40, Los Angeles County, California",418400,204752
6037206050,"Census Tract 2060.50, Los Angeles County, California",558500,204098
6037206200,"Census Tract 2062, Los Angeles County, California",405300,161742
6037206300,"Census Tract 2063, Los Angeles County, California",221400,249731
6037207100,"Census Tract 2071, Los Angeles County, California",448600,24252
6037207300,"Census Tract 2073, Los Angeles County, California",448800,122291
6037207400,"Census Tract 2074, Los Angeles County, California",-,**
6037207500,"Census Tract 2075, Los Angeles County, California",497500,192257
6037207710,"Census Tract 2077.10, Los Angeles County, California",558300,291392
6037207900,"Census Tract 2079, Los Angeles County, California",635400,72932
6037208000,"Census Tract 2080, Los Angeles County, California",473500,56734
6037208300,"Census Tract 2083, Los Angeles County, California",475700,140320
6037208400,"Census Tract 2084, Los Angeles County, California",509600,152409
6037208500,"Census Tract 2085, Los Angeles County, California",387800,46899
6037208610,"Census Tract 2086.10, Los Angeles County, California",552900,90720
6037208620,"Census Tract 2086.20, Los Angeles County, California",348400,40627
6037208710,"Census Tract 2087.10, Los Angeles County, California",332600,37885
6037208720,"Census Tract 2087.20, Los Angeles County, California",387500,352009
6037208800,"Census Tract 2088, Los Angeles County, California","1,000,000+",***
6037208902,"Census Tract 2089.02, Los Angeles County, California",-,**
6037208903,"Census Tract 2089.03, Los Angeles County, California",-,**
6037208904,"Census Tract 2089.04, Los Angeles County, California",-,**
6037209101,"Census Tract 2091.01, Los Angeles County, California",-,**
6037209102,"Census Tract 2091.02, Los Angeles County, California",600000,52927
6037209200,"Census Tract 2092, Los Angeles County, California",-,**
6037209300,"Census Tract 2093, Los Angeles County, California",705400,148188
6037209401,"Census Tract 2094.01, Los Angeles County, California",-,**
6037209402,"Census Tract 2094.02, Los Angeles County, California",76500,99517
6037209403,"Census Tract 2094.03, Los Angeles County, California",-,**
6037209510,"Census Tract 2095.10, Los Angeles County, California",-,**
6037209520,"Census Tract 2095.20, Los Angeles County, California",741100,352162
6037209810,"Census Tract 2098.10, Los Angeles County, California",663800,108027
6037209820,"Census Tract 2098.20, Los Angeles County, California",551300,156185
6037210010,"Census Tract 2100.10, Los Angeles County, California",170800,201196
6037211000,"Census Tract 2110, Los Angeles County, California","1,000,000+",***
6037211110,"Census Tract 2111.10, Los Angeles County, California",685700,169262
6037211120,"Census Tract 2111.20, Los Angeles County, California",-,**
6037211200,"Census Tract 2112, Los Angeles County, California",587200,239705
6037211310,"Census Tract 2113.10, Los Angeles County, California",461300,36994
6037211320,"Census Tract 2113.20, Los Angeles County, California",859800,49154
6037211410,"Census Tract 2114.10, Los Angeles County, California",900000,153539
6037211420,"Census Tract 2114.20, Los Angeles County, California",581500,80268
6037211500,"Census Tract 2115, Los Angeles County, California","1,000,000+",***
6037211701,"Census Tract 2117.01, Los Angeles County, California","1,000,000+",***
6037211702,"Census Tract 2117.02, Los Angeles County, California",541700,293196
6037211801,"Census Tract 2118.01, Los Angeles County, California",383300,172450
6037211802,"Census Tract 2118.02, Los Angeles County, California",296900,61353
6037211910,"Census Tract 2119.10, Los Angeles County, California",197100,125423
6037211920,"Census Tract 2119.20, Los Angeles County, California",-,**
6037212100,"Census Tract 2121, Los Angeles County, California",527300,226655
6037212202,"Census Tract 2122.02, Los Angeles County, California",-,**
6037212203,"Census Tract 2122.03, Los Angeles County, California",-,**
6037212204,"Census Tract 2122.04, Los Angeles County, California",-,**
6037212303,"Census Tract 2123.03, Los Angeles County, California",-,**
6037212304,"Census Tract 2123.04, Los Angeles County, California",-,**
6037212305,"Census Tract 2123.05, Los Angeles County, California",-,**
6037212306,"Census Tract 2123.06, Los Angeles County, California",-,**
6037212410,"Census Tract 2124.10, Los Angeles County, California",639500,25571
6037212420,"Census Tract 2124.20, Los Angeles County, California",800900,529093
6037212500,"Census Tract 2125, Los Angeles County, California",442900,253876
6037212610,"Census Tract 2126.10, Los Angeles County, California",761400,272199
6037212620,"Census Tract 2126.20, Los Angeles County, California",802900,108774
6037212700,"Census Tract 2127, Los Angeles County, California",714600,80339
6037212800,"Census Tract 2128, Los Angeles County, California",656600,61978
6037212900,"Census Tract 2129, Los Angeles County, California",691500,131727
6037213100,"Census Tract 2131, Los Angeles County, California",771000,84113
6037213201,"Census Tract 2132.01, Los Angeles County, California",625000,597654
6037213202,"Census Tract 2132.02, Los Angeles County, California",571000,208815
6037213310,"Census Tract 2133.10, Los Angeles County, California",568800,137395
6037213320,"Census Tract 2133.20, Los Angeles County, California",485200,94069
6037213401,"Census Tract 2134.01, Los Angeles County, California",-,**
6037213402,"Census Tract 2134.02, Los Angeles County, California",744400,247517
6037214000,"Census Tract 2140, Los Angeles County, California","1,000,000+",***
6037214100,"Census Tract 2141, Los Angeles County, California","1,000,000+",***
6037214400,"Census Tract 2144, Los Angeles County, California","1,000,000+",***
6037214500,"Census Tract 2145, Los Angeles County, California","1,000,000+",***
6037214600,"Census Tract 2146, Los Angeles County, California","1,000,000+",***
6037214700,"Census Tract 2147, Los Angeles County, California","1,000,000+",***
6037214800,"Census Tract 2148, Los Angeles County, California","1,000,000+",***
6037214900,"Census Tract 2149, Los Angeles County, California",606800,112167
6037215100,"Census Tract 2151, Los Angeles County, California",-,**
6037216100,"Census Tract 2161, Los Angeles County, California","1,000,000+",***
6037216200,"Census Tract 2162, Los Angeles County, California",816400,78625
6037216300,"Census Tract 2163, Los Angeles County, California","1,000,000+",***
6037216400,"Census Tract 2164, Los Angeles County, California",598400,76516
6037216700,"Census Tract 2167, Los Angeles County, California",686900,77504
6037216800,"Census Tract 2168, Los Angeles County, California","1,000,000+",***
6037216900,"Census Tract 2169, Los Angeles County, California",803200,104213
6037217000,"Census Tract 2170, Los Angeles County, California",863400,57472
6037217100,"Census Tract 2171, Los Angeles County, California",498400,138178
6037217200,"Census Tract 2172, Los Angeles County, California",711300,78523
6037218110,"Census Tract 2181.10, Los Angeles County, California",601500,68410
6037218120,"Census Tract 2181.20, Los Angeles County, California",585600,57685
6037218210,"Census Tract 2182.10, Los Angeles County, California",431600,80437
6037218220,"Census Tract 2182.20, Los Angeles County, California",572900,172641
6037218300,"Census Tract 2183, Los Angeles County, California",556200,61928
6037218400,"Census Tract 2184, Los Angeles County, California",443300,46733
6037218500,"Census Tract 2185, Los Angeles County, California",359800,63855
6037218600,"Census Tract 2186, Los Angeles County, California",420300,36980
6037218700,"Census Tract 2187, Los Angeles County, California",657700,59288
6037218800,"Census Tract 2188, Los Angeles County, California",648500,168138
6037218900,"Census Tract 2189, Los Angeles County, California",548300,139619
6037219010,"Census Tract 2190.10, Los Angeles County, California",407100,109128
6037219020,"Census Tract 2190.20, Los Angeles County, California",444400,62204
6037219300,"Census Tract 2193, Los Angeles County, California",402700,115077
6037219500,"Census Tract 2195, Los Angeles County, California",484000,83525
6037219700,"Census Tract 2197, Los Angeles County, California",380200,37209
6037219800,"Census Tract 2198, Los Angeles County, California",431900,41406
6037219900,"Census Tract 2199, Los Angeles County, California",431100,28873
6037220000,"Census Tract 2200, Los Angeles County, California",439300,42449
6037220100,"Census Tract 2201, Los Angeles County, California",562000,56120
6037221110,"Census Tract 2211.10, Los Angeles County, California",526300,299040
6037221120,"Census Tract 2211.20, Los Angeles County, California",442600,64449
6037221210,"Census Tract 2212.10, Los Angeles County, California",531300,161785
6037221220,"Census Tract 2212.20, Los Angeles County, California",501800,97709
6037221301,"Census Tract 2213.01, Los Angeles County, California",645800,460954
6037221302,"Census Tract 2213.02, Los Angeles County, California",552300,112275
6037221400,"Census Tract 2214, Los Angeles County, California",703400,98959
6037221500,"Census Tract 2215, Los Angeles County, California",576100,56726
6037221600,"Census Tract 2216, Los Angeles County, California",589600,73076
6037221710,"Census Tract 2217.10, Los Angeles County, California",533300,104967
6037221810,"Census Tract 2218.10, Los Angeles County, California",522200,132453
6037221820,"Census Tract 2218.20, Los Angeles County, California",509600,313041
6037221900,"Census Tract 2219, Los Angeles County, California",146000,688761
6037222000,"Census Tract 2220, Los Angeles County, California",424900,40723
6037222100,"Census Tract 2221, Los Angeles County, California",296100,41495
6037222200,"Census Tract 2222, Los Angeles County, California",545000,239591
6037222500,"Census Tract 2225, Los Angeles County, California",457000,41061
6037222600,"Census Tract 2226, Los Angeles County, California",458300,434004
6037222700,"Census Tract 2227, Los Angeles County, California",-,**
6037224010,"Census Tract 2240.10, Los Angeles County, California",-,**
6037224020,"Census Tract 2240.20, Los Angeles County, California",292900,659732
6037224200,"Census Tract 2242, Los Angeles County, California",463300,105936
6037224310,"Census Tract 2243.10, Los Angeles County, California",377800,62001
6037224320,"Census Tract 2243.20, Los Angeles County, California",552300,245672
6037224410,"Census Tract 2244.10, Los Angeles County, California",387500,92491
6037224420,"Census Tract 2244.20, Los Angeles County, California",450000,137436
6037224600,"Census Tract 2246, Los Angeles County, California",427600,49028
6037224700,"Census Tract 2247, Los Angeles County, California",-,**
6037226000,"Census Tract 2260, Los Angeles County, California",426800,81520
6037226410,"Census Tract 2264.10, Los Angeles County, California",367200,27534
6037226420,"Census Tract 2264.20, Los Angeles County, California",375000,51126
6037226700,"Census Tract 2267, Los Angeles County, California",370700,61378
6037227010,"Census Tract 2270.10, Los Angeles County, California",406200,138773
6037227020,"Census Tract 2270.20, Los Angeles County, California",421500,84632
6037228100,"Census Tract 2281, Los Angeles County, California",389600,67579
6037228210,"Census Tract 2282.10, Los Angeles County, California",367500,24440
6037228220,"Census Tract 2282.20, Los Angeles County, California",432300,80361
6037228310,"Census Tract 2283.10, Los Angeles County, California",363200,25835
6037228320,"Census Tract 2283.20, Los Angeles County, California",381000,62435
6037228410,"Census Tract 2284.10, Los Angeles County, California",394500,83518
6037228420,"Census Tract 2284.20, Los Angeles County, California",336000,25359
6037228500,"Census Tract 2285, Los Angeles County, California",401300,51823
6037228600,"Census Tract 2286, Los Angeles County, California",385000,53078
6037228710,"Census Tract 2287.10, Los Angeles County, California",243300,166151
6037228720,"Census Tract 2287.20, Los Angeles County, California",296800,228747
6037228800,"Census Tract 2288, Los Angeles County, California",379800,82084
6037228900,"Census Tract 2289, Los Angeles County, California",412900,116779
6037229100,"Census Tract 2291, Los Angeles County, California",374900,33899
6037229200,"Census Tract 2292, Los Angeles County, California",348300,47308
6037229300,"Census Tract 2293, Los Angeles County, California",455400,30681
6037229410,"Census Tract 2294.10, Los Angeles County, California",326200,48186
6037229420,"Census Tract 2294.20, Los Angeles County, California",386200,55292
6037231100,"Census Tract 2311, Los Angeles County, California","1,000,000+",***
6037231210,"Census Tract 2312.10, Los Angeles County, California",372600,100375
6037231220,"Census Tract 2312.20, Los Angeles County, California",292300,94282
6037231300,"Census Tract 2313, Los Angeles County, California",367600,36328
6037231400,"Census Tract 2314, Los Angeles County, California",424000,56155
6037231500,"Census Tract 2315, Los Angeles County, California",389900,44373
6037231600,"Census Tract 2316, Los Angeles County, California",480400,43821
6037231710,"Census Tract 2317.10, Los Angeles County, California",354800,64741
6037231720,"Census Tract 2317.20, Los Angeles County, California",403100,184212
6037231800,"Census Tract 2318, Los Angeles County, California",458900,32318
6037231900,"Census Tract 2319, Los Angeles County, California",368800,37987
6037232110,"Census Tract 2321.10, Los Angeles County, California",380300,86894
6037232120,"Census Tract 2321.20, Los Angeles County, California",436400,359693
6037232200,"Census Tract 2322, Los Angeles County, California",407600,43559
6037232300,"Census Tract 2323, Los Angeles County, California",353100,53139
6037232400,"Census Tract 2324, Los Angeles County, California",399800,28525
6037232500,"Census Tract 2325, Los Angeles County, California",403200,40861
6037232600,"Census Tract 2326, Los Angeles County, California",383800,67132
6037232700,"Census Tract 2327, Los Angeles County, California",360700,34657
6037232800,"Census Tract 2328, Los Angeles County, California",367500,33124
6037234000,"Census Tract 2340, Los Angeles County, California",472100,25446
6037234200,"Census Tract 2342, Los Angeles County, California",526300,66990
6037234300,"Census Tract 2343, Los Angeles County, California",479800,55034
6037234500,"Census Tract 2345, Los Angeles County, California",416100,34756
6037234600,"Census Tract 2346, Los Angeles County, California",409600,39967
6037234700,"Census Tract 2347, Los Angeles County, California",384400,46961
6037234800,"Census Tract 2348, Los Angeles County, California",367900,34848
6037234900,"Census Tract 2349, Los Angeles County, California",377100,162297
6037235100,"Census Tract 2351, Los Angeles County, California",537300,43865
6037235201,"Census Tract 2352.01, Los Angeles County, California",437500,37624
6037235202,"Census Tract 2352.02, Los Angeles County, California",425600,35258
6037236000,"Census Tract 2360, Los Angeles County, California",536000,50006
6037236100,"Census Tract 2361, Los Angeles County, California",488600,94409
6037236201,"Census Tract 2362.01, Los Angeles County, California",370700,300033
6037236202,"Census Tract 2362.02, Los Angeles County, California",-,**
6037236400,"Census Tract 2364, Los Angeles County, California",655800,56606
6037237100,"Census Tract 2371, Los Angeles County, California",379300,34255
6037237200,"Census Tract 2372, Los Angeles County, California",382200,35882
6037237300,"Census Tract 2373, Los Angeles County, California",403400,33989
6037237400,"Census Tract 2374, Los Angeles County, California",324300,25539
6037237500,"Census Tract 2375, Los Angeles County, California",324100,72854
6037237600,"Census Tract 2376, Los Angeles County, California",378500,44691
6037237710,"Census Tract 2377.10, Los Angeles County, California",398900,80833
6037237720,"Census Tract 2377.20, Los Angeles County, California",353300,103950
6037237800,"Census Tract 2378, Los Angeles County, California",388400,34195
6037237900,"Census Tract 2379, Los Angeles County, California",415000,30469
6037238000,"Census Tract 2380, Los Angeles County, California",363800,47062
6037238100,"Census Tract 2381, Los Angeles County, California",419900,32572
6037238200,"Census Tract 2382, Los Angeles County, California",417000,78569
6037238310,"Census Tract 2383.10, Los Angeles County, California",419400,76589
6037238320,"Census Tract 2383.20, Los Angeles County, California",382100,68599
6037238400,"Census Tract 2384, Los Angeles County, California",393100,31536
6037239200,"Census Tract 2392, Los Angeles County, California",402400,39117
6037239310,"Census Tract 2393.10, Los Angeles County, California",341100,43423
6037239320,"Census Tract 2393.20, Los Angeles County, California",333600,32006
6037239330,"Census Tract 2393.30, Los Angeles County, California",361400,78213
6037239500,"Census Tract 2395, Los Angeles County, California",325700,51220
6037239600,"Census Tract 2396, Los Angeles County, California",344600,30985
6037239700,"Census Tract 2397, Los Angeles County, California",355600,37830
6037239800,"Census Tract 2398, Los Angeles County, California",336700,26179
6037240010,"Census Tract 2400.10, Los Angeles County, California",243200,150159
6037240020,"Census Tract 2400.20, Los Angeles County, California",323200,53798
6037240200,"Census Tract 2402, Los Angeles County, California",398600,39376
6037240300,"Census Tract 2403, Los Angeles County, California",353100,16018
6037240400,"Census Tract 2404, Los Angeles County, California",339900,29382
6037240500,"Census Tract 2405, Los Angeles County, California",345300,27526
6037240600,"Census Tract 2406, Los Angeles County, California",414400,29916
6037240700,"Census Tract 2407, Los Angeles County, California",336900,24190
6037240800,"Census Tract 2408, Los Angeles County, California",340900,33815
6037240900,"Census Tract 2409, Los Angeles County, California",323900,39936
6037241000,"Census Tract 2410, Los Angeles County, California",390600,37106
6037241110,"Census Tract 2411.10, Los Angeles County, California",371100,41613
6037241120,"Census Tract 2411.20, Los Angeles County, California",326600,72745
6037241200,"Census Tract 2412, Los Angeles County, California",350500,26234
6037241300,"Census Tract 2413, Los Angeles County, California",399000,72811
6037241400,"Census Tract 2414, Los Angeles County, California",323200,92491
6037242000,"Census Tract 2420, Los Angeles County, California",338500,56437
6037242100,"Census Tract 2421, Los Angeles County, California",-,**
6037242200,"Census Tract 2422, Los Angeles County, California",340000,41414
6037242300,"Census Tract 2423, Los Angeles County, California",354400,42598
6037242600,"Census Tract 2426, Los Angeles County, California",326300,54044
6037242700,"Census Tract 2427, Los Angeles County, California",294900,75917
6037243000,"Census Tract 2430, Los Angeles County, California",355100,51512
6037243100,"Census Tract 2431, Los Angeles County, California",297000,58135
6037261101,"Census Tract 2611.01, Los Angeles County, California","1,000,000+",***
6037261102,"Census Tract 2611.02, Los Angeles County, California","1,000,000+",***
6037261200,"Census Tract 2612, Los Angeles County, California","1,000,000+",***
6037262100,"Census Tract 2621, Los Angeles County, California","1,000,000+",***
6037262200,"Census Tract 2622, Los Angeles County, California","1,000,000+",***
6037262301,"Census Tract 2623.01, Los Angeles County, California","1,000,000+",***
6037262302,"Census Tract 2623.02, Los Angeles County, California","1,000,000+",***
6037262303,"Census Tract 2623.03, Los Angeles County, California","1,000,000+",***
6037262400,"Census Tract 2624, Los Angeles County, California","1,000,000+",***
6037262500,"Census Tract 2625, Los Angeles County, California","1,000,000+",***
6037262601,"Census Tract 2626.01, Los Angeles County, California","1,000,000+",***
6037262602,"Census Tract 2626.02, Los Angeles County, California","1,000,000+",***
6037262701,"Census Tract 2627.01, Los Angeles County, California","1,000,000+",***
6037262702,"Census Tract 2627.02, Los Angeles County, California","1,000,000+",***
6037262800,"Census Tract 2628, Los Angeles County, California","1,000,000+",***
6037264000,"Census Tract 2640, Los Angeles County, California","1,000,000+",***
6037264101,"Census Tract 2641.01, Los Angeles County, California",639600,41274
6037264301,"Census Tract 2643.01, Los Angeles County, California",741300,128003
6037264302,"Census Tract 2643.02, Los Angeles County, California",988900,64635
6037265100,"Census Tract 2651, Los Angeles County, California","1,000,000+",***
6037265200,"Census Tract 2652, Los Angeles County, California",776300,376266
6037265301,"Census Tract 2653.01, Los Angeles County, California",422900,44883
6037265303,"Census Tract 2653.03, Los Angeles County, California",372400,66591
6037265304,"Census Tract 2653.04, Los Angeles County, California","1,000,000+",***
6037265305,"Census Tract 2653.05, Los Angeles County, California",469400,259650
6037265410,"Census Tract 2654.10, Los Angeles County, California","1,000,000+",***
6037265420,"Census Tract 2654.20, Los Angeles County, California","1,000,000+",***
6037265510,"Census Tract 2655.10, Los Angeles County, California",622400,91516
6037265520,"Census Tract 2655.20, Los Angeles County, California",724700,82084
6037265600,"Census Tract 2656, Los Angeles County, California",910400,53922
6037265700,"Census Tract 2657, Los Angeles County, California","1,000,000+",***
6037267100,"Census Tract 2671, Los Angeles County, California",837100,71820
6037267200,"Census Tract 2672, Los Angeles County, California",680700,43248
6037267300,"Census Tract 2673, Los Angeles County, California",571600,61032
6037267401,"Census Tract 2674.01, Los Angeles County, California",692200,95919
6037267402,"Census Tract 2674.02, Los Angeles County, California",606500,123907
6037267501,"Census Tract 2675.01, Los Angeles County, California",638900,87734
6037267502,"Census Tract 2675.02, Los Angeles County, California",698000,86894
6037267600,"Census Tract 2676, Los Angeles County, California",711700,65057
6037267700,"Census Tract 2677, Los Angeles County, California",653700,98844
6037267800,"Census Tract 2678, Los Angeles County, California","1,000,000+",***
6037267900,"Census Tract 2679, Los Angeles County, California",839900,55486
6037269000,"Census Tract 2690, Los Angeles County, California","1,000,000+",***
6037269100,"Census Tract 2691, Los Angeles County, California",911600,91939
6037269300,"Census Tract 2693, Los Angeles County, California","1,000,000+",***
6037269500,"Census Tract 2695, Los Angeles County, California","1,000,000+",***
6037269600,"Census Tract 2696, Los Angeles County, California",648300,54973
6037269700,"Census Tract 2697, Los Angeles County, California",663100,48260
