Id2,Geography,All families - Total; Estimate; Families,All families - Total; Margin of Error; Families,All families - Percent  below poverty level; Estimate; Families,All families - Percent  below poverty level; Margin of Error; Families
6037269300,"Census Tract 2693, Los Angeles County, California",1114,116,0,3.5
6037269500,"Census Tract 2695, Los Angeles County, California",1012,104,0,3.9
6037269600,"Census Tract 2696, Los Angeles County, California",1342,198,13,8.1
6037269700,"Census Tract 2697, Los Angeles County, California",950,125,14.2,8.7
6037269800,"Census Tract 2698, Los Angeles County, California",590,112,4.6,4.9
6037269901,"Census Tract 2699.01, Los Angeles County, California",1534,236,7,5.2
6037269902,"Census Tract 2699.02, Los Angeles County, California",1167,218,6.2,5.6
6037270100,"Census Tract 2701, Los Angeles County, California",668,149,5.8,5.1
6037270200,"Census Tract 2702, Los Angeles County, California",617,93,8.4,7.9
6037270300,"Census Tract 2703, Los Angeles County, California",750,126,9.1,7
6037271100,"Census Tract 2711, Los Angeles County, California",704,113,6,5.6
6037271200,"Census Tract 2712, Los Angeles County, California",768,119,20.1,8.7
6037271300,"Census Tract 2713, Los Angeles County, California",717,103,0,5.4
6037271400,"Census Tract 2714, Los Angeles County, California",971,89,0.8,1.5
6037271500,"Census Tract 2715, Los Angeles County, California",766,72,2.6,3
6037271600,"Census Tract 2716, Los Angeles County, California",697,102,3.7,5.1
6037271701,"Census Tract 2717.01, Los Angeles County, California",1012,162,0.8,1.3
6037271702,"Census Tract 2717.02, Los Angeles County, California",1363,171,8.7,6.4
6037271801,"Census Tract 2718.01, Los Angeles County, California",1101,152,9.3,5.9
6037271802,"Census Tract 2718.02, Los Angeles County, California",1252,177,6.7,6.5
6037271900,"Census Tract 2719, Los Angeles County, California",1400,154,3.3,3.3
6037272100,"Census Tract 2721, Los Angeles County, California",1079,122,6.4,5.5
6037272200,"Census Tract 2722, Los Angeles County, California",963,145,9.4,7
6037272301,"Census Tract 2723.01, Los Angeles County, California",718,115,12.8,7.7
6037272302,"Census Tract 2723.02, Los Angeles County, California",768,102,17.8,11.1
6037273100,"Census Tract 2731, Los Angeles County, California",541,92,1.1,2
6037273200,"Census Tract 2732, Los Angeles County, California",573,117,28.3,13.4
6037273300,"Census Tract 2733, Los Angeles County, California",742,147,22.9,9.6
6037273400,"Census Tract 2734, Los Angeles County, California",378,150,0,10
6037273500,"Census Tract 2735, Los Angeles County, California",319,111,11,12.3
6037273600,"Census Tract 2736, Los Angeles County, California",446,98,11.4,6.5
6037273700,"Census Tract 2737, Los Angeles County, California",506,96,6.1,6.8
6037273800,"Census Tract 2738, Los Angeles County, California",549,110,6.9,5.9
6037273900,"Census Tract 2739, Los Angeles County, California",761,157,4.7,7.7
6037274100,"Census Tract 2741, Los Angeles County, California",949,149,1.3,1.6
6037274200,"Census Tract 2742, Los Angeles County, California",978,220,4.1,6.4
6037275100,"Census Tract 2751, Los Angeles County, California",1246,122,17.5,7.9
6037275200,"Census Tract 2752, Los Angeles County, California",654,118,8.6,6.3
6037275302,"Census Tract 2753.02, Los Angeles County, California",1332,169,0,3
6037275311,"Census Tract 2753.11, Los Angeles County, California",989,169,0,4
6037275400,"Census Tract 2754, Los Angeles County, California",525,67,3.8,4.2
6037275510,"Census Tract 2755.10, Los Angeles County, California",589,102,1.5,2.3
6037275520,"Census Tract 2755.20, Los Angeles County, California",536,72,34.5,13.3
6037275601,"Census Tract 2756.01, Los Angeles County, California",2061,243,8.6,5.1
6037276000,"Census Tract 2760, Los Angeles County, California",1559,154,3.8,4.6
6037276100,"Census Tract 2761, Los Angeles County, California",1128,157,10.5,8.1
6037276400,"Census Tract 2764, Los Angeles County, California",1063,88,2,2.2
6037276500,"Census Tract 2765, Los Angeles County, California",380,72,0,10
6037276601,"Census Tract 2766.01, Los Angeles County, California",811,107,0,4.8
6037276602,"Census Tract 2766.02, Los Angeles County, California",1582,192,6.1,4.4
6037277000,"Census Tract 2770, Los Angeles County, California",1445,127,1.8,2.2
6037277100,"Census Tract 2771, Los Angeles County, California",870,71,6.2,4.7
6037277200,"Census Tract 2772, Los Angeles County, California",737,135,12.1,8.4
6037277400,"Census Tract 2774, Los Angeles County, California",531,117,6.4,7.7
6037278000,"Census Tract 2780, Los Angeles County, California",616,82,9.4,7.2
6037278100,"Census Tract 2781, Los Angeles County, California",751,119,1.5,2.7
6037291110,"Census Tract 2911.10, Los Angeles County, California",895,123,18.8,9
6037291120,"Census Tract 2911.20, Los Angeles County, California",511,79,38.2,18.5
6037291130,"Census Tract 2911.30, Los Angeles County, California",762,91,5,4.1
6037291210,"Census Tract 2912.10, Los Angeles County, California",1065,123,6.2,5.3
6037291220,"Census Tract 2912.20, Los Angeles County, California",704,91,24.1,10.5
6037291300,"Census Tract 2913, Los Angeles County, California",646,97,7.9,7.7
6037292000,"Census Tract 2920, Los Angeles County, California",1497,138,18.7,7.5
6037293201,"Census Tract 2932.01, Los Angeles County, California",1488,157,11,8.1
6037293202,"Census Tract 2932.02, Los Angeles County, California",1307,163,32.6,8.7
6037293301,"Census Tract 2933.01, Los Angeles County, California",776,88,0,5
6037293302,"Census Tract 2933.02, Los Angeles County, California",1118,101,5.5,5
6037293304,"Census Tract 2933.04, Los Angeles County, California",981,117,15.3,7.6
6037293305,"Census Tract 2933.05, Los Angeles County, California",1212,115,6.4,5.1
6037294110,"Census Tract 2941.10, Los Angeles County, California",994,74,22,9.1
6037294120,"Census Tract 2941.20, Los Angeles County, California",524,62,26.1,13.7
6037294200,"Census Tract 2942, Los Angeles County, California",981,104,7,4.7
6037294300,"Census Tract 2943, Los Angeles County, California",1531,123,21.2,7.1
6037294410,"Census Tract 2944.10, Los Angeles County, California",1027,107,19.5,9.7
6037294420,"Census Tract 2944.20, Los Angeles County, California",901,106,23.9,10.9
6037294510,"Census Tract 2945.10, Los Angeles County, California",958,94,10.5,6.6
6037294520,"Census Tract 2945.20, Los Angeles County, California",720,90,27.6,11
6037294610,"Census Tract 2946.10, Los Angeles County, California",928,105,19.9,9.1
6037294620,"Census Tract 2946.20, Los Angeles County, California",920,89,21.5,10.4
6037294700,"Census Tract 2947, Los Angeles County, California",596,123,28.7,12.3
6037294810,"Census Tract 2948.10, Los Angeles County, California",850,82,31.9,10.2
6037294820,"Census Tract 2948.20, Los Angeles County, California",739,88,24.2,11.3
6037294830,"Census Tract 2948.30, Los Angeles County, California",770,92,31.7,11.2
6037294900,"Census Tract 2949, Los Angeles County, California",422,70,21.8,10.9
6037295101,"Census Tract 2951.01, Los Angeles County, California",1371,169,7.7,7.5
6037296100,"Census Tract 2961, Los Angeles County, California",0,132,-,**
6037296210,"Census Tract 2962.10, Los Angeles County, California",674,84,39.2,13.4
6037296220,"Census Tract 2962.20, Los Angeles County, California",643,98,33.4,13.5
6037296300,"Census Tract 2963, Los Angeles County, California",1230,139,4.6,3.7
6037296400,"Census Tract 2964, Los Angeles County, California",1688,143,1.9,2.7
6037296500,"Census Tract 2965, Los Angeles County, California",946,127,23.5,10
6037296600,"Census Tract 2966, Los Angeles County, California",1266,145,19.2,7.8
6037296900,"Census Tract 2969, Los Angeles County, California",1836,269,13.6,4.9
6037297000,"Census Tract 2970, Los Angeles County, California",1358,183,2.3,2.8
6037297110,"Census Tract 2971.10, Los Angeles County, California",974,143,34.7,9.3
6037297120,"Census Tract 2971.20, Los Angeles County, California",682,108,14.5,6.2
6037297200,"Census Tract 2972, Los Angeles County, California",1904,246,11.7,5.7
6037297300,"Census Tract 2973, Los Angeles County, California",837,99,2.2,2.5
6037297400,"Census Tract 2974, Los Angeles County, California",998,94,0.9,1.5
6037297500,"Census Tract 2975, Los Angeles County, California",930,100,1,1.6
6037297600,"Census Tract 2976, Los Angeles County, California",1507,215,1.7,2.1
6037300100,"Census Tract 3001, Los Angeles County, California",1688,97,2.7,2.1
6037300200,"Census Tract 3002, Los Angeles County, California",1536,130,4.2,3.2
6037300300,"Census Tract 3003, Los Angeles County, California",1750,122,1.8,2
6037300400,"Census Tract 3004, Los Angeles County, California",1489,119,3.5,3.3
6037300501,"Census Tract 3005.01, Los Angeles County, California",999,100,7.6,5.3
6037300502,"Census Tract 3005.02, Los Angeles County, California",1424,198,7.2,5.4
6037300600,"Census Tract 3006, Los Angeles County, California",1981,178,8.6,5.2
6037300701,"Census Tract 3007.01, Los Angeles County, California",1550,138,0,2.5
6037300702,"Census Tract 3007.02, Los Angeles County, California",1591,139,2.4,2.9
6037300800,"Census Tract 3008, Los Angeles County, California",1746,165,4.2,3.2
6037300901,"Census Tract 3009.01, Los Angeles County, California",1955,106,7,5.6
6037300902,"Census Tract 3009.02, Los Angeles County, California",549,59,2.2,3.1
6037301000,"Census Tract 3010, Los Angeles County, California",1184,139,7.4,5
6037301100,"Census Tract 3011, Los Angeles County, California",1753,176,7,6.7
6037301202,"Census Tract 3012.02, Los Angeles County, California",1842,208,13.8,6.7
6037301203,"Census Tract 3012.03, Los Angeles County, California",1047,130,4.8,3.5
6037301204,"Census Tract 3012.04, Los Angeles County, California",1391,181,10.7,6.5
6037301300,"Census Tract 3013, Los Angeles County, California",549,68,1.8,2.6
6037301400,"Census Tract 3014, Los Angeles County, California",1063,77,7.3,5.7
6037301501,"Census Tract 3015.01, Los Angeles County, California",453,65,6.6,6.7
6037301502,"Census Tract 3015.02, Los Angeles County, California",1844,153,10.2,6
6037301601,"Census Tract 3016.01, Los Angeles County, California",1616,173,10.6,5.7
6037301602,"Census Tract 3016.02, Los Angeles County, California",923,132,9.4,6.4
6037301701,"Census Tract 3017.01, Los Angeles County, California",722,121,1.2,2
6037301702,"Census Tract 3017.02, Los Angeles County, California",1469,146,12.4,6.8
6037301800,"Census Tract 3018, Los Angeles County, California",2050,228,10.7,5
6037301900,"Census Tract 3019, Los Angeles County, California",1955,212,8.4,5.8
6037302001,"Census Tract 3020.01, Los Angeles County, California",1679,183,10.2,6.5
6037302002,"Census Tract 3020.02, Los Angeles County, California",803,123,15.3,10.3
6037302102,"Census Tract 3021.02, Los Angeles County, California",1790,171,17.4,7
6037302103,"Census Tract 3021.03, Los Angeles County, California",1483,182,20.4,8.6
6037302104,"Census Tract 3021.04, Los Angeles County, California",1037,103,15.6,7.3
6037302201,"Census Tract 3022.01, Los Angeles County, California",674,106,16.2,9.3
6037302202,"Census Tract 3022.02, Los Angeles County, California",1178,137,12.9,5.8
6037302301,"Census Tract 3023.01, Los Angeles County, California",942,109,9.6,6.2
6037302302,"Census Tract 3023.02, Los Angeles County, California",1284,135,18.5,7.9
6037302400,"Census Tract 3024, Los Angeles County, California",1256,196,20.5,9.8
6037302501,"Census Tract 3025.01, Los Angeles County, California",2185,187,25,7.1
6037302502,"Census Tract 3025.02, Los Angeles County, California",1700,161,23.3,7.9
6037310100,"Census Tract 3101, Los Angeles County, California",1556,145,3.7,4.3
6037310200,"Census Tract 3102, Los Angeles County, California",2406,197,5.2,3.2
6037310300,"Census Tract 3103, Los Angeles County, California",820,73,1,1.6
6037310400,"Census Tract 3104, Los Angeles County, California",866,89,3.3,3.3
6037310500,"Census Tract 3105, Los Angeles County, California",750,91,10.7,8.3
6037310600,"Census Tract 3106, Los Angeles County, California",2286,184,10.5,5.2
6037310701,"Census Tract 3107.01, Los Angeles County, California",488,88,3.9,4.5
6037310702,"Census Tract 3107.02, Los Angeles County, California",1450,219,12.9,8.7
6037310703,"Census Tract 3107.03, Los Angeles County, California",1245,168,16.3,8.2
6037310800,"Census Tract 3108, Los Angeles County, California",1212,134,6.7,5.9
6037310900,"Census Tract 3109, Los Angeles County, California",1676,165,4.4,4.3
6037311000,"Census Tract 3110, Los Angeles County, California",937,95,3,3.7
6037311100,"Census Tract 3111, Los Angeles County, California",927,88,5.2,3.9
6037311200,"Census Tract 3112, Los Angeles County, California",666,87,2.7,4.1
6037311300,"Census Tract 3113, Los Angeles County, California",908,127,6.4,4.7
6037311400,"Census Tract 3114, Los Angeles County, California",577,83,7.6,5.2
6037311500,"Census Tract 3115, Los Angeles County, California",1351,188,8.4,6.6
6037311600,"Census Tract 3116, Los Angeles County, California",1224,194,4.1,3.4
6037311700,"Census Tract 3117, Los Angeles County, California",1362,199,3.1,2.6
6037311800,"Census Tract 3118, Los Angeles County, California",1589,195,7.9,5.5
6037320000,"Census Tract 3200, Los Angeles County, California",0,132,-,**
6037320100,"Census Tract 3201, Los Angeles County, California",1247,117,9,5.9
6037320200,"Census Tract 3202, Los Angeles County, California",2138,152,16.6,6.2
6037320300,"Census Tract 3203, Los Angeles County, California",1450,134,13.7,6.2
6037400203,"Census Tract 4002.03, Los Angeles County, California",1465,81,1,1.1
6037400204,"Census Tract 4002.04, Los Angeles County, California",2043,163,4.5,4.9
6037400205,"Census Tract 4002.05, Los Angeles County, California",777,97,4.1,3.7
6037400206,"Census Tract 4002.06, Los Angeles County, California",1594,101,1.2,1.4
6037400302,"Census Tract 4003.02, Los Angeles County, California",834,86,1.4,2.5
6037400303,"Census Tract 4003.03, Los Angeles County, California",1031,98,5.8,6.2
6037400304,"Census Tract 4003.04, Los Angeles County, California",1752,158,5.9,4.2
6037400401,"Census Tract 4004.01, Los Angeles County, California",1258,70,0,3.1
6037400402,"Census Tract 4004.02, Los Angeles County, California",1028,96,3.6,3.2
6037400500,"Census Tract 4005, Los Angeles County, California",602,61,2,3.2
6037400602,"Census Tract 4006.02, Los Angeles County, California",928,110,14.5,7.8
6037400603,"Census Tract 4006.03, Los Angeles County, California",1345,122,6.1,4.4
6037400604,"Census Tract 4006.04, Los Angeles County, California",641,99,7.8,7.9
6037400800,"Census Tract 4008, Los Angeles County, California",498,82,0,7.7
6037400900,"Census Tract 4009, Los Angeles County, California",962,88,1.1,1.9
6037401001,"Census Tract 4010.01, Los Angeles County, California",908,68,0,4.3
6037401002,"Census Tract 4010.02, Los Angeles County, California",944,93,5,5.4
6037401101,"Census Tract 4011.01, Los Angeles County, California",1235,125,2.3,2.5
6037401102,"Census Tract 4011.02, Los Angeles County, California",732,82,0,5.3
6037401201,"Census Tract 4012.01, Los Angeles County, California",834,71,0,4.7
6037401202,"Census Tract 4012.02, Los Angeles County, California",1083,84,1.3,1.9
6037401203,"Census Tract 4012.03, Los Angeles County, California",1242,95,3.2,3.5
6037401302,"Census Tract 4013.02, Los Angeles County, California",2305,212,3.6,2.5
6037401311,"Census Tract 4013.11, Los Angeles County, California",1898,149,1.6,1.8
6037401312,"Census Tract 4013.12, Los Angeles County, California",1270,109,2.1,2.3
6037401500,"Census Tract 4015, Los Angeles County, California",1143,113,7.8,6
6037401601,"Census Tract 4016.01, Los Angeles County, California",1405,167,1.1,1.8
6037401602,"Census Tract 4016.02, Los Angeles County, California",1455,127,11.8,6.9
6037401603,"Census Tract 4016.03, Los Angeles County, California",800,91,6.1,4.7
6037401701,"Census Tract 4017.01, Los Angeles County, California",1043,100,6.3,4.1
6037401703,"Census Tract 4017.03, Los Angeles County, California",842,121,16.2,9.8
6037401704,"Census Tract 4017.04, Los Angeles County, California",1132,125,11.5,7.1
6037401800,"Census Tract 4018, Los Angeles County, California",1847,180,2.9,2.7
6037401901,"Census Tract 4019.01, Los Angeles County, California",60,35,0,42.5
6037401902,"Census Tract 4019.02, Los Angeles County, California",1414,155,1.8,2
6037402000,"Census Tract 4020, Los Angeles County, California",1559,146,9.7,5.3
6037402101,"Census Tract 4021.01, Los Angeles County, California",891,100,4.4,3.2
6037402102,"Census Tract 4021.02, Los Angeles County, California",1051,113,6.4,5.9
6037402200,"Census Tract 4022, Los Angeles County, California",1653,135,9.1,5.9
6037402301,"Census Tract 4023.01, Los Angeles County, California",1202,82,15.7,8.9
6037402302,"Census Tract 4023.02, Los Angeles County, California",1724,171,31.1,8.5
6037402401,"Census Tract 4024.01, Los Angeles County, California",1403,115,6.7,4.1
6037402402,"Census Tract 4024.02, Los Angeles County, California",1369,183,4.7,3.5
6037402403,"Census Tract 4024.03, Los Angeles County, California",773,100,10.5,7.3
6037402404,"Census Tract 4024.04, Los Angeles County, California",9,13,0,100
6037402501,"Census Tract 4025.01, Los Angeles County, California",929,108,22.5,8.5
6037402502,"Census Tract 4025.02, Los Angeles County, California",1453,110,24.5,7.4
6037402600,"Census Tract 4026, Los Angeles County, California",1644,185,9.7,6.2
6037402702,"Census Tract 4027.02, Los Angeles County, California",1373,103,32.5,7.9
6037402703,"Census Tract 4027.03, Los Angeles County, California",983,84,16.4,8.5
6037402704,"Census Tract 4027.04, Los Angeles County, California",1599,98,4.8,3.7
6037402801,"Census Tract 4028.01, Los Angeles County, California",979,98,11.1,6.7
6037402802,"Census Tract 4028.02, Los Angeles County, California",1384,164,14.5,6.1
6037402901,"Census Tract 4029.01, Los Angeles County, California",1561,93,4.7,4
6037402902,"Census Tract 4029.02, Los Angeles County, California",1131,107,20.4,9.8
6037403000,"Census Tract 4030, Los Angeles County, California",1400,83,6.1,3.8
6037403200,"Census Tract 4032, Los Angeles County, California",0,132,-,**
6037403303,"Census Tract 4033.03, Los Angeles County, California",645,88,3.7,4.1
6037403304,"Census Tract 4033.04, Los Angeles County, California",1383,100,0,2.8
6037403305,"Census Tract 4033.05, Los Angeles County, California",635,59,7.7,8.3
6037403312,"Census Tract 4033.12, Los Angeles County, California",1286,93,2.5,2.1
6037403316,"Census Tract 4033.16, Los Angeles County, California",1922,159,0.9,1.4
6037403317,"Census Tract 4033.17, Los Angeles County, California",1216,97,1,1.7
6037403318,"Census Tract 4033.18, Los Angeles County, California",1767,98,2.3,1.9
6037403319,"Census Tract 4033.19, Los Angeles County, California",1248,129,3.4,2.9
6037403320,"Census Tract 4033.20, Los Angeles County, California",1471,97,3.7,2.7
6037403321,"Census Tract 4033.21, Los Angeles County, California",1580,111,1.8,2
6037403322,"Census Tract 4033.22, Los Angeles County, California",987,88,8.5,6
6037403323,"Census Tract 4033.23, Los Angeles County, California",1425,86,0,2.8
6037403324,"Census Tract 4033.24, Los Angeles County, California",1969,172,2.1,2
6037403325,"Census Tract 4033.25, Los Angeles County, California",1231,93,0.9,1.2
6037403401,"Census Tract 4034.01, Los Angeles County, California",1191,88,3.7,3.3
6037403402,"Census Tract 4034.02, Los Angeles County, California",946,55,6.1,4
6037403403,"Census Tract 4034.03, Los Angeles County, California",1519,65,3.1,2.5
6037403404,"Census Tract 4034.04, Los Angeles County, California",678,53,1.9,2.9
6037403405,"Census Tract 4034.05, Los Angeles County, California",441,36,6.8,9.2
6037403406,"Census Tract 4034.06, Los Angeles County, California",749,90,6.4,4.9
6037403407,"Census Tract 4034.07, Los Angeles County, California",504,47,0,7.6
6037403408,"Census Tract 4034.08, Los Angeles County, California",1676,106,2.9,2.5
6037403500,"Census Tract 4035, Los Angeles County, California",256,61,0,14.4
6037403600,"Census Tract 4036, Los Angeles County, California",1597,130,3.1,3.7
6037403702,"Census Tract 4037.02, Los Angeles County, California",868,84,9,6.4
6037403703,"Census Tract 4037.03, Los Angeles County, California",1146,101,0.9,1.4
6037403721,"Census Tract 4037.21, Los Angeles County, California",1170,95,5.9,3.6
6037403722,"Census Tract 4037.22, Los Angeles County, California",1247,144,14.1,7.5
6037403801,"Census Tract 4038.01, Los Angeles County, California",1456,125,5.2,3.2
6037403802,"Census Tract 4038.02, Los Angeles County, California",1465,112,6.6,5.3
6037403901,"Census Tract 4039.01, Los Angeles County, California",772,53,4,4
6037403902,"Census Tract 4039.02, Los Angeles County, California",979,133,3.2,2.8
6037404000,"Census Tract 4040, Los Angeles County, California",1016,96,4.5,4
6037404100,"Census Tract 4041, Los Angeles County, California",1198,97,7.7,5
6037404200,"Census Tract 4042, Los Angeles County, California",1522,116,13.3,6.3
6037404301,"Census Tract 4043.01, Los Angeles County, California",1111,124,14.3,8.4
6037404302,"Census Tract 4043.02, Los Angeles County, California",449,83,1.8,2.9
6037404401,"Census Tract 4044.01, Los Angeles County, California",899,80,5.8,5.6
6037404402,"Census Tract 4044.02, Los Angeles County, California",1007,89,5.7,3.4
6037404501,"Census Tract 4045.01, Los Angeles County, California",447,140,15,9.3
6037404502,"Census Tract 4045.02, Los Angeles County, California",1640,117,13,5.7
6037404600,"Census Tract 4046, Los Angeles County, California",300,37,5.7,5.5
6037404701,"Census Tract 4047.01, Los Angeles County, California",1123,93,9.2,6.5
6037404702,"Census Tract 4047.02, Los Angeles County, California",1321,97,19.2,7.2
6037404703,"Census Tract 4047.03, Los Angeles County, California",696,66,20.8,11.2
6037404801,"Census Tract 4048.01, Los Angeles County, California",1526,107,22.7,10.3
6037404802,"Census Tract 4048.02, Los Angeles County, California",920,84,11.1,7.2
6037404803,"Census Tract 4048.03, Los Angeles County, California",313,58,0,12
6037404901,"Census Tract 4049.01, Los Angeles County, California",1149,90,13,5.9
6037404902,"Census Tract 4049.02, Los Angeles County, California",833,52,3.8,4.7
6037404903,"Census Tract 4049.03, Los Angeles County, California",568,79,17.8,10.2
6037405001,"Census Tract 4050.01, Los Angeles County, California",1230,87,15.3,9.3
6037405002,"Census Tract 4050.02, Los Angeles County, California",544,79,5.1,7.3
6037405101,"Census Tract 4051.01, Los Angeles County, California",1110,90,11.7,6.7
6037405102,"Census Tract 4051.02, Los Angeles County, California",1096,84,16.5,7
6037405201,"Census Tract 4052.01, Los Angeles County, California",1181,67,10.8,5.6
6037405202,"Census Tract 4052.02, Los Angeles County, California",975,113,11.4,6.6
6037405203,"Census Tract 4052.03, Los Angeles County, California",741,69,18.2,10.1
6037405300,"Census Tract 4053, Los Angeles County, California",1839,176,11.7,7
6037405400,"Census Tract 4054, Los Angeles County, California",1067,72,8,5.7
6037405500,"Census Tract 4055, Los Angeles County, California",1592,121,1.6,2.3
6037405600,"Census Tract 4056, Los Angeles County, California",1119,105,7.3,5
6037405700,"Census Tract 4057, Los Angeles County, California",2052,175,8,4.3
6037405800,"Census Tract 4058, Los Angeles County, California",1347,102,3.8,3.1
6037405900,"Census Tract 4059, Los Angeles County, California",949,90,8,6.2
6037406000,"Census Tract 4060, Los Angeles County, California",1070,110,5,4.5
6037406101,"Census Tract 4061.01, Los Angeles County, California",644,101,10.7,7.5
6037406102,"Census Tract 4061.02, Los Angeles County, California",1530,183,5.9,4.5
6037406200,"Census Tract 4062, Los Angeles County, California",1136,127,14.1,7.6
6037406300,"Census Tract 4063, Los Angeles County, California",1281,120,8,6.1
6037406402,"Census Tract 4064.02, Los Angeles County, California",502,53,0,7.7
6037406411,"Census Tract 4064.11, Los Angeles County, California",428,64,5.1,6.7
6037406412,"Census Tract 4064.12, Los Angeles County, California",643,63,1.4,2.6
6037406500,"Census Tract 4065, Los Angeles County, California",1541,177,9.9,6.1
6037406601,"Census Tract 4066.01, Los Angeles County, California",1219,98,8,5
6037406602,"Census Tract 4066.02, Los Angeles County, California",1080,99,4.9,4.4
6037406700,"Census Tract 4067, Los Angeles County, California",2072,150,17.5,6.2
6037406800,"Census Tract 4068, Los Angeles County, California",1061,109,0.8,1.4
6037406900,"Census Tract 4069, Los Angeles County, California",1717,129,6.6,5.3
6037407001,"Census Tract 4070.01, Los Angeles County, California",1106,89,9,5.8
6037407002,"Census Tract 4070.02, Los Angeles County, California",709,46,8.7,6.7
6037407101,"Census Tract 4071.01, Los Angeles County, California",1124,85,8.9,5.8
6037407102,"Census Tract 4071.02, Los Angeles County, California",1175,87,8.6,5.6
6037407200,"Census Tract 4072, Los Angeles County, California",1381,132,11.7,5.3
6037407301,"Census Tract 4073.01, Los Angeles County, California",842,108,3.6,3.3
6037407302,"Census Tract 4073.02, Los Angeles County, California",587,80,4.6,4.5
6037407400,"Census Tract 4074, Los Angeles County, California",463,41,3.2,4.6
6037407500,"Census Tract 4075, Los Angeles County, California",1612,97,6.6,3.8
6037407600,"Census Tract 4076, Los Angeles County, California",1863,121,11.8,6.2
6037407701,"Census Tract 4077.01, Los Angeles County, California",934,102,11.9,6.3
6037407702,"Census Tract 4077.02, Los Angeles County, California",1413,119,7.5,5.3
6037407800,"Census Tract 4078, Los Angeles County, California",1601,101,8.5,5.1
6037407900,"Census Tract 4079, Los Angeles County, California",1281,99,11.3,5.9
6037408001,"Census Tract 4080.01, Los Angeles County, California",2106,153,5.6,4.4
6037408002,"Census Tract 4080.02, Los Angeles County, California",1858,115,1.2,1.4
6037408101,"Census Tract 4081.01, Los Angeles County, California",1940,147,9.1,5.1
6037408102,"Census Tract 4081.02, Los Angeles County, California",1521,132,5.1,4
6037408132,"Census Tract 4081.32, Los Angeles County, California",1732,153,12.2,6.3
6037408133,"Census Tract 4081.33, Los Angeles County, California",1127,128,4,4.1
6037408134,"Census Tract 4081.34, Los Angeles County, California",728,63,2.3,2.4
6037408135,"Census Tract 4081.35, Los Angeles County, California",1003,82,8.4,5.5
6037408202,"Census Tract 4082.02, Los Angeles County, California",347,69,14.4,10
6037408211,"Census Tract 4082.11, Los Angeles County, California",1463,108,12.5,7.3
6037408212,"Census Tract 4082.12, Los Angeles County, California",1092,92,7,5
6037408301,"Census Tract 4083.01, Los Angeles County, California",1049,106,19.4,11.3
6037408302,"Census Tract 4083.02, Los Angeles County, California",943,57,3.6,4.2
6037408303,"Census Tract 4083.03, Los Angeles County, California",872,174,0.9,1.5
6037408401,"Census Tract 4084.01, Los Angeles County, California",810,99,8.9,6.5
6037408402,"Census Tract 4084.02, Los Angeles County, California",1401,122,4.6,4.6
6037408501,"Census Tract 4085.01, Los Angeles County, California",650,65,12.9,7.8
6037408502,"Census Tract 4085.02, Los Angeles County, California",1660,176,1.4,2
6037408503,"Census Tract 4085.03, Los Angeles County, California",1444,124,3.2,2.4
6037408601,"Census Tract 4086.01, Los Angeles County, California",1576,99,7.2,4.6
6037408623,"Census Tract 4086.23, Los Angeles County, California",797,82,11.4,9
6037408624,"Census Tract 4086.24, Los Angeles County, California",830,64,3.7,4
6037408625,"Census Tract 4086.25, Los Angeles County, California",1013,99,3.2,2.8
6037408626,"Census Tract 4086.26, Los Angeles County, California",1227,105,10.8,4.7
6037408627,"Census Tract 4086.27, Los Angeles County, California",802,56,2.6,2.9
6037408628,"Census Tract 4086.28, Los Angeles County, California",1413,91,6.1,3.4
6037408629,"Census Tract 4086.29, Los Angeles County, California",680,103,4.4,4.4
6037408703,"Census Tract 4087.03, Los Angeles County, California",1586,146,5.8,4.2
6037408704,"Census Tract 4087.04, Los Angeles County, California",681,88,13.8,7.4
6037408705,"Census Tract 4087.05, Los Angeles County, California",1326,113,8.5,4.7
6037408706,"Census Tract 4087.06, Los Angeles County, California",395,49,6.1,6.4
6037408721,"Census Tract 4087.21, Los Angeles County, California",1904,124,17.1,7.2
6037408722,"Census Tract 4087.22, Los Angeles County, California",1089,84,5.4,3.6
6037408800,"Census Tract 4088, Los Angeles County, California",762,115,30.7,11.9
6037430001,"Census Tract 4300.01, Los Angeles County, California",1273,108,2.2,2.2
6037430002,"Census Tract 4300.02, Los Angeles County, California",1533,157,8,5.6
6037430101,"Census Tract 4301.01, Los Angeles County, California",963,111,5.6,4.1
6037430102,"Census Tract 4301.02, Los Angeles County, California",1080,96,13.4,7.6
6037430200,"Census Tract 4302, Los Angeles County, California",266,59,3,5
6037430301,"Census Tract 4303.01, Los Angeles County, California",1164,98,0.9,1.6
6037430302,"Census Tract 4303.02, Los Angeles County, California",1431,136,1.7,2.7
6037430400,"Census Tract 4304, Los Angeles County, California",1183,99,1.3,1.9
6037430501,"Census Tract 4305.01, Los Angeles County, California",1008,97,2.3,3.5
6037430502,"Census Tract 4305.02, Los Angeles County, California",1758,148,1.4,1.7
6037430600,"Census Tract 4306, Los Angeles County, California",1193,102,1.9,2.3
6037430701,"Census Tract 4307.01, Los Angeles County, California",1412,116,5.4,3.9
6037430721,"Census Tract 4307.21, Los Angeles County, California",811,86,9.5,5.9
6037430723,"Census Tract 4307.23, Los Angeles County, California",1027,143,13.1,8.8
6037430724,"Census Tract 4307.24, Los Angeles County, California",1069,115,14.8,7.7
