Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
6037267800,"Census Tract 2678, Los Angeles County, California",1173,55,760,120,413,125
6037267900,"Census Tract 2679, Los Angeles County, California",3153,222,2115,228,1038,228
6037269000,"Census Tract 2690, Los Angeles County, California",2076,122,1247,123,829,177
6037269100,"Census Tract 2691, Los Angeles County, California",2193,115,867,157,1326,180
6037269300,"Census Tract 2693, Los Angeles County, California",1728,87,1229,122,499,119
6037269500,"Census Tract 2695, Los Angeles County, California",1414,67,1361,73,53,33
6037269600,"Census Tract 2696, Los Angeles County, California",2147,125,296,98,1851,148
6037269700,"Census Tract 2697, Los Angeles County, California",1693,75,783,99,910,124
6037269800,"Census Tract 2698, Los Angeles County, California",1501,94,299,79,1202,107
6037269901,"Census Tract 2699.01, Los Angeles County, California",4195,164,194,82,4001,171
6037269902,"Census Tract 2699.02, Los Angeles County, California",3780,168,100,69,3680,184
6037270100,"Census Tract 2701, Los Angeles County, California",2512,113,251,108,2261,167
6037270200,"Census Tract 2702, Los Angeles County, California",803,69,311,85,492,99
6037270300,"Census Tract 2703, Los Angeles County, California",1261,80,621,119,640,123
6037271100,"Census Tract 2711, Los Angeles County, California",1581,87,809,109,772,116
6037271200,"Census Tract 2712, Los Angeles County, California",1714,94,625,103,1089,122
6037271300,"Census Tract 2713, Los Angeles County, California",1360,78,623,85,737,90
6037271400,"Census Tract 2714, Los Angeles County, California",1292,69,1240,74,52,44
6037271500,"Census Tract 2715, Los Angeles County, California",1380,53,797,89,583,104
6037271600,"Census Tract 2716, Los Angeles County, California",1224,85,657,83,567,95
6037271701,"Census Tract 2717.01, Los Angeles County, California",2610,134,562,112,2048,163
6037271702,"Census Tract 2717.02, Los Angeles County, California",2053,97,415,93,1638,123
6037271801,"Census Tract 2718.01, Los Angeles County, California",2321,44,370,90,1951,106
6037271802,"Census Tract 2718.02, Los Angeles County, California",2743,80,428,150,2315,183
6037271900,"Census Tract 2719, Los Angeles County, California",2663,93,996,173,1667,176
6037272100,"Census Tract 2721, Los Angeles County, California",1810,86,1135,117,675,127
6037272200,"Census Tract 2722, Los Angeles County, California",2561,131,400,107,2161,161
6037272301,"Census Tract 2723.01, Los Angeles County, California",1378,58,549,85,829,85
6037272302,"Census Tract 2723.02, Los Angeles County, California",1873,82,243,73,1630,103
6037273100,"Census Tract 2731, Los Angeles County, California",891,86,636,92,255,85
6037273200,"Census Tract 2732, Los Angeles County, California",1623,101,443,126,1180,159
6037273300,"Census Tract 2733, Los Angeles County, California",1503,131,269,89,1234,146
6037273400,"Census Tract 2734, Los Angeles County, California",2161,185,374,139,1787,211
6037273500,"Census Tract 2735, Los Angeles County, California",1881,107,332,110,1549,146
6037273600,"Census Tract 2736, Los Angeles County, California",1134,72,663,98,471,91
6037273700,"Census Tract 2737, Los Angeles County, California",1253,78,700,112,553,116
6037273800,"Census Tract 2738, Los Angeles County, California",1575,81,456,99,1119,110
6037273900,"Census Tract 2739, Los Angeles County, California",2430,127,897,173,1533,200
6037274100,"Census Tract 2741, Los Angeles County, California",2115,132,991,132,1124,146
6037274200,"Census Tract 2742, Los Angeles County, California",2461,168,1273,164,1188,220
6037275100,"Census Tract 2751, Los Angeles County, California",1833,77,662,115,1171,125
6037275200,"Census Tract 2752, Los Angeles County, California",1645,81,381,63,1264,105
6037275302,"Census Tract 2753.02, Los Angeles County, California",2483,135,1647,147,836,187
6037275311,"Census Tract 2753.11, Los Angeles County, California",2217,102,1052,121,1165,153
6037275400,"Census Tract 2754, Los Angeles County, California",1110,62,654,77,456,91
6037275510,"Census Tract 2755.10, Los Angeles County, California",981,56,451,117,530,116
6037275520,"Census Tract 2755.20, Los Angeles County, California",648,41,22,19,626,46
6037275601,"Census Tract 2756.01, Los Angeles County, California",4572,159,1451,169,3121,232
6037276000,"Census Tract 2760, Los Angeles County, California",2178,101,1879,121,299,113
6037276100,"Census Tract 2761, Los Angeles County, California",2746,181,625,122,2121,203
6037276400,"Census Tract 2764, Los Angeles County, California",1549,62,1351,98,198,76
6037276500,"Census Tract 2765, Los Angeles County, California",718,86,566,73,152,81
6037276601,"Census Tract 2766.01, Los Angeles County, California",1585,81,1049,104,536,114
6037276602,"Census Tract 2766.02, Los Angeles County, California",4858,216,2415,226,2443,249
6037277000,"Census Tract 2770, Los Angeles County, California",1996,124,1663,147,333,105
6037277100,"Census Tract 2771, Los Angeles County, California",1095,59,967,70,128,67
6037277200,"Census Tract 2772, Los Angeles County, California",1354,110,169,53,1185,121
6037277400,"Census Tract 2774, Los Angeles County, California",800,101,19,16,781,102
6037278000,"Census Tract 2780, Los Angeles County, California",1033,45,509,101,524,109
6037278100,"Census Tract 2781, Los Angeles County, California",1560,73,741,127,819,134
6037291110,"Census Tract 2911.10, Los Angeles County, California",1210,58,445,165,765,175
6037291120,"Census Tract 2911.20, Los Angeles County, California",645,18,253,88,392,92
6037291130,"Census Tract 2911.30, Los Angeles County, California",926,67,793,92,133,66
6037291210,"Census Tract 2912.10, Los Angeles County, California",1400,104,722,105,678,136
6037291220,"Census Tract 2912.20, Los Angeles County, California",1001,60,477,85,524,95
6037291300,"Census Tract 2913, Los Angeles County, California",902,71,711,77,191,73
6037292000,"Census Tract 2920, Los Angeles County, California",1886,86,598,97,1288,128
6037293201,"Census Tract 2932.01, Los Angeles County, California",2128,95,723,143,1405,175
6037293202,"Census Tract 2932.02, Los Angeles County, California",1720,163,302,71,1418,161
6037293301,"Census Tract 2933.01, Los Angeles County, California",1032,26,798,72,234,60
6037293302,"Census Tract 2933.02, Los Angeles County, California",1464,54,1029,93,435,104
6037293304,"Census Tract 2933.04, Los Angeles County, California",1404,66,394,93,1010,117
6037293305,"Census Tract 2933.05, Los Angeles County, California",1702,80,935,122,767,126
6037294110,"Census Tract 2941.10, Los Angeles County, California",1111,43,756,77,355,80
6037294120,"Census Tract 2941.20, Los Angeles County, California",559,55,242,63,317,85
6037294200,"Census Tract 2942, Los Angeles County, California",1256,83,810,109,446,112
6037294300,"Census Tract 2943, Los Angeles County, California",2000,61,1014,121,986,125
6037294410,"Census Tract 2944.10, Los Angeles County, California",1533,72,623,91,910,115
6037294420,"Census Tract 2944.20, Los Angeles County, California",1130,72,321,101,809,109
6037294510,"Census Tract 2945.10, Los Angeles County, California",1039,75,452,99,587,131
6037294520,"Census Tract 2945.20, Los Angeles County, California",901,40,337,80,564,84
6037294610,"Census Tract 2946.10, Los Angeles County, California",1163,61,295,71,868,101
6037294620,"Census Tract 2946.20, Los Angeles County, California",1092,42,483,99,609,100
6037294700,"Census Tract 2947, Los Angeles County, California",849,158,145,69,704,144
6037294810,"Census Tract 2948.10, Los Angeles County, California",1003,48,196,72,807,83
6037294820,"Census Tract 2948.20, Los Angeles County, California",903,42,121,68,782,77
6037294830,"Census Tract 2948.30, Los Angeles County, California",1027,52,216,51,811,78
6037294900,"Census Tract 2949, Los Angeles County, California",449,68,156,62,293,83
6037295101,"Census Tract 2951.01, Los Angeles County, California",2066,145,1742,156,324,140
6037296100,"Census Tract 2961, Los Angeles County, California",76,55,49,35,27,43
6037296210,"Census Tract 2962.10, Los Angeles County, California",909,68,132,59,777,79
6037296220,"Census Tract 2962.20, Los Angeles County, California",1181,90,70,38,1111,96
6037296300,"Census Tract 2963, Los Angeles County, California",1901,93,1290,100,611,107
6037296400,"Census Tract 2964, Los Angeles County, California",2353,96,1968,146,385,126
6037296500,"Census Tract 2965, Los Angeles County, California",1340,61,562,104,778,95
6037296600,"Census Tract 2966, Los Angeles County, California",1856,88,495,105,1361,121
6037296900,"Census Tract 2969, Los Angeles County, California",3169,156,652,177,2517,231
6037297000,"Census Tract 2970, Los Angeles County, California",2299,131,1192,180,1107,197
6037297110,"Census Tract 2971.10, Los Angeles County, California",1474,86,464,176,1010,166
6037297120,"Census Tract 2971.20, Los Angeles County, California",1168,69,288,86,880,109
6037297200,"Census Tract 2972, Los Angeles County, California",3250,141,890,160,2360,218
6037297300,"Census Tract 2973, Los Angeles County, California",1174,59,697,103,477,82
6037297400,"Census Tract 2974, Los Angeles County, California",1588,60,1418,97,170,79
6037297500,"Census Tract 2975, Los Angeles County, California",1394,83,936,107,458,110
6037297600,"Census Tract 2976, Los Angeles County, California",2839,189,984,183,1855,255
6037300100,"Census Tract 3001, Los Angeles County, California",1939,81,1730,114,209,87
6037300200,"Census Tract 3002, Los Angeles County, California",1862,66,1494,109,368,99
6037300300,"Census Tract 3003, Los Angeles County, California",2135,78,1975,87,160,73
6037300400,"Census Tract 3004, Los Angeles County, California",1929,112,1373,157,556,175
6037300501,"Census Tract 3005.01, Los Angeles County, California",1245,73,707,111,538,103
6037300502,"Census Tract 3005.02, Los Angeles County, California",2454,104,679,152,1775,158
6037300600,"Census Tract 3006, Los Angeles County, California",2971,135,1449,211,1522,219
6037300701,"Census Tract 3007.01, Los Angeles County, California",2176,84,1942,112,234,85
6037300702,"Census Tract 3007.02, Los Angeles County, California",2052,118,1935,129,117,71
6037300800,"Census Tract 3008, Los Angeles County, California",2726,140,1606,163,1120,198
6037300901,"Census Tract 3009.01, Los Angeles County, California",2270,75,1974,114,296,109
6037300902,"Census Tract 3009.02, Los Angeles County, California",739,14,708,38,31,33
6037301000,"Census Tract 3010, Los Angeles County, California",1979,112,929,161,1050,153
6037301100,"Census Tract 3011, Los Angeles County, California",2662,140,995,185,1667,210
6037301202,"Census Tract 3012.02, Los Angeles County, California",2704,99,1377,171,1327,187
6037301203,"Census Tract 3012.03, Los Angeles County, California",1848,124,864,113,984,125
6037301204,"Census Tract 3012.04, Los Angeles County, California",2198,82,216,93,1982,113
6037301300,"Census Tract 3013, Los Angeles County, California",735,15,704,32,31,28
6037301400,"Census Tract 3014, Los Angeles County, California",1247,65,1130,86,117,64
6037301501,"Census Tract 3015.01, Los Angeles County, California",585,35,341,72,244,76
6037301502,"Census Tract 3015.02, Los Angeles County, California",2662,52,393,134,2269,153
6037301601,"Census Tract 3016.01, Los Angeles County, California",2349,87,188,88,2161,116
6037301602,"Census Tract 3016.02, Los Angeles County, California",1642,92,544,83,1098,121
6037301701,"Census Tract 3017.01, Los Angeles County, California",1129,79,671,101,458,108
6037301702,"Census Tract 3017.02, Los Angeles County, California",1965,100,554,204,1411,236
6037301800,"Census Tract 3018, Los Angeles County, California",3033,127,756,194,2277,190
6037301900,"Census Tract 3019, Los Angeles County, California",3132,124,1103,185,2029,189
6037302001,"Census Tract 3020.01, Los Angeles County, California",2906,206,371,132,2535,242
6037302002,"Census Tract 3020.02, Los Angeles County, California",1641,80,426,114,1215,131
6037302102,"Census Tract 3021.02, Los Angeles County, California",2687,104,969,161,1718,166
6037302103,"Census Tract 3021.03, Los Angeles County, California",2095,65,250,113,1845,127
6037302104,"Census Tract 3021.04, Los Angeles County, California",1523,66,252,61,1271,91
6037302201,"Census Tract 3022.01, Los Angeles County, California",1526,54,164,72,1362,92
6037302202,"Census Tract 3022.02, Los Angeles County, California",1820,119,223,77,1597,125
6037302301,"Census Tract 3023.01, Los Angeles County, California",1196,63,416,106,780,116
6037302302,"Census Tract 3023.02, Los Angeles County, California",1827,76,239,90,1588,114
6037302400,"Census Tract 3024, Los Angeles County, California",2244,75,305,110,1939,129
6037302501,"Census Tract 3025.01, Los Angeles County, California",2947,112,267,93,2680,143
6037302502,"Census Tract 3025.02, Los Angeles County, California",2569,107,512,165,2057,178
6037310100,"Census Tract 3101, Los Angeles County, California",1955,83,1779,97,176,83
6037310200,"Census Tract 3102, Los Angeles County, California",3724,145,1590,204,2134,220
6037310300,"Census Tract 3103, Los Angeles County, California",1009,53,875,101,134,86
6037310400,"Census Tract 3104, Los Angeles County, California",1256,95,794,97,462,102
6037310500,"Census Tract 3105, Los Angeles County, California",1116,62,280,99,836,115
6037310600,"Census Tract 3106, Los Angeles County, California",3335,110,1129,224,2206,228
6037310701,"Census Tract 3107.01, Los Angeles County, California",1106,64,152,69,954,82
6037310702,"Census Tract 3107.02, Los Angeles County, California",3176,183,413,134,2763,197
6037310703,"Census Tract 3107.03, Los Angeles County, California",2015,100,245,92,1770,133
6037310800,"Census Tract 3108, Los Angeles County, California",2026,104,1071,176,955,171
6037310900,"Census Tract 3109, Los Angeles County, California",2463,106,1736,181,727,188
6037311000,"Census Tract 3110, Los Angeles County, California",1379,67,886,105,493,103
6037311100,"Census Tract 3111, Los Angeles County, California",1315,58,970,96,345,84
6037311200,"Census Tract 3112, Los Angeles County, California",1255,62,737,85,518,95
6037311300,"Census Tract 3113, Los Angeles County, California",1329,117,923,132,406,110
6037311400,"Census Tract 3114, Los Angeles County, California",941,68,499,101,442,95
6037311500,"Census Tract 3115, Los Angeles County, California",2386,98,1112,120,1274,156
6037311600,"Census Tract 3116, Los Angeles County, California",3640,174,1031,167,2609,208
6037311700,"Census Tract 3117, Los Angeles County, California",2431,161,1434,152,997,149
6037311800,"Census Tract 3118, Los Angeles County, California",2648,160,456,123,2192,183
6037320000,"Census Tract 3200, Los Angeles County, California",0,132,0,132,0,132
6037320100,"Census Tract 3201, Los Angeles County, California",1538,114,933,151,605,136
6037320200,"Census Tract 3202, Los Angeles County, California",2594,146,1177,212,1417,197
6037320300,"Census Tract 3203, Los Angeles County, California",1831,122,909,117,922,151
6037400203,"Census Tract 4002.03, Los Angeles County, California",1795,55,1596,84,199,55
6037400204,"Census Tract 4002.04, Los Angeles County, California",2326,69,2222,117,104,97
6037400205,"Census Tract 4002.05, Los Angeles County, California",872,78,844,82,28,27
6037400206,"Census Tract 4002.06, Los Angeles County, California",1845,77,1735,95,110,69
6037400302,"Census Tract 4003.02, Los Angeles County, California",1080,27,771,81,309,86
6037400303,"Census Tract 4003.03, Los Angeles County, California",1252,49,905,109,347,102
6037400304,"Census Tract 4003.04, Los Angeles County, California",2433,131,1332,163,1101,157
6037400401,"Census Tract 4004.01, Los Angeles County, California",1502,56,1378,83,124,62
6037400402,"Census Tract 4004.02, Los Angeles County, California",1302,65,1077,94,225,84
6037400500,"Census Tract 4005, Los Angeles County, California",724,46,650,64,74,48
6037400602,"Census Tract 4006.02, Los Angeles County, California",1446,85,827,146,619,135
6037400603,"Census Tract 4006.03, Los Angeles County, California",1922,98,1327,127,595,119
6037400604,"Census Tract 4006.04, Los Angeles County, California",957,74,716,101,241,87
6037400800,"Census Tract 4008, Los Angeles County, California",950,67,621,69,329,74
6037400900,"Census Tract 4009, Los Angeles County, California",1306,47,981,115,325,104
6037401001,"Census Tract 4010.01, Los Angeles County, California",975,53,928,63,47,40
6037401002,"Census Tract 4010.02, Los Angeles County, California",1532,68,840,112,692,124
6037401101,"Census Tract 4011.01, Los Angeles County, California",1872,89,840,97,1032,111
6037401102,"Census Tract 4011.02, Los Angeles County, California",1131,71,515,112,616,107
6037401201,"Census Tract 4012.01, Los Angeles County, California",1082,31,843,109,239,111
6037401202,"Census Tract 4012.02, Los Angeles County, California",1297,67,1191,79,106,66
6037401203,"Census Tract 4012.03, Los Angeles County, California",1662,78,1289,118,373,111
6037401302,"Census Tract 4013.02, Los Angeles County, California",3234,145,2882,211,352,170
6037401311,"Census Tract 4013.11, Los Angeles County, California",2532,109,1468,175,1064,167
6037401312,"Census Tract 4013.12, Los Angeles County, California",1847,83,1666,121,181,90
6037401500,"Census Tract 4015, Los Angeles County, California",1871,91,1318,135,553,153
6037401601,"Census Tract 4016.01, Los Angeles County, California",2248,89,1901,147,347,131
6037401602,"Census Tract 4016.02, Los Angeles County, California",1942,116,1056,156,886,163
6037401603,"Census Tract 4016.03, Los Angeles County, California",1349,81,1052,108,297,96
6037401701,"Census Tract 4017.01, Los Angeles County, California",1613,103,1272,129,341,81
6037401703,"Census Tract 4017.03, Los Angeles County, California",1359,134,571,103,788,133
6037401704,"Census Tract 4017.04, Los Angeles County, California",1975,72,1029,142,946,136
6037401800,"Census Tract 4018, Los Angeles County, California",2773,138,2142,196,631,164
6037401901,"Census Tract 4019.01, Los Angeles County, California",155,48,24,41,131,36
6037401902,"Census Tract 4019.02, Los Angeles County, California",2721,153,1104,149,1617,168
6037402000,"Census Tract 4020, Los Angeles County, California",2218,175,1261,155,957,172
6037402101,"Census Tract 4021.01, Los Angeles County, California",1037,73,892,97,145,94
6037402102,"Census Tract 4021.02, Los Angeles County, California",1260,86,800,115,460,125
6037402200,"Census Tract 4022, Los Angeles County, California",2155,107,1635,162,520,141
6037402301,"Census Tract 4023.01, Los Angeles County, California",1314,72,775,135,539,130
6037402302,"Census Tract 4023.02, Los Angeles County, California",2120,127,697,136,1423,172
6037402401,"Census Tract 4024.01, Los Angeles County, California",1756,101,1332,127,424,116
6037402402,"Census Tract 4024.02, Los Angeles County, California",2025,136,1101,114,924,157
6037402403,"Census Tract 4024.03, Los Angeles County, California",1062,81,887,101,175,63
6037402404,"Census Tract 4024.04, Los Angeles County, California",33,40,0,132,33,40
6037402501,"Census Tract 4025.01, Los Angeles County, California",1114,87,313,72,801,106
6037402502,"Census Tract 4025.02, Los Angeles County, California",1671,88,554,116,1117,133
6037402600,"Census Tract 4026, Los Angeles County, California",2448,106,1190,155,1258,182
6037402702,"Census Tract 4027.02, Los Angeles County, California",1587,86,444,93,1143,121
6037402703,"Census Tract 4027.03, Los Angeles County, California",1162,70,830,109,332,98
6037402704,"Census Tract 4027.04, Los Angeles County, California",1845,90,1546,144,299,116
6037402801,"Census Tract 4028.01, Los Angeles County, California",1089,79,464,125,625,111
6037402802,"Census Tract 4028.02, Los Angeles County, California",1659,113,551,129,1108,143
6037402901,"Census Tract 4029.01, Los Angeles County, California",1744,64,1354,131,390,125
6037402902,"Census Tract 4029.02, Los Angeles County, California",1400,69,751,82,649,86
6037403000,"Census Tract 4030, Los Angeles County, California",1530,60,1079,132,451,132
6037403200,"Census Tract 4032, Los Angeles County, California",0,132,0,132,0,132
6037403303,"Census Tract 4033.03, Los Angeles County, California",715,87,634,90,81,58
6037403304,"Census Tract 4033.04, Los Angeles County, California",1583,81,1436,95,147,75
6037403305,"Census Tract 4033.05, Los Angeles County, California",741,25,663,50,78,44
6037403312,"Census Tract 4033.12, Los Angeles County, California",1636,57,1287,131,349,113
6037403316,"Census Tract 4033.16, Los Angeles County, California",2585,68,2063,126,522,132
6037403317,"Census Tract 4033.17, Los Angeles County, California",1439,65,1316,81,123,62
6037403318,"Census Tract 4033.18, Los Angeles County, California",1974,80,1798,91,176,77
6037403319,"Census Tract 4033.19, Los Angeles County, California",1574,91,1083,115,491,122
6037403320,"Census Tract 4033.20, Los Angeles County, California",1681,82,1492,103,189,89
6037403321,"Census Tract 4033.21, Los Angeles County, California",1976,51,1730,111,246,106
6037403322,"Census Tract 4033.22, Los Angeles County, California",1224,67,969,96,255,108
6037403323,"Census Tract 4033.23, Los Angeles County, California",1708,46,1528,94,180,83
6037403324,"Census Tract 4033.24, Los Angeles County, California",2223,160,1909,159,314,135
6037403325,"Census Tract 4033.25, Los Angeles County, California",1412,41,1261,90,151,78
6037403401,"Census Tract 4034.01, Los Angeles County, California",1472,83,1330,97,142,59
6037403402,"Census Tract 4034.02, Los Angeles County, California",1036,37,976,60,60,44
6037403403,"Census Tract 4034.03, Los Angeles County, California",1586,49,1583,49,3,16
6037403404,"Census Tract 4034.04, Los Angeles County, California",792,22,745,39,47,37
6037403405,"Census Tract 4034.05, Los Angeles County, California",498,14,498,14,0,132
6037403406,"Census Tract 4034.06, Los Angeles County, California",855,45,580,95,275,81
6037403407,"Census Tract 4034.07, Los Angeles County, California",516,49,479,65,37,42
6037403408,"Census Tract 4034.08, Los Angeles County, California",1857,69,1599,121,258,107
6037403500,"Census Tract 4035, Los Angeles County, California",556,46,329,36,227,60
6037403600,"Census Tract 4036, Los Angeles County, California",2080,95,1535,117,545,99
6037403702,"Census Tract 4037.02, Los Angeles County, California",1118,58,940,90,178,83
6037403703,"Census Tract 4037.03, Los Angeles County, California",1417,82,1366,90,51,41
6037403721,"Census Tract 4037.21, Los Angeles County, California",1561,98,1053,92,508,98
6037403722,"Census Tract 4037.22, Los Angeles County, California",1648,110,563,121,1085,175
6037403801,"Census Tract 4038.01, Los Angeles County, California",1904,91,1213,141,691,132
6037403802,"Census Tract 4038.02, Los Angeles County, California",1937,82,1206,144,731,117
6037403901,"Census Tract 4039.01, Los Angeles County, California",889,36,684,80,205,74
6037403902,"Census Tract 4039.02, Los Angeles County, California",1445,95,1060,121,385,117
6037404000,"Census Tract 4040, Los Angeles County, California",1311,65,1002,72,309,80
6037404100,"Census Tract 4041, Los Angeles County, California",1409,50,1078,93,331,91
6037404200,"Census Tract 4042, Los Angeles County, California",1976,76,932,141,1044,134
6037404301,"Census Tract 4043.01, Los Angeles County, California",1465,95,451,108,1014,113
6037404302,"Census Tract 4043.02, Los Angeles County, California",577,65,433,84,144,55
6037404401,"Census Tract 4044.01, Los Angeles County, California",1031,48,588,89,443,89
6037404402,"Census Tract 4044.02, Los Angeles County, California",1243,69,761,128,482,123
6037404501,"Census Tract 4045.01, Los Angeles County, California",665,53,292,92,373,106
6037404502,"Census Tract 4045.02, Los Angeles County, California",1965,74,1012,115,953,117
6037404600,"Census Tract 4046, Los Angeles County, California",374,32,247,35,127,42
6037404701,"Census Tract 4047.01, Los Angeles County, California",1329,79,951,142,378,121
6037404702,"Census Tract 4047.02, Los Angeles County, California",1519,43,861,122,658,137
6037404703,"Census Tract 4047.03, Los Angeles County, California",756,58,320,52,436,73
6037404801,"Census Tract 4048.01, Los Angeles County, California",1768,66,926,146,842,149
6037404802,"Census Tract 4048.02, Los Angeles County, California",1065,65,627,105,438,110
6037404803,"Census Tract 4048.03, Los Angeles County, California",471,40,399,70,72,58
6037404901,"Census Tract 4049.01, Los Angeles County, California",1208,83,767,129,441,125
6037404902,"Census Tract 4049.02, Los Angeles County, California",847,48,731,80,116,71
6037404903,"Census Tract 4049.03, Los Angeles County, California",661,69,471,90,190,79
6037405001,"Census Tract 4050.01, Los Angeles County, California",1327,72,1081,92,246,91
6037405002,"Census Tract 4050.02, Los Angeles County, California",653,71,471,100,182,96
6037405101,"Census Tract 4051.01, Los Angeles County, California",1186,80,831,136,355,123
6037405102,"Census Tract 4051.02, Los Angeles County, California",1301,58,808,134,493,122
6037405201,"Census Tract 4052.01, Los Angeles County, California",1296,60,726,104,570,97
6037405202,"Census Tract 4052.02, Los Angeles County, California",1218,91,716,130,502,134
6037405203,"Census Tract 4052.03, Los Angeles County, California",767,62,454,95,313,108
6037405300,"Census Tract 4053, Los Angeles County, California",2419,115,1492,137,927,145
6037405400,"Census Tract 4054, Los Angeles County, California",1255,23,1108,89,147,90
6037405500,"Census Tract 4055, Los Angeles County, California",1969,44,1476,110,493,107
6037405600,"Census Tract 4056, Los Angeles County, California",1552,61,1227,78,325,73
6037405700,"Census Tract 4057, Los Angeles County, California",2517,101,1761,210,756,186
6037405800,"Census Tract 4058, Los Angeles County, California",1612,70,1101,125,511,119
6037405900,"Census Tract 4059, Los Angeles County, California",1171,65,892,103,279,86
6037406000,"Census Tract 4060, Los Angeles County, California",1457,63,1129,119,328,112
6037406101,"Census Tract 4061.01, Los Angeles County, California",1044,71,442,104,602,111
6037406102,"Census Tract 4061.02, Los Angeles County, California",2221,91,590,118,1631,147
6037406200,"Census Tract 4062, Los Angeles County, California",1748,106,601,97,1147,117
6037406300,"Census Tract 4063, Los Angeles County, California",1550,103,1163,113,387,118
6037406402,"Census Tract 4064.02, Los Angeles County, California",606,27,566,64,40,45
6037406411,"Census Tract 4064.11, Los Angeles County, California",500,53,418,68,82,50
6037406412,"Census Tract 4064.12, Los Angeles County, California",805,25,623,61,182,67
6037406500,"Census Tract 4065, Los Angeles County, California",2095,88,1184,137,911,149
6037406601,"Census Tract 4066.01, Los Angeles County, California",1473,62,1241,106,232,82
6037406602,"Census Tract 4066.02, Los Angeles County, California",1300,71,930,87,370,112
6037406700,"Census Tract 4067, Los Angeles County, California",2493,120,1435,175,1058,169
6037406800,"Census Tract 4068, Los Angeles County, California",1230,67,1033,100,197,97
6037406900,"Census Tract 4069, Los Angeles County, California",2098,69,1431,152,667,153
6037407001,"Census Tract 4070.01, Los Angeles County, California",1171,72,892,89,279,86
6037407002,"Census Tract 4070.02, Los Angeles County, California",776,34,618,83,158,76
6037407101,"Census Tract 4071.01, Los Angeles County, California",1225,62,914,85,311,87
6037407102,"Census Tract 4071.02, Los Angeles County, California",1292,65,899,97,393,98
6037407200,"Census Tract 4072, Los Angeles County, California",1589,84,1246,115,343,100
6037407301,"Census Tract 4073.01, Los Angeles County, California",1014,75,901,92,113,75
6037407302,"Census Tract 4073.02, Los Angeles County, California",702,47,560,77,142,77
6037407400,"Census Tract 4074, Los Angeles County, California",499,33,435,49,64,48
6037407500,"Census Tract 4075, Los Angeles County, California",1868,55,1233,120,635,117
6037407600,"Census Tract 4076, Los Angeles County, California",2131,118,996,141,1135,146
6037407701,"Census Tract 4077.01, Los Angeles County, California",1223,64,507,88,716,96
6037407702,"Census Tract 4077.02, Los Angeles County, California",1738,83,1262,140,476,133
6037407800,"Census Tract 4078, Los Angeles County, California",1871,34,1458,133,413,127
6037407900,"Census Tract 4079, Los Angeles County, California",1444,58,1128,128,316,112
6037408001,"Census Tract 4080.01, Los Angeles County, California",2588,104,1704,173,884,174
6037408002,"Census Tract 4080.02, Los Angeles County, California",2116,84,1479,179,637,175
6037408101,"Census Tract 4081.01, Los Angeles County, California",2271,118,1291,177,980,173
6037408102,"Census Tract 4081.02, Los Angeles County, California",1902,28,1317,141,585,144
6037408132,"Census Tract 4081.32, Los Angeles County, California",2056,65,1461,177,595,169
6037408133,"Census Tract 4081.33, Los Angeles County, California",1480,93,631,106,849,119
6037408134,"Census Tract 4081.34, Los Angeles County, California",891,27,814,57,77,50
6037408135,"Census Tract 4081.35, Los Angeles County, California",1125,59,716,119,409,119
6037408202,"Census Tract 4082.02, Los Angeles County, California",491,51,275,81,216,80
6037408211,"Census Tract 4082.11, Los Angeles County, California",1746,70,719,119,1027,145
6037408212,"Census Tract 4082.12, Los Angeles County, California",1224,60,1022,103,202,94
6037408301,"Census Tract 4083.01, Los Angeles County, California",1183,86,798,128,385,118
6037408302,"Census Tract 4083.02, Los Angeles County, California",1066,23,866,93,200,88
6037408303,"Census Tract 4083.03, Los Angeles County, California",1148,52,986,114,162,92
6037408401,"Census Tract 4084.01, Los Angeles County, California",1184,63,681,114,503,113
6037408402,"Census Tract 4084.02, Los Angeles County, California",1731,94,1496,137,235,122
6037408501,"Census Tract 4085.01, Los Angeles County, California",700,68,430,90,270,90
6037408502,"Census Tract 4085.02, Los Angeles County, California",2163,153,1667,163,496,140
6037408503,"Census Tract 4085.03, Los Angeles County, California",1814,102,1659,132,155,108
6037408601,"Census Tract 4086.01, Los Angeles County, California",1869,75,1484,150,385,135
6037408623,"Census Tract 4086.23, Los Angeles County, California",1001,25,688,110,313,105
6037408624,"Census Tract 4086.24, Los Angeles County, California",1014,23,837,81,177,86
6037408625,"Census Tract 4086.25, Los Angeles County, California",1248,88,1089,118,159,72
6037408626,"Census Tract 4086.26, Los Angeles County, California",1601,93,813,101,788,120
6037408627,"Census Tract 4086.27, Los Angeles County, California",902,41,770,76,132,66
6037408628,"Census Tract 4086.28, Los Angeles County, California",1835,54,1335,110,500,105
6037408629,"Census Tract 4086.29, Los Angeles County, California",913,76,843,79,70,43
6037408703,"Census Tract 4087.03, Los Angeles County, California",1879,66,1726,109,153,99
6037408704,"Census Tract 4087.04, Los Angeles County, California",934,77,506,84,428,92
6037408705,"Census Tract 4087.05, Los Angeles County, California",1490,63,1107,108,383,97
6037408706,"Census Tract 4087.06, Los Angeles County, California",471,11,448,30,23,25
6037408721,"Census Tract 4087.21, Los Angeles County, California",2210,77,647,148,1563,150
