Id2,Geography,Total; Estimate; Population for whom poverty status is determined,Total; Margin of Error; Population for whom poverty status is determined,Number Bbelow poverty level; Estimate; Population for whom poverty status is determined,Number below poverty level; Margin of Error; Population for whom poverty status is determined,Percent below poverty level; Estimate; Population for whom poverty status is determined,Percent below poverty level; Margin of Error; Population for whom poverty status is determined
6037401303,"Census Tract 4013.03, Los Angeles County, California",2358,185,105,96,4.5,4.1
6037401304,"Census Tract 4013.04, Los Angeles County, California",5756,429,229,130,4,2.3
6037401311,"Census Tract 4013.11, Los Angeles County, California",6145,442,670,352,10.9,5.4
6037401312,"Census Tract 4013.12, Los Angeles County, California",5038,405,323,198,6.4,3.9
6037401500,"Census Tract 4015, Los Angeles County, California",5692,320,538,252,9.5,4.3
6037401601,"Census Tract 4016.01, Los Angeles County, California",5352,370,339,167,6.3,3.2
6037401602,"Census Tract 4016.02, Los Angeles County, California",6254,326,737,286,11.8,4.4
6037401603,"Census Tract 4016.03, Los Angeles County, California",2603,153,212,87,8.1,3.3
6037401701,"Census Tract 4017.01, Los Angeles County, California",4237,219,317,141,7.5,3.4
6037401703,"Census Tract 4017.03, Los Angeles County, California",4277,316,833,320,19.5,7.2
6037401704,"Census Tract 4017.04, Los Angeles County, California",6146,597,1235,524,20.1,8.5
6037401800,"Census Tract 4018, Los Angeles County, California",7776,436,770,473,9.9,5.9
6037401901,"Census Tract 4019.01, Los Angeles County, California",268,73,24,24,9,8.2
6037401902,"Census Tract 4019.02, Los Angeles County, California",5834,459,386,262,6.6,4.3
6037402001,"Census Tract 4020.01, Los Angeles County, California",3207,287,505,255,15.7,8.4
6037402002,"Census Tract 4020.02, Los Angeles County, California",4077,362,577,349,14.2,8.4
6037402101,"Census Tract 4021.01, Los Angeles County, California",5145,389,1139,537,22.1,9.7
6037402102,"Census Tract 4021.02, Los Angeles County, California",4714,433,895,382,19,7.7
6037402200,"Census Tract 4022, Los Angeles County, California",6779,665,1271,701,18.7,9.1
6037402301,"Census Tract 4023.01, Los Angeles County, California",5690,446,1157,422,20.3,7.3
6037402303,"Census Tract 4023.03, Los Angeles County, California",3691,283,894,288,24.2,7.7
6037402304,"Census Tract 4023.04, Los Angeles County, California",4367,325,1315,311,30.1,6.6
6037402402,"Census Tract 4024.02, Los Angeles County, California",6410,675,984,333,15.4,4.8
6037402403,"Census Tract 4024.03, Los Angeles County, California",3639,346,284,144,7.8,3.9
6037402404,"Census Tract 4024.04, Los Angeles County, California",9,13,0,12,0,100
6037402405,"Census Tract 4024.05, Los Angeles County, California",2965,234,750,233,25.3,7
6037402406,"Census Tract 4024.06, Los Angeles County, California",5053,420,920,304,18.2,5.6
6037402501,"Census Tract 4025.01, Los Angeles County, California",6116,497,1587,389,25.9,6.1
6037402502,"Census Tract 4025.02, Los Angeles County, California",6942,652,1806,458,26,6.5
6037402600,"Census Tract 4026, Los Angeles County, California",7197,811,1389,556,19.3,8.3
6037402702,"Census Tract 4027.02, Los Angeles County, California",6584,496,2577,529,39.1,7.3
6037402703,"Census Tract 4027.03, Los Angeles County, California",4763,408,947,407,19.9,8.3
6037402705,"Census Tract 4027.05, Los Angeles County, California",3194,256,397,181,12.4,5.3
6037402706,"Census Tract 4027.06, Los Angeles County, California",4191,292,674,267,16.1,6.2
6037402801,"Census Tract 4028.01, Los Angeles County, California",4938,424,1644,451,33.3,8.3
6037402803,"Census Tract 4028.03, Los Angeles County, California",3054,276,582,212,19.1,6.3
6037402804,"Census Tract 4028.04, Los Angeles County, California",4137,261,805,197,19.5,4.5
6037402902,"Census Tract 4029.02, Los Angeles County, California",6743,464,1833,468,27.2,6.4
6037402903,"Census Tract 4029.03, Los Angeles County, California",4471,337,851,299,19,6.5
6037402904,"Census Tract 4029.04, Los Angeles County, California",3671,242,360,217,9.8,5.9
6037403000,"Census Tract 4030, Los Angeles County, California",7230,487,1368,515,18.9,6.9
6037403200,"Census Tract 4032, Los Angeles County, California",304,66,233,92,76.6,21.6
6037403303,"Census Tract 4033.03, Los Angeles County, California",2784,218,264,180,9.5,6.3
6037403304,"Census Tract 4033.04, Los Angeles County, California",5016,299,312,124,6.2,2.5
6037403305,"Census Tract 4033.05, Los Angeles County, California",2260,192,150,83,6.6,3.7
6037403312,"Census Tract 4033.12, Los Angeles County, California",4977,290,259,138,5.2,2.9
6037403316,"Census Tract 4033.16, Los Angeles County, California",6815,494,289,219,4.2,3.2
6037403317,"Census Tract 4033.17, Los Angeles County, California",4534,334,170,95,3.7,2.1
6037403318,"Census Tract 4033.18, Los Angeles County, California",6294,331,739,279,11.7,4.4
6037403319,"Census Tract 4033.19, Los Angeles County, California",4384,329,265,141,6,3.3
6037403320,"Census Tract 4033.20, Los Angeles County, California",4984,267,263,155,5.3,3.1
6037403321,"Census Tract 4033.21, Los Angeles County, California",6436,489,633,260,9.8,4.1
6037403322,"Census Tract 4033.22, Los Angeles County, California",3864,207,427,264,11.1,6.7
6037403323,"Census Tract 4033.23, Los Angeles County, California",5377,278,230,126,4.3,2.3
6037403324,"Census Tract 4033.24, Los Angeles County, California",7067,443,430,230,6.1,3.3
6037403325,"Census Tract 4033.25, Los Angeles County, California",5200,240,145,107,2.8,2.1
6037403401,"Census Tract 4034.01, Los Angeles County, California",5525,440,646,403,11.7,6.7
6037403402,"Census Tract 4034.02, Los Angeles County, California",3701,205,290,139,7.8,3.7
6037403403,"Census Tract 4034.03, Los Angeles County, California",4866,357,303,157,6.2,3.4
6037403404,"Census Tract 4034.04, Los Angeles County, California",2595,217,194,97,7.5,3.8
6037403405,"Census Tract 4034.05, Los Angeles County, California",1712,105,119,95,7,5.5
6037403406,"Census Tract 4034.06, Los Angeles County, California",3016,221,354,202,11.7,6.3
6037403407,"Census Tract 4034.07, Los Angeles County, California",2116,228,254,116,12,5.3
6037403408,"Census Tract 4034.08, Los Angeles County, California",6515,407,268,143,4.1,2.2
6037403500,"Census Tract 4035, Los Angeles County, California",1909,236,62,43,3.2,2.3
6037403600,"Census Tract 4036, Los Angeles County, California",6734,543,328,255,4.9,3.8
6037403702,"Census Tract 4037.02, Los Angeles County, California",3509,359,85,55,2.4,1.6
6037403703,"Census Tract 4037.03, Los Angeles County, California",4646,339,382,186,8.2,3.8
6037403721,"Census Tract 4037.21, Los Angeles County, California",4929,318,478,283,9.7,5.5
6037403722,"Census Tract 4037.22, Los Angeles County, California",5932,372,1057,358,17.8,5.8
6037403801,"Census Tract 4038.01, Los Angeles County, California",6612,321,930,382,14.1,5.7
6037403802,"Census Tract 4038.02, Los Angeles County, California",6095,487,682,232,11.2,3.8
6037403901,"Census Tract 4039.01, Los Angeles County, California",3284,252,265,100,8.1,2.9
6037403902,"Census Tract 4039.02, Los Angeles County, California",4671,421,627,286,13.4,5.9
6037404000,"Census Tract 4040, Los Angeles County, California",4946,446,388,204,7.8,3.8
6037404100,"Census Tract 4041, Los Angeles County, California",6978,599,871,420,12.5,6
6037404201,"Census Tract 4042.01, Los Angeles County, California",3863,440,1403,595,36.3,12.5
6037404202,"Census Tract 4042.02, Los Angeles County, California",2748,219,706,223,25.7,8
6037404301,"Census Tract 4043.01, Los Angeles County, California",5544,424,872,332,15.7,5.7
6037404302,"Census Tract 4043.02, Los Angeles County, California",2240,221,275,148,12.3,6.2
6037404401,"Census Tract 4044.01, Los Angeles County, California",3939,303,623,266,15.8,6.8
6037404402,"Census Tract 4044.02, Los Angeles County, California",4663,402,542,247,11.6,5.1
6037404501,"Census Tract 4045.01, Los Angeles County, California",2518,226,233,140,9.3,5.8
6037404503,"Census Tract 4045.03, Los Angeles County, California",2848,312,520,305,18.3,10.1
6037404504,"Census Tract 4045.04, Los Angeles County, California",4450,343,624,250,14,5.5
6037404600,"Census Tract 4046, Los Angeles County, California",1370,136,114,41,8.3,3.1
6037404701,"Census Tract 4047.01, Los Angeles County, California",5514,456,919,405,16.7,7.1
6037404702,"Census Tract 4047.02, Los Angeles County, California",5884,654,1476,590,25.1,9.7
6037404703,"Census Tract 4047.03, Los Angeles County, California",3348,266,929,267,27.7,7.2
6037404801,"Census Tract 4048.01, Los Angeles County, California",8170,518,1183,516,14.5,6.3
6037404802,"Census Tract 4048.02, Los Angeles County, California",4637,673,540,286,11.6,6.4
6037404803,"Census Tract 4048.03, Los Angeles County, California",1657,149,113,60,6.8,3.7
6037404901,"Census Tract 4049.01, Los Angeles County, California",5779,506,300,181,5.2,3.1
6037404902,"Census Tract 4049.02, Los Angeles County, California",4278,248,754,308,17.6,6.8
6037404903,"Census Tract 4049.03, Los Angeles County, California",2728,253,397,191,14.6,6.9
6037405001,"Census Tract 4050.01, Los Angeles County, California",6000,443,491,260,8.2,4.4
6037405002,"Census Tract 4050.02, Los Angeles County, California",3106,266,227,106,7.3,3.5
6037405101,"Census Tract 4051.01, Los Angeles County, California",5532,557,898,341,16.2,6.6
6037405102,"Census Tract 4051.02, Los Angeles County, California",4309,477,853,317,19.8,7
6037405201,"Census Tract 4052.01, Los Angeles County, California",4838,438,760,337,15.7,6.5
6037405202,"Census Tract 4052.02, Los Angeles County, California",5245,556,892,342,17,6.2
6037405203,"Census Tract 4052.03, Los Angeles County, California",3713,296,334,196,9,5.5
6037405301,"Census Tract 4053.01, Los Angeles County, California",3645,334,570,251,15.6,6.3
6037405302,"Census Tract 4053.02, Los Angeles County, California",6038,467,972,595,16.1,9
6037405400,"Census Tract 4054, Los Angeles County, California",5375,559,381,424,7.1,7.5
6037405500,"Census Tract 4055, Los Angeles County, California",6742,401,322,133,4.8,1.9
6037405600,"Census Tract 4056, Los Angeles County, California",5753,289,230,142,4,2.5
6037405701,"Census Tract 4057.01, Los Angeles County, California",3841,392,32,37,0.8,1
6037405702,"Census Tract 4057.02, Los Angeles County, California",5198,359,611,305,11.8,5.8
6037405800,"Census Tract 4058, Los Angeles County, California",5741,503,489,258,8.5,4.3
6037405900,"Census Tract 4059, Los Angeles County, California",3844,248,403,175,10.5,4.5
6037406000,"Census Tract 4060, Los Angeles County, California",5092,407,603,382,11.8,7.3
6037406101,"Census Tract 4061.01, Los Angeles County, California",3356,391,197,107,5.9,3.3
6037406102,"Census Tract 4061.02, Los Angeles County, California",6225,416,468,223,7.5,3.5
6037406200,"Census Tract 4062, Los Angeles County, California",5785,378,1099,372,19,6.6
6037406300,"Census Tract 4063, Los Angeles County, California",5522,375,676,383,12.2,6.7
6037406402,"Census Tract 4064.02, Los Angeles County, California",2267,162,18,17,0.8,0.7
6037406411,"Census Tract 4064.11, Los Angeles County, California",2157,145,153,104,7.1,4.8
6037406412,"Census Tract 4064.12, Los Angeles County, California",2500,264,79,47,3.2,1.9
6037406500,"Census Tract 4065, Los Angeles County, California",6497,370,385,225,5.9,3.4
6037406601,"Census Tract 4066.01, Los Angeles County, California",5657,399,377,194,6.7,3.4
6037406602,"Census Tract 4066.02, Los Angeles County, California",5912,590,553,329,9.4,5.7
6037406701,"Census Tract 4067.01, Los Angeles County, California",3115,178,133,63,4.3,2
6037406702,"Census Tract 4067.02, Los Angeles County, California",5724,491,737,298,12.9,5
6037406800,"Census Tract 4068, Los Angeles County, California",4769,373,575,353,12.1,7.1
6037406901,"Census Tract 4069.01, Los Angeles County, California",4825,309,824,420,17.1,8.7
6037406902,"Census Tract 4069.02, Los Angeles County, California",3832,400,222,102,5.8,2.5
6037407001,"Census Tract 4070.01, Los Angeles County, California",6396,466,535,327,8.4,5.1
6037407002,"Census Tract 4070.02, Los Angeles County, California",3481,273,411,183,11.8,5.2
6037407101,"Census Tract 4071.01, Los Angeles County, California",4822,434,1199,563,24.9,10.8
6037407102,"Census Tract 4071.02, Los Angeles County, California",5641,426,384,178,6.8,3
6037407200,"Census Tract 4072, Los Angeles County, California",7349,482,1413,530,19.2,6.9
6037407301,"Census Tract 4073.01, Los Angeles County, California",4833,412,509,310,10.5,6.4
6037407302,"Census Tract 4073.02, Los Angeles County, California",3608,252,377,195,10.4,5.6
6037407400,"Census Tract 4074, Los Angeles County, California",2008,159,88,68,4.4,3.3
6037407501,"Census Tract 4075.01, Los Angeles County, California",4522,429,677,301,15,6.3
6037407502,"Census Tract 4075.02, Los Angeles County, California",4052,336,461,191,11.4,4.5
6037407601,"Census Tract 4076.01, Los Angeles County, California",4473,409,1124,459,25.1,9.9
6037407602,"Census Tract 4076.02, Los Angeles County, California",3918,258,422,183,10.8,4.7
6037407701,"Census Tract 4077.01, Los Angeles County, California",4977,396,1397,377,28.1,7.2
6037407702,"Census Tract 4077.02, Los Angeles County, California",6890,489,744,274,10.8,4
6037407801,"Census Tract 4078.01, Los Angeles County, California",5614,458,688,329,12.3,5.4
6037407802,"Census Tract 4078.02, Los Angeles County, California",3670,229,147,67,4,1.9
6037407900,"Census Tract 4079, Los Angeles County, California",6805,547,604,328,8.9,4.6
6037408003,"Census Tract 4080.03, Los Angeles County, California",4272,505,427,257,10,6.1
6037408004,"Census Tract 4080.04, Los Angeles County, California",2369,272,213,150,9,6.3
6037408005,"Census Tract 4080.05, Los Angeles County, California",5049,351,317,154,6.3,3
6037408006,"Census Tract 4080.06, Los Angeles County, California",3652,395,584,250,16,6.4
6037408133,"Census Tract 4081.33, Los Angeles County, California",5607,539,1112,557,19.8,8.9
6037408134,"Census Tract 4081.34, Los Angeles County, California",2768,234,276,148,10,5.5
6037408135,"Census Tract 4081.35, Los Angeles County, California",3826,290,387,245,10.1,6.5
6037408136,"Census Tract 4081.36, Los Angeles County, California",3864,270,327,197,8.5,5
6037408137,"Census Tract 4081.37, Los Angeles County, California",4060,419,662,312,16.3,7.3
6037408138,"Census Tract 4081.38, Los Angeles County, California",5624,694,1712,637,30.4,9.8
6037408139,"Census Tract 4081.39, Los Angeles County, California",4204,304,433,156,10.3,3.6
6037408140,"Census Tract 4081.40, Los Angeles County, California",4035,322,487,228,12.1,6
6037408141,"Census Tract 4081.41, Los Angeles County, California",5142,562,435,241,8.5,4.6
6037408202,"Census Tract 4082.02, Los Angeles County, California",2114,293,348,215,16.5,9.1
6037408211,"Census Tract 4082.11, Los Angeles County, California",5985,690,1179,400,19.7,6.1
6037408212,"Census Tract 4082.12, Los Angeles County, California",5430,490,687,392,12.7,6.8
6037408301,"Census Tract 4083.01, Los Angeles County, California",5758,582,900,447,15.6,7.6
6037408302,"Census Tract 4083.02, Los Angeles County, California",4182,348,175,90,4.2,2.2
6037408303,"Census Tract 4083.03, Los Angeles County, California",4322,392,298,188,6.9,4.4
6037408401,"Census Tract 4084.01, Los Angeles County, California",4231,412,280,182,6.6,4.3
6037408402,"Census Tract 4084.02, Los Angeles County, California",5948,606,607,230,10.2,3.6
6037408501,"Census Tract 4085.01, Los Angeles County, California",3135,220,212,119,6.8,3.8
6037408503,"Census Tract 4085.03, Los Angeles County, California",6480,446,124,63,1.9,1
6037408504,"Census Tract 4085.04, Los Angeles County, California",4988,344,501,202,10,3.9
6037408505,"Census Tract 4085.05, Los Angeles County, California",2532,156,146,72,5.8,2.8
6037408623,"Census Tract 4086.23, Los Angeles County, California",3113,167,308,159,9.9,4.9
6037408624,"Census Tract 4086.24, Los Angeles County, California",3175,256,357,247,11.2,7.7
6037408625,"Census Tract 4086.25, Los Angeles County, California",4037,377,363,308,9,7.4
6037408626,"Census Tract 4086.26, Los Angeles County, California",4623,370,619,322,13.4,6.5
6037408627,"Census Tract 4086.27, Los Angeles County, California",3169,197,308,128,9.7,4
6037408628,"Census Tract 4086.28, Los Angeles County, California",5420,414,817,343,15.1,5.9
6037408629,"Census Tract 4086.29, Los Angeles County, California",2716,265,269,161,9.9,5.7
6037408630,"Census Tract 4086.30, Los Angeles County, California",2685,297,188,163,7,6
6037408631,"Census Tract 4086.31, Los Angeles County, California",5316,418,398,215,7.5,4.1
6037408703,"Census Tract 4087.03, Los Angeles County, California",6525,421,307,184,4.7,2.9
6037408704,"Census Tract 4087.04, Los Angeles County, California",3137,278,903,333,28.8,9.6
6037408705,"Census Tract 4087.05, Los Angeles County, California",5418,389,398,153,7.3,3
6037408706,"Census Tract 4087.06, Los Angeles County, California",1809,275,180,133,10,6.7
6037408722,"Census Tract 4087.22, Los Angeles County, California",4510,432,664,350,14.7,7.2
6037408723,"Census Tract 4087.23, Los Angeles County, California",2942,182,201,86,6.8,3
6037408724,"Census Tract 4087.24, Los Angeles County, California",5407,395,1067,308,19.7,5.7
6037408800,"Census Tract 4088, Los Angeles County, California",3877,410,1251,381,32.3,8.6
6037430002,"Census Tract 4300.02, Los Angeles County, California",6681,526,539,311,8.1,4.6
6037430003,"Census Tract 4300.03, Los Angeles County, California",4620,263,288,139,6.2,3
6037430101,"Census Tract 4301.01, Los Angeles County, California",5133,362,1064,395,20.7,7.6
6037430102,"Census Tract 4301.02, Los Angeles County, California",4902,397,746,351,15.2,7.3
6037430200,"Census Tract 4302, Los Angeles County, California",1105,120,91,49,8.2,4.2
6037430301,"Census Tract 4303.01, Los Angeles County, California",4484,243,196,75,4.4,1.7
6037430302,"Census Tract 4303.02, Los Angeles County, California",5579,489,177,128,3.2,2.4
6037430400,"Census Tract 4304, Los Angeles County, California",4879,348,213,115,4.4,2.3
6037430501,"Census Tract 4305.01, Los Angeles County, California",4118,323,153,79,3.7,2
6037430502,"Census Tract 4305.02, Los Angeles County, California",6931,319,411,232,5.9,3.3
6037430600,"Census Tract 4306, Los Angeles County, California",4570,411,481,357,10.5,7.5
6037430701,"Census Tract 4307.01, Los Angeles County, California",5425,444,333,147,6.1,2.7
6037430721,"Census Tract 4307.21, Los Angeles County, California",3491,274,236,159,6.8,4.7
6037430723,"Census Tract 4307.23, Los Angeles County, California",4590,318,322,141,7,3.1
6037430724,"Census Tract 4307.24, Los Angeles County, California",4895,381,569,176,11.6,3.4
6037430801,"Census Tract 4308.01, Los Angeles County, California",7046,436,589,295,8.4,4.4
6037430802,"Census Tract 4308.02, Los Angeles County, California",4288,457,632,286,14.7,5.8
6037430803,"Census Tract 4308.03, Los Angeles County, California",5411,411,287,148,5.3,2.7
6037430901,"Census Tract 4309.01, Los Angeles County, California",4485,374,397,180,8.9,4
6037430902,"Census Tract 4309.02, Los Angeles County, California",4528,356,504,196,11.1,4.2
6037431001,"Census Tract 4310.01, Los Angeles County, California",7366,584,962,644,13.1,8.3
6037431002,"Census Tract 4310.02, Los Angeles County, California",3182,232,299,130,9.4,4
6037431100,"Census Tract 4311, Los Angeles County, California",7553,646,438,340,5.8,4.3
6037431200,"Census Tract 4312, Los Angeles County, California",5957,447,1014,481,17,7.7
6037431300,"Census Tract 4313, Los Angeles County, California",2723,189,178,97,6.5,3.5
6037431400,"Census Tract 4314, Los Angeles County, California",4157,367,392,324,9.4,7.6
6037431501,"Census Tract 4315.01, Los Angeles County, California",4543,290,1038,355,22.8,7.4
6037431502,"Census Tract 4315.02, Los Angeles County, California",4122,407,618,248,15,6.1
6037431600,"Census Tract 4316, Los Angeles County, California",4112,277,280,116,6.8,2.8
6037431700,"Census Tract 4317, Los Angeles County, California",5928,595,470,259,7.9,4.5
6037431800,"Census Tract 4318, Los Angeles County, California",5820,548,810,294,13.9,5.3
6037431900,"Census Tract 4319, Los Angeles County, California",4447,331,898,348,20.2,7.5
6037432000,"Census Tract 4320, Los Angeles County, California",7678,489,670,379,8.7,4.9
6037432101,"Census Tract 4321.01, Los Angeles County, California",4183,292,283,123,6.8,3
6037432102,"Census Tract 4321.02, Los Angeles County, California",5783,406,415,185,7.2,3.1
6037432201,"Census Tract 4322.01, Los Angeles County, California",4591,383,641,328,14,6.8
6037432202,"Census Tract 4322.02, Los Angeles County, California",4320,413,886,377,20.5,7.8
6037432300,"Census Tract 4323, Los Angeles County, California",4530,427,536,259,11.8,5.6
6037432401,"Census Tract 4324.01, Los Angeles County, California",3533,322,836,307,23.7,7.7
6037432402,"Census Tract 4324.02, Los Angeles County, California",6786,713,1627,758,24,10
6037432500,"Census Tract 4325, Los Angeles County, California",8940,881,1143,585,12.8,6
6037432601,"Census Tract 4326.01, Los Angeles County, California",6996,535,1594,482,22.8,6.8
6037432602,"Census Tract 4326.02, Los Angeles County, California",4699,580,712,405,15.2,8.2
6037432700,"Census Tract 4327, Los Angeles County, California",5625,661,1266,453,22.5,8.4
6037432801,"Census Tract 4328.01, Los Angeles County, California",2626,259,547,177,20.8,6.4
6037432802,"Census Tract 4328.02, Los Angeles County, California",5373,496,1674,523,31.2,8.8
6037432901,"Census Tract 4329.01, Los Angeles County, California",4324,382,586,229,13.6,5.3
6037432902,"Census Tract 4329.02, Los Angeles County, California",3379,268,377,170,11.2,4.9
6037433101,"Census Tract 4331.01, Los Angeles County, California",2308,273,404,162,17.5,6.5
6037433102,"Census Tract 4331.02, Los Angeles County, California",4628,519,1087,455,23.5,9.7
6037433200,"Census Tract 4332, Los Angeles County, California",6137,568,1284,457,20.9,7.2
6037433302,"Census Tract 4333.02, Los Angeles County, California",1576,177,396,170,25.1,9.7
6037433304,"Census Tract 4333.04, Los Angeles County, California",4941,691,1144,541,23.2,9.4
6037433305,"Census Tract 4333.05, Los Angeles County, California",5162,495,1231,471,23.8,9
6037433306,"Census Tract 4333.06, Los Angeles County, California",3138,320,557,241,17.8,7.3
6037433307,"Census Tract 4333.07, Los Angeles County, California",3118,230,731,235,23.4,6.9
6037433401,"Census Tract 4334.01, Los Angeles County, California",3053,346,753,277,24.7,8.1
6037433402,"Census Tract 4334.02, Los Angeles County, California",4506,497,1213,433,26.9,9.2
6037433403,"Census Tract 4334.03, Los Angeles County, California",4660,465,1565,454,33.6,8.7
6037433501,"Census Tract 4335.01, Los Angeles County, California",1793,310,717,261,40,13.3
6037433503,"Census Tract 4335.03, Los Angeles County, California",3176,339,421,151,13.3,4.9
6037433504,"Census Tract 4335.04, Los Angeles County, California",4827,562,1217,417,25.2,8.8
6037433601,"Census Tract 4336.01, Los Angeles County, California",5209,460,753,325,14.5,6.1
6037433602,"Census Tract 4336.02, Los Angeles County, California",2934,206,772,212,26.3,7.3
6037433700,"Census Tract 4337, Los Angeles County, California",3931,320,455,188,11.6,4.7
6037433801,"Census Tract 4338.01, Los Angeles County, California",6690,632,2002,577,29.9,8.2
6037433802,"Census Tract 4338.02, Los Angeles County, California",3465,330,465,247,13.4,6.9
6037433901,"Census Tract 4339.01, Los Angeles County, California",5718,508,2079,416,36.4,7
6037433902,"Census Tract 4339.02, Los Angeles County, California",3333,373,521,200,15.6,5.8
6037434001,"Census Tract 4340.01, Los Angeles County, California",4294,386,564,221,13.1,5
6037434003,"Census Tract 4340.03, Los Angeles County, California",4496,448,986,297,21.9,6.6
6037434004,"Census Tract 4340.04, Los Angeles County, California",2844,270,426,188,15,6.6
6037460000,"Census Tract 4600, Los Angeles County, California",4605,314,409,267,8.9,5.7
6037460100,"Census Tract 4601, Los Angeles County, California",6194,437,348,180,5.6,3
6037460200,"Census Tract 4602, Los Angeles County, California",5588,583,161,95,2.9,1.7
6037460301,"Census Tract 4603.01, Los Angeles County, California",4486,412,349,178,7.8,3.8
6037460302,"Census Tract 4603.02, Los Angeles County, California",4697,447,874,378,18.6,7.9
6037460401,"Census Tract 4604.01, Los Angeles County, California",875,76,130,88,14.9,9.8
6037460501,"Census Tract 4605.01, Los Angeles County, California",5611,293,44,41,0.8,0.7
6037460502,"Census Tract 4605.02, Los Angeles County, California",4406,253,117,62,2.7,1.4
6037460600,"Census Tract 4606, Los Angeles County, California",4575,269,276,316,6,6.8
6037460700,"Census Tract 4607, Los Angeles County, California",4987,325,143,90,2.9,1.8
6037460800,"Census Tract 4608, Los Angeles County, California",2999,303,147,104,4.9,3.5
6037460900,"Census Tract 4609, Los Angeles County, California",7051,463,897,342,12.7,4.8
6037461000,"Census Tract 4610, Los Angeles County, California",6338,636,809,404,12.8,6.3
6037461100,"Census Tract 4611, Los Angeles County, California",5204,419,838,432,16.1,7.9
6037461200,"Census Tract 4612, Los Angeles County, California",4696,333,344,241,7.3,5.1
6037461300,"Census Tract 4613, Los Angeles County, California",6828,356,715,445,10.5,6.5
6037461400,"Census Tract 4614, Los Angeles County, California",3085,278,242,129,7.8,4.2
6037461501,"Census Tract 4615.01, Los Angeles County, California",4223,389,490,256,11.6,5.7
6037461502,"Census Tract 4615.02, Los Angeles County, California",6419,602,1867,500,29.1,6.9
6037461600,"Census Tract 4616, Los Angeles County, California",6362,539,1599,543,25.1,7.4
6037461700,"Census Tract 4617, Los Angeles County, California",1521,121,65,37,4.3,2.4
6037461901,"Census Tract 4619.01, Los Angeles County, California",5088,557,1202,424,23.6,7.8
6037461902,"Census Tract 4619.02, Los Angeles County, California",1744,187,538,152,30.8,8.8
6037462001,"Census Tract 4620.01, Los Angeles County, California",4011,468,1077,462,26.9,11.2
6037462002,"Census Tract 4620.02, Los Angeles County, California",4227,401,934,383,22.1,8.8
6037462100,"Census Tract 4621, Los Angeles County, California",5836,387,1676,478,28.7,7.8
6037462201,"Census Tract 4622.01, Los Angeles County, California",3667,307,1087,346,29.6,8.7
6037462202,"Census Tract 4622.02, Los Angeles County, California",2693,403,735,327,27.3,9.5
6037462301,"Census Tract 4623.01, Los Angeles County, California",4533,483,846,311,18.7,7.2
6037462302,"Census Tract 4623.02, Los Angeles County, California",3202,309,514,169,16.1,4.8
6037462400,"Census Tract 4624, Los Angeles County, California",3948,277,618,224,15.7,5.6
6037462500,"Census Tract 4625, Los Angeles County, California",6751,501,741,331,11,4.8
6037462600,"Census Tract 4626, Los Angeles County, California",2287,120,83,41,3.6,1.8
6037462700,"Census Tract 4627, Los Angeles County, California",5259,549,936,327,17.8,5.9
6037462800,"Census Tract 4628, Los Angeles County, California",2782,226,268,125,9.6,4.5
6037462900,"Census Tract 4629, Los Angeles County, California",3807,230,264,163,6.9,4.4
6037463000,"Census Tract 4630, Los Angeles County, California",2277,190,82,48,3.6,2.1
6037463101,"Census Tract 4631.01, Los Angeles County, California",2409,232,304,167,12.6,6.4
6037463102,"Census Tract 4631.02, Los Angeles County, California",3958,479,321,250,8.1,6.2
6037463200,"Census Tract 4632, Los Angeles County, California",3360,271,324,169,9.6,5.1
6037463300,"Census Tract 4633, Los Angeles County, California",1966,131,134,71,6.8,3.6
6037463400,"Census Tract 4634, Los Angeles County, California",5785,385,518,231,9,4
6037463500,"Census Tract 4635, Los Angeles County, California",5247,414,526,217,10,4
6037463601,"Census Tract 4636.01, Los Angeles County, California",5849,420,729,253,12.5,4.3
6037463602,"Census Tract 4636.02, Los Angeles County, California",5586,794,1008,382,18,6.6
6037463700,"Census Tract 4637, Los Angeles County, California",2643,286,298,144,11.3,5.1
6037463800,"Census Tract 4638, Los Angeles County, California",3924,259,115,74,2.9,1.9
6037463900,"Census Tract 4639, Los Angeles County, California",3163,307,317,202,10,6.1
6037464000,"Census Tract 4640, Los Angeles County, California",5941,474,656,344,11,5.8
6037464100,"Census Tract 4641, Los Angeles County, California",7370,380,570,397,7.7,5.5
6037464200,"Census Tract 4642, Los Angeles County, California",5941,377,336,162,5.7,2.8
6037480002,"Census Tract 4800.02, Los Angeles County, California",3391,233,165,92,4.9,2.7
6037480011,"Census Tract 4800.11, Los Angeles County, California",5099,336,868,339,17,6.9
6037480012,"Census Tract 4800.12, Los Angeles County, California",5058,558,325,183,6.4,3.6
6037480101,"Census Tract 4801.01, Los Angeles County, California",3950,263,455,218,11.5,5.6
6037480102,"Census Tract 4801.02, Los Angeles County, California",4565,332,576,202,12.6,4.5
6037480201,"Census Tract 4802.01, Los Angeles County, California",3833,255,101,83,2.6,2.2
6037480202,"Census Tract 4802.02, Los Angeles County, California",2669,197,54,35,2,1.3
6037480302,"Census Tract 4803.02, Los Angeles County, California",4533,293,653,172,14.4,3.9
6037480303,"Census Tract 4803.03, Los Angeles County, California",3856,250,771,253,20,6.3
6037480304,"Census Tract 4803.04, Los Angeles County, California",4307,320,1312,347,30.5,7.5
6037480400,"Census Tract 4804, Los Angeles County, California",5390,485,571,262,10.6,4.7
