Id2,Geography,Total number of households,Total number of households- MOE,Median income (dollars); All households,Median income (dollars)- MOE; All households
6037408628,"Census Tract 4086.28, Los Angeles County, California",1835,54,65063,18845
6037408629,"Census Tract 4086.29, Los Angeles County, California",913,76,74732,36031
6037408703,"Census Tract 4087.03, Los Angeles County, California",1879,66,113646,21689
6037408704,"Census Tract 4087.04, Los Angeles County, California",934,77,56111,17606
6037408705,"Census Tract 4087.05, Los Angeles County, California",1490,63,59554,16325
6037408706,"Census Tract 4087.06, Los Angeles County, California",471,11,67292,11094
6037408721,"Census Tract 4087.21, Los Angeles County, California",2210,77,34496,5271
6037408722,"Census Tract 4087.22, Los Angeles County, California",1197,61,91588,13296
6037408800,"Census Tract 4088, Los Angeles County, California",1222,74,27932,2789
6037430001,"Census Tract 4300.01, Los Angeles County, California",1453,104,101660,17326
6037430002,"Census Tract 4300.02, Los Angeles County, California",2166,144,58460,8676
6037430101,"Census Tract 4301.01, Los Angeles County, California",1574,128,50000,7709
6037430102,"Census Tract 4301.02, Los Angeles County, California",1237,88,55888,8961
6037430200,"Census Tract 4302, Los Angeles County, California",381,64,114531,19644
6037430301,"Census Tract 4303.01, Los Angeles County, California",1672,86,100549,13915
6037430302,"Census Tract 4303.02, Los Angeles County, California",2475,126,76712,13616
6037430400,"Census Tract 4304, Los Angeles County, California",1430,86,121500,26235
6037430501,"Census Tract 4305.01, Los Angeles County, California",1717,112,108170,22215
6037430502,"Census Tract 4305.02, Los Angeles County, California",2849,118,77029,10964
6037430600,"Census Tract 4306, Los Angeles County, California",1371,97,129607,41332
6037430701,"Census Tract 4307.01, Los Angeles County, California",1941,58,91773,9629
6037430721,"Census Tract 4307.21, Los Angeles County, California",1192,78,60862,4263
6037430723,"Census Tract 4307.23, Los Angeles County, California",1679,91,59226,10851
6037430724,"Census Tract 4307.24, Los Angeles County, California",1954,56,58113,10477
6037430801,"Census Tract 4308.01, Los Angeles County, California",2249,106,61726,10291
6037430802,"Census Tract 4308.02, Los Angeles County, California",1386,48,96481,14957
6037430803,"Census Tract 4308.03, Los Angeles County, California",1724,69,93646,9995
6037430900,"Census Tract 4309, Los Angeles County, California",3387,166,63815,6600
6037431001,"Census Tract 4310.01, Los Angeles County, California",2726,138,60467,4155
6037431002,"Census Tract 4310.02, Los Angeles County, California",1249,84,70380,15490
6037431100,"Census Tract 4311, Los Angeles County, California",2057,118,41538,10074
6037431200,"Census Tract 4312, Los Angeles County, California",1496,40,59728,6459
6037431300,"Census Tract 4313, Los Angeles County, California",839,49,73393,27971
6037431400,"Census Tract 4314, Los Angeles County, California",1385,91,71902,10855
6037431500,"Census Tract 4315, Los Angeles County, California",2948,149,65923,7208
6037431600,"Census Tract 4316, Los Angeles County, California",1189,68,85795,12174
6037431700,"Census Tract 4317, Los Angeles County, California",1951,122,74750,20799
6037431800,"Census Tract 4318, Los Angeles County, California",1676,108,66513,10994
6037431900,"Census Tract 4319, Los Angeles County, California",1487,94,54609,13127
6037432000,"Census Tract 4320, Los Angeles County, California",2473,114,67837,8286
6037432101,"Census Tract 4321.01, Los Angeles County, California",1458,73,79196,27969
6037432102,"Census Tract 4321.02, Los Angeles County, California",1837,82,74073,7546
6037432201,"Census Tract 4322.01, Los Angeles County, California",1250,75,52222,15956
6037432202,"Census Tract 4322.02, Los Angeles County, California",1236,50,56250,18368
6037432300,"Census Tract 4323, Los Angeles County, California",1167,52,55417,13214
6037432401,"Census Tract 4324.01, Los Angeles County, California",1021,63,47818,8307
6037432402,"Census Tract 4324.02, Los Angeles County, California",1729,96,43033,8301
6037432500,"Census Tract 4325, Los Angeles County, California",2253,145,52686,2998
6037432601,"Census Tract 4326.01, Los Angeles County, California",1594,139,44808,10549
6037432602,"Census Tract 4326.02, Los Angeles County, California",1204,66,51484,18973
6037432700,"Census Tract 4327, Los Angeles County, California",1262,93,46844,8274
6037432801,"Census Tract 4328.01, Los Angeles County, California",795,49,32250,10157
6037432802,"Census Tract 4328.02, Los Angeles County, California",1534,76,35439,9625
6037432901,"Census Tract 4329.01, Los Angeles County, California",1274,47,57115,11436
6037432902,"Census Tract 4329.02, Los Angeles County, California",941,34,59455,17126
6037433100,"Census Tract 4331, Los Angeles County, California",1927,69,32917,8668
6037433200,"Census Tract 4332, Los Angeles County, California",1634,87,42642,5601
6037433301,"Census Tract 4333.01, Los Angeles County, California",2489,124,31664,7159
6037433302,"Census Tract 4333.02, Los Angeles County, California",427,42,45052,15855
6037433303,"Census Tract 4333.03, Los Angeles County, California",1504,92,48537,9069
6037433401,"Census Tract 4334.01, Los Angeles County, California",724,74,40486,4911
6037433402,"Census Tract 4334.02, Los Angeles County, California",1159,63,33813,5310
6037433403,"Census Tract 4334.03, Los Angeles County, California",1296,65,37750,4503
6037433501,"Census Tract 4335.01, Los Angeles County, California",553,47,36799,16825
6037433502,"Census Tract 4335.02, Los Angeles County, California",1716,87,36964,4307
6037433601,"Census Tract 4336.01, Los Angeles County, California",1228,81,56250,13189
6037433602,"Census Tract 4336.02, Los Angeles County, California",815,37,37942,2691
6037433700,"Census Tract 4337, Los Angeles County, California",850,71,50403,7998
6037433801,"Census Tract 4338.01, Los Angeles County, California",1389,77,29083,6158
6037433802,"Census Tract 4338.02, Los Angeles County, California",727,52,64769,16917
6037433901,"Census Tract 4339.01, Los Angeles County, California",1231,93,34534,6997
6037433902,"Census Tract 4339.02, Los Angeles County, California",1005,42,37325,9416
6037434001,"Census Tract 4340.01, Los Angeles County, California",1059,66,47665,10923
6037434002,"Census Tract 4340.02, Los Angeles County, California",1770,60,55000,11569
6037460000,"Census Tract 4600, Los Angeles County, California",1751,73,99482,7277
6037460100,"Census Tract 4601, Los Angeles County, California",2388,39,106111,18476
6037460200,"Census Tract 4602, Los Angeles County, California",2035,96,85158,5223
6037460301,"Census Tract 4603.01, Los Angeles County, California",1705,31,86413,4929
6037460302,"Census Tract 4603.02, Los Angeles County, California",1359,46,66551,10556
6037460400,"Census Tract 4604, Los Angeles County, California",333,19,80764,20337
6037460501,"Census Tract 4605.01, Los Angeles County, California",1831,84,158859,19958
6037460502,"Census Tract 4605.02, Los Angeles County, California",1450,88,149167,36398
6037460600,"Census Tract 4606, Los Angeles County, California",1521,61,122216,15593
6037460700,"Census Tract 4607, Los Angeles County, California",1653,100,183646,24508
6037460800,"Census Tract 4608, Los Angeles County, California",1353,65,164649,31423
6037460900,"Census Tract 4609, Los Angeles County, California",2073,89,53489,8184
6037461000,"Census Tract 4610, Los Angeles County, California",1713,72,52150,10362
6037461100,"Census Tract 4611, Los Angeles County, California",1541,79,67109,12781
6037461200,"Census Tract 4612, Los Angeles County, California",1645,72,111719,42211
6037461300,"Census Tract 4613, Los Angeles County, California",2395,123,74639,15877
6037461400,"Census Tract 4614, Los Angeles County, California",1372,86,51176,6168
6037461500,"Census Tract 4615, Los Angeles County, California",2806,139,53483,8036
6037461600,"Census Tract 4616, Los Angeles County, California",1801,71,38198,9804
6037461700,"Census Tract 4617, Los Angeles County, California",708,51,124500,24822
6037461900,"Census Tract 4619, Los Angeles County, California",2447,196,28482,6984
6037462000,"Census Tract 4620, Los Angeles County, California",2449,99,31393,7109
6037462100,"Census Tract 4621, Los Angeles County, California",1843,87,40389,5710
6037462200,"Census Tract 4622, Los Angeles County, California",3195,162,41013,3778
6037462300,"Census Tract 4623, Los Angeles County, California",3142,151,52935,4963
6037462400,"Census Tract 4624, Los Angeles County, California",1628,80,70219,10837
6037462500,"Census Tract 4625, Los Angeles County, California",2351,131,84152,13130
6037462600,"Census Tract 4626, Los Angeles County, California",927,27,104393,22577
6037462700,"Census Tract 4627, Los Angeles County, California",2078,159,51512,6474
6037462800,"Census Tract 4628, Los Angeles County, California",1159,73,58413,12559
6037462900,"Census Tract 4629, Los Angeles County, California",1390,93,76724,18832
6037463000,"Census Tract 4630, Los Angeles County, California",833,58,89560,9294
6037463101,"Census Tract 4631.01, Los Angeles County, California",854,64,53958,13968
6037463102,"Census Tract 4631.02, Los Angeles County, California",1127,61,66181,16939
6037463200,"Census Tract 4632, Los Angeles County, California",1456,85,71919,14221
6037463300,"Census Tract 4633, Los Angeles County, California",766,86,73910,8192
6037463400,"Census Tract 4634, Los Angeles County, California",2695,127,62244,14651
6037463500,"Census Tract 4635, Los Angeles County, California",2560,171,65801,9975
6037463600,"Census Tract 4636, Los Angeles County, California",6142,254,68697,4252
6037463700,"Census Tract 4637, Los Angeles County, California",882,70,118500,26306
6037463800,"Census Tract 4638, Los Angeles County, California",1630,86,129000,29329
6037463900,"Census Tract 4639, Los Angeles County, California",1525,89,101849,15424
6037464000,"Census Tract 4640, Los Angeles County, California",2724,149,84659,18743
6037464100,"Census Tract 4641, Los Angeles County, California",2343,134,168110,14765
6037464200,"Census Tract 4642, Los Angeles County, California",1888,117,141250,18885
6037480002,"Census Tract 4800.02, Los Angeles County, California",1113,50,105809,11941
6037480011,"Census Tract 4800.11, Los Angeles County, California",1768,109,53424,4165
6037480012,"Census Tract 4800.12, Los Angeles County, California",1726,96,60244,11940
6037480101,"Census Tract 4801.01, Los Angeles County, California",1336,77,66179,10149
6037480102,"Census Tract 4801.02, Los Angeles County, California",1340,95,66855,13228
6037480201,"Census Tract 4802.01, Los Angeles County, California",1359,89,100158,15831
6037480202,"Census Tract 4802.02, Los Angeles County, California",870,51,109588,13579
6037480301,"Census Tract 4803.01, Los Angeles County, California",3076,121,37557,5680
6037480302,"Census Tract 4803.02, Los Angeles County, California",1692,87,54302,9787
6037480400,"Census Tract 4804, Los Angeles County, California",2302,96,59286,9058
6037480500,"Census Tract 4805, Los Angeles County, California",2018,95,101176,35563
6037480600,"Census Tract 4806, Los Angeles County, California",3180,149,71667,13495
6037480702,"Census Tract 4807.02, Los Angeles County, California",1604,59,81064,19987
6037480703,"Census Tract 4807.03, Los Angeles County, California",1236,53,105978,18052
6037480704,"Census Tract 4807.04, Los Angeles County, California",1794,105,65793,9014
6037480802,"Census Tract 4808.02, Los Angeles County, California",1088,31,53143,7946
6037480803,"Census Tract 4808.03, Los Angeles County, California",1265,82,69816,14577
6037480804,"Census Tract 4808.04, Los Angeles County, California",1849,108,55129,7422
6037480901,"Census Tract 4809.01, Los Angeles County, California",1485,149,51672,9425
6037480902,"Census Tract 4809.02, Los Angeles County, California",1409,68,49299,8364
6037480903,"Census Tract 4809.03, Los Angeles County, California",988,63,56571,13180
6037481001,"Census Tract 4810.01, Los Angeles County, California",1251,99,49489,13307
6037481002,"Census Tract 4810.02, Los Angeles County, California",1962,88,48514,10309
6037481101,"Census Tract 4811.01, Los Angeles County, California",1429,77,49646,11000
6037481102,"Census Tract 4811.02, Los Angeles County, California",1331,93,52750,7674
6037481103,"Census Tract 4811.03, Los Angeles County, California",1484,84,59271,13749
6037481201,"Census Tract 4812.01, Los Angeles County, California",1139,105,53483,7648
6037481202,"Census Tract 4812.02, Los Angeles County, California",1876,138,63082,6338
6037481300,"Census Tract 4813, Los Angeles County, California",806,61,47803,8324
6037481401,"Census Tract 4814.01, Los Angeles County, California",1896,82,42654,6240
6037481402,"Census Tract 4814.02, Los Angeles County, California",2074,99,51915,10433
6037481500,"Census Tract 4815, Los Angeles County, California",1544,54,58548,10730
6037481602,"Census Tract 4816.02, Los Angeles County, California",2661,106,39058,9240
6037481603,"Census Tract 4816.03, Los Angeles County, California",1200,94,42321,5630
6037481604,"Census Tract 4816.04, Los Angeles County, California",1267,91,44358,8336
6037481711,"Census Tract 4817.11, Los Angeles County, California",1389,83,30662,5905
6037481712,"Census Tract 4817.12, Los Angeles County, California",1534,111,30783,3365
6037481713,"Census Tract 4817.13, Los Angeles County, California",825,76,40406,13391
6037481714,"Census Tract 4817.14, Los Angeles County, California",905,59,20740,4114
6037481800,"Census Tract 4818, Los Angeles County, California",917,60,62721,26168
6037481901,"Census Tract 4819.01, Los Angeles County, California",2052,83,77500,7893
6037481902,"Census Tract 4819.02, Los Angeles County, California",1078,46,53000,8578
6037482001,"Census Tract 4820.01, Los Angeles County, California",969,63,79076,20390
6037482002,"Census Tract 4820.02, Los Angeles County, California",2448,118,64643,15801
6037482101,"Census Tract 4821.01, Los Angeles County, California",1535,70,56058,9344
6037482102,"Census Tract 4821.02, Los Angeles County, California",988,32,54712,14629
6037482201,"Census Tract 4822.01, Los Angeles County, California",1214,59,50408,12779
6037482202,"Census Tract 4822.02, Los Angeles County, California",1555,85,59125,7875
6037482301,"Census Tract 4823.01, Los Angeles County, California",1293,67,40250,6405
6037482303,"Census Tract 4823.03, Los Angeles County, California",1514,82,42817,4109
6037482304,"Census Tract 4823.04, Los Angeles County, California",912,108,35427,10695
6037482401,"Census Tract 4824.01, Los Angeles County, California",944,51,44225,6806
6037482402,"Census Tract 4824.02, Los Angeles County, California",2014,96,49316,4654
6037482502,"Census Tract 4825.02, Los Angeles County, California",827,53,41875,7654
6037482503,"Census Tract 4825.03, Los Angeles County, California",1017,84,35765,4973
6037482521,"Census Tract 4825.21, Los Angeles County, California",1416,75,53077,13537
6037482522,"Census Tract 4825.22, Los Angeles County, California",1528,72,67717,7895
6037482600,"Census Tract 4826, Los Angeles County, California",2333,107,74894,11130
6037482701,"Census Tract 4827.01, Los Angeles County, California",1366,55,55588,14028
6037482702,"Census Tract 4827.02, Los Angeles County, California",839,29,48798,22481
6037482800,"Census Tract 4828, Los Angeles County, California",1335,73,71546,9778
6037500100,"Census Tract 5001, Los Angeles County, California",1201,114,118220,22669
6037500201,"Census Tract 5002.01, Los Angeles County, California",1949,91,113291,8372
6037500202,"Census Tract 5002.02, Los Angeles County, California",1511,71,132852,22950
6037500300,"Census Tract 5003, Los Angeles County, California",1051,33,93942,15547
6037500401,"Census Tract 5004.01, Los Angeles County, California",2243,107,67790,8907
6037500402,"Census Tract 5004.02, Los Angeles County, California",1101,94,35625,10982
6037500500,"Census Tract 5005, Los Angeles County, California",854,70,48000,14497
6037500600,"Census Tract 5006, Los Angeles County, California",1327,78,54120,13839
6037500700,"Census Tract 5007, Los Angeles County, California",1613,102,67050,10817
6037500800,"Census Tract 5008, Los Angeles County, California",1371,76,60221,7337
6037500900,"Census Tract 5009, Los Angeles County, California",1578,61,38700,11424
6037501000,"Census Tract 5010, Los Angeles County, California",2067,88,71659,15579
6037501200,"Census Tract 5012, Los Angeles County, California",1465,50,68125,6143
6037501300,"Census Tract 5013, Los Angeles County, California",2345,112,66379,9636
6037501400,"Census Tract 5014, Los Angeles County, California",1230,57,52353,11660
6037501501,"Census Tract 5015.01, Los Angeles County, California",754,56,66731,16459
6037501503,"Census Tract 5015.03, Los Angeles County, California",1709,175,48682,7058
6037501504,"Census Tract 5015.04, Los Angeles County, California",1517,75,35570,7305
6037501600,"Census Tract 5016, Los Angeles County, California",2220,83,81532,9691
6037501700,"Census Tract 5017, Los Angeles County, California",1221,58,94306,15107
6037501801,"Census Tract 5018.01, Los Angeles County, California",2251,101,37579,6283
6037501802,"Census Tract 5018.02, Los Angeles County, California",1114,50,67674,9411
6037501900,"Census Tract 5019, Los Angeles County, California",1325,36,71322,12569
6037502001,"Census Tract 5020.01, Los Angeles County, California",1160,67,68382,7661
6037502002,"Census Tract 5020.02, Los Angeles County, California",1731,76,61156,2850
6037502100,"Census Tract 5021, Los Angeles County, California",1550,60,48690,5885
6037502200,"Census Tract 5022, Los Angeles County, California",1801,76,63542,11113
6037502301,"Census Tract 5023.01, Los Angeles County, California",1402,23,56125,10253
6037502302,"Census Tract 5023.02, Los Angeles County, California",704,55,34615,15261
6037502401,"Census Tract 5024.01, Los Angeles County, California",1261,44,47574,12773
6037502402,"Census Tract 5024.02, Los Angeles County, California",1038,42,68700,6957
6037502500,"Census Tract 5025, Los Angeles County, California",1100,52,48657,6295
6037502601,"Census Tract 5026.01, Los Angeles County, California",1757,76,72563,8928
6037502602,"Census Tract 5026.02, Los Angeles County, California",1259,80,57232,10590
6037502700,"Census Tract 5027, Los Angeles County, California",1956,118,55244,11299
6037502800,"Census Tract 5028, Los Angeles County, California",2630,174,55381,7175
6037502901,"Census Tract 5029.01, Los Angeles County, California",1404,56,82029,6181
6037502902,"Census Tract 5029.02, Los Angeles County, California",913,45,55938,6319
6037503000,"Census Tract 5030, Los Angeles County, California",1106,92,58088,7010
6037503101,"Census Tract 5031.01, Los Angeles County, California",2054,100,55473,5829
6037503102,"Census Tract 5031.02, Los Angeles County, California",1714,55,62449,14101
6037503201,"Census Tract 5032.01, Los Angeles County, California",1153,16,91719,22806
6037503202,"Census Tract 5032.02, Los Angeles County, California",1265,46,61736,10137
6037503301,"Census Tract 5033.01, Los Angeles County, California",966,64,73929,7711
6037503302,"Census Tract 5033.02, Los Angeles County, California",1908,41,52391,8426
6037503401,"Census Tract 5034.01, Los Angeles County, California",2133,116,64714,9136
6037503402,"Census Tract 5034.02, Los Angeles County, California",1285,42,73657,14444
6037503501,"Census Tract 5035.01, Los Angeles County, California",1967,60,67232,7613
6037503502,"Census Tract 5035.02, Los Angeles County, California",1249,33,82773,10198
6037503601,"Census Tract 5036.01, Los Angeles County, California",1207,74,89934,13338
6037503602,"Census Tract 5036.02, Los Angeles County, California",1219,65,106455,8285
6037503701,"Census Tract 5037.01, Los Angeles County, California",1661,37,65958,8454
6037503702,"Census Tract 5037.02, Los Angeles County, California",1612,69,85985,9124
6037503703,"Census Tract 5037.03, Los Angeles County, California",2969,114,83005,8865
6037503801,"Census Tract 5038.01, Los Angeles County, California",1205,82,77297,9527
6037503802,"Census Tract 5038.02, Los Angeles County, California",1591,68,84033,16605
6037503901,"Census Tract 5039.01, Los Angeles County, California",831,31,86250,13071
6037503902,"Census Tract 5039.02, Los Angeles County, California",1445,50,88347,11211
6037504001,"Census Tract 5040.01, Los Angeles County, California",1116,108,62500,10603
6037504002,"Census Tract 5040.02, Los Angeles County, California",1651,77,80208,8698
6037504101,"Census Tract 5041.01, Los Angeles County, California",1459,45,46625,13788
6037504102,"Census Tract 5041.02, Los Angeles County, California",0,132,-,**
6037530003,"Census Tract 5300.03, Los Angeles County, California",919,52,86875,18504
6037530004,"Census Tract 5300.04, Los Angeles County, California",1119,69,57634,7258
6037530005,"Census Tract 5300.05, Los Angeles County, California",1350,77,88333,14317
6037530006,"Census Tract 5300.06, Los Angeles County, California",1384,97,58026,5133
6037530101,"Census Tract 5301.01, Los Angeles County, California",1570,89,31912,15199
6037530102,"Census Tract 5301.02, Los Angeles County, California",1579,89,39327,8994
6037530202,"Census Tract 5302.02, Los Angeles County, California",1158,75,42188,12083
6037530203,"Census Tract 5302.03, Los Angeles County, California",1048,55,41406,4896
6037530204,"Census Tract 5302.04, Los Angeles County, California",1065,86,52415,14990
6037530301,"Census Tract 5303.01, Los Angeles County, California",629,51,37792,12647
6037530302,"Census Tract 5303.02, Los Angeles County, California",1747,80,40848,10626
6037530400,"Census Tract 5304, Los Angeles County, California",1239,55,26546,20196
6037530500,"Census Tract 5305, Los Angeles County, California",1192,48,36011,7095
6037530601,"Census Tract 5306.01, Los Angeles County, California",794,67,40795,18355
6037530602,"Census Tract 5306.02, Los Angeles County, California",316,77,48519,37415
6037530700,"Census Tract 5307, Los Angeles County, California",467,86,55380,13010
6037530801,"Census Tract 5308.01, Los Angeles County, California",1411,83,37611,5068
6037530802,"Census Tract 5308.02, Los Angeles County, California",822,76,45510,8188
6037530901,"Census Tract 5309.01, Los Angeles County, California",848,69,36929,9646
6037530902,"Census Tract 5309.02, Los Angeles County, California",1045,79,22490,14145
6037531000,"Census Tract 5310, Los Angeles County, California",1270,63,40163,10921
6037531101,"Census Tract 5311.01, Los Angeles County, California",1208,86,37188,8899
6037531102,"Census Tract 5311.02, Los Angeles County, California",780,52,33333,4533
6037531201,"Census Tract 5312.01, Los Angeles County, California",1220,73,36389,6134
6037531202,"Census Tract 5312.02, Los Angeles County, California",1157,62,35724,4529
6037531301,"Census Tract 5313.01, Los Angeles County, California",1254,80,32460,4322
6037531302,"Census Tract 5313.02, Los Angeles County, California",1439,80,33013,3077
6037531501,"Census Tract 5315.01, Los Angeles County, California",1845,78,36264,4659
6037531502,"Census Tract 5315.02, Los Angeles County, California",809,29,35647,5550
6037531602,"Census Tract 5316.02, Los Angeles County, California",1143,58,29424,4487
6037531603,"Census Tract 5316.03, Los Angeles County, California",866,45,31833,3188
6037531604,"Census Tract 5316.04, Los Angeles County, California",916,46,29375,9599
6037531701,"Census Tract 5317.01, Los Angeles County, California",1396,66,44569,12553
6037531702,"Census Tract 5317.02, Los Angeles County, California",1229,83,35449,4484
6037531800,"Census Tract 5318, Los Angeles County, California",1216,79,34615,8958
6037531901,"Census Tract 5319.01, Los Angeles County, California",1696,81,37882,5853
6037531902,"Census Tract 5319.02, Los Angeles County, California",1122,53,35991,9685
6037532001,"Census Tract 5320.01, Los Angeles County, California",1081,35,34730,6112
6037532002,"Census Tract 5320.02, Los Angeles County, California",854,74,48667,8979
6037532101,"Census Tract 5321.01, Los Angeles County, California",1714,67,39412,6704
6037532102,"Census Tract 5321.02, Los Angeles County, California",926,75,49152,18502
6037532200,"Census Tract 5322, Los Angeles County, California",1725,72,40875,6274
6037532302,"Census Tract 5323.02, Los Angeles County, California",1097,94,51049,6347
6037532303,"Census Tract 5323.03, Los Angeles County, California",1226,113,50746,9128
6037532304,"Census Tract 5323.04, Los Angeles County, California",952,84,41515,15027
6037532400,"Census Tract 5324, Los Angeles County, California",23,11,76563,7859
6037532500,"Census Tract 5325, Los Angeles County, California",1072,92,38611,6070
6037532603,"Census Tract 5326.03, Los Angeles County, California",805,60,36023,14757
6037532604,"Census Tract 5326.04, Los Angeles County, California",698,39,34000,7859
6037532605,"Census Tract 5326.05, Los Angeles County, California",1084,69,21250,10727
6037532606,"Census Tract 5326.06, Los Angeles County, California",1197,96,28380,9085
6037532700,"Census Tract 5327, Los Angeles County, California",570,60,32763,9947
6037532800,"Census Tract 5328, Los Angeles County, California",1002,90,22675,5797
6037532900,"Census Tract 5329, Los Angeles County, California",1557,75,28085,6580
6037533000,"Census Tract 5330, Los Angeles County, California",1545,89,34063,6688
6037533103,"Census Tract 5331.03, Los Angeles County, California",866,63,30000,5544
6037533104,"Census Tract 5331.04, Los Angeles County, California",1225,94,23802,2196
6037533105,"Census Tract 5331.05, Los Angeles County, California",629,58,36477,8483
6037533106,"Census Tract 5331.06, Los Angeles County, California",396,53,43958,16166
6037533107,"Census Tract 5331.07, Los Angeles County, California",1006,62,38831,5573
6037533201,"Census Tract 5332.01, Los Angeles County, California",685,48,39975,7983
6037533202,"Census Tract 5332.02, Los Angeles County, California",637,54,50284,26563
6037533203,"Census Tract 5332.03, Los Angeles County, California",457,60,36349,10030
6037533300,"Census Tract 5333, Los Angeles County, California",835,68,39331,11635
6037533401,"Census Tract 5334.01, Los Angeles County, California",1224,58,49451,9999
6037533402,"Census Tract 5334.02, Los Angeles County, California",1041,57,30331,5974
6037533403,"Census Tract 5334.03, Los Angeles County, California",688,87,38269,32216
6037533501,"Census Tract 5335.01, Los Angeles County, California",724,77,29691,17560
6037533502,"Census Tract 5335.02, Los Angeles County, California",576,41,41000,4662
6037533503,"Census Tract 5335.03, Los Angeles County, California",464,65,30577,7587
6037533601,"Census Tract 5336.01, Los Angeles County, California",1070,133,42460,14626
6037533602,"Census Tract 5336.02, Los Angeles County, California",1461,129,34837,10451
6037533603,"Census Tract 5336.03, Los Angeles County, California",1677,109,29936,9029
6037533701,"Census Tract 5337.01, Los Angeles County, California",1038,64,30625,3559
6037533702,"Census Tract 5337.02, Los Angeles County, California",800,70,40595,6015
6037533703,"Census Tract 5337.03, Los Angeles County, California",1058,55,42045,7862
6037533801,"Census Tract 5338.01, Los Angeles County, California",2012,96,39151,7639
6037533803,"Census Tract 5338.03, Los Angeles County, California",1609,96,35896,6022
6037533804,"Census Tract 5338.04, Los Angeles County, California",1209,72,39341,7393
6037533901,"Census Tract 5339.01, Los Angeles County, California",1426,82,39848,6322
6037533902,"Census Tract 5339.02, Los Angeles County, California",971,47,33750,12129
6037534001,"Census Tract 5340.01, Los Angeles County, California",1280,59,37466,17215
6037534002,"Census Tract 5340.02, Los Angeles County, California",959,64,34458,6281
6037534101,"Census Tract 5341.01, Los Angeles County, California",558,24,36724,24360
6037534102,"Census Tract 5341.02, Los Angeles County, California",1495,74,40647,8213
6037534201,"Census Tract 5342.01, Los Angeles County, California",1066,38,30938,6776
6037534202,"Census Tract 5342.02, Los Angeles County, California",1268,55,41286,7691
6037534203,"Census Tract 5342.03, Los Angeles County, California",875,31,41938,7338
6037534301,"Census Tract 5343.01, Los Angeles County, California",1105,71,39145,7695
6037534302,"Census Tract 5343.02, Los Angeles County, California",835,47,45762,6574
6037534403,"Census Tract 5344.03, Los Angeles County, California",711,43,49589,2568
6037534404,"Census Tract 5344.04, Los Angeles County, California",955,63,37765,8572
6037534405,"Census Tract 5344.05, Los Angeles County, California",911,65,34698,6591
6037534406,"Census Tract 5344.06, Los Angeles County, California",913,78,44306,3588
6037534501,"Census Tract 5345.01, Los Angeles County, California",1278,74,47839,7056
6037534502,"Census Tract 5345.02, Los Angeles County, California",997,87,43821,7593
6037534700,"Census Tract 5347, Los Angeles County, California",914,69,42656,9387
6037534802,"Census Tract 5348.02, Los Angeles County, California",675,66,45605,23266
6037534803,"Census Tract 5348.03, Los Angeles County, California",1141,74,35797,8147
6037534804,"Census Tract 5348.04, Los Angeles County, California",887,53,35125,11250
6037534900,"Census Tract 5349, Los Angeles County, California",1566,60,43093,5000
6037535000,"Census Tract 5350, Los Angeles County, California",1677,109,33288,7503
6037535101,"Census Tract 5351.01, Los Angeles County, California",1632,78,35484,7051
6037535102,"Census Tract 5351.02, Los Angeles County, California",972,48,36875,10290
6037535200,"Census Tract 5352, Los Angeles County, California",1101,129,55460,7759
6037535300,"Census Tract 5353, Los Angeles County, California",1394,58,33102,5009
6037535400,"Census Tract 5354, Los Angeles County, California",644,68,27214,14864
6037535501,"Census Tract 5355.01, Los Angeles County, California",1001,70,34077,8483
6037535502,"Census Tract 5355.02, Los Angeles County, California",1230,65,41371,15103
6037535503,"Census Tract 5355.03, Los Angeles County, California",560,55,32135,3535
6037535603,"Census Tract 5356.03, Los Angeles County, California",940,73,28171,4886
6037535604,"Census Tract 5356.04, Los Angeles County, California",1026,56,35809,12177
6037535605,"Census Tract 5356.05, Los Angeles County, California",1106,69,33000,5523
6037535606,"Census Tract 5356.06, Los Angeles County, California",511,15,32896,7829
6037535607,"Census Tract 5356.07, Los Angeles County, California",1035,72,40104,10631
6037535701,"Census Tract 5357.01, Los Angeles County, California",1496,56,43520,5227
6037535702,"Census Tract 5357.02, Los Angeles County, California",1343,78,35331,8535
6037535802,"Census Tract 5358.02, Los Angeles County, California",1695,72,41211,6739
6037535803,"Census Tract 5358.03, Los Angeles County, California",1137,34,41058,6963
6037535804,"Census Tract 5358.04, Los Angeles County, California",1341,86,42159,7780
6037535901,"Census Tract 5359.01, Los Angeles County, California",1425,53,45513,7487
6037535902,"Census Tract 5359.02, Los Angeles County, California",1571,38,51484,4252
6037536000,"Census Tract 5360, Los Angeles County, California",1079,58,38508,13545
6037536101,"Census Tract 5361.01, Los Angeles County, California",2361,124,51058,3461
6037536102,"Census Tract 5361.02, Los Angeles County, California",1014,68,66204,8340
6037536200,"Census Tract 5362, Los Angeles County, California",1878,61,60455,9273
6037540000,"Census Tract 5400, Los Angeles County, California",1459,93,42228,8660
6037540101,"Census Tract 5401.01, Los Angeles County, California",1301,82,45785,13567
6037540102,"Census Tract 5401.02, Los Angeles County, California",1397,103,52528,7141
6037540201,"Census Tract 5402.01, Los Angeles County, California",571,36,33080,9031
6037540202,"Census Tract 5402.02, Los Angeles County, California",1508,80,39236,4428
6037540203,"Census Tract 5402.03, Los Angeles County, California",1166,80,34583,18218
6037540300,"Census Tract 5403, Los Angeles County, California",1193,55,41913,5560
